partition,products,percent_of_image_backed,id_set_sha256
development,32773,84.87775820988294,2639d731f89942fd9598f9552bb092dd634830c3e6a63d0b569cfc2aa4362d01
holdout,5778,14.964259815601366,48a9e2e389657744d2771a3ab5ca34e85e015b21b18ef4d0ed29c2e648cf8fc0
quarantine,61,0.1579819745156946,5a672e34e485c8ddad0cef37c2dc37d99f8774f8874279a5d0ed69aff7022f43
