class_index,class_name,precision,recall,f1,support
0,Accessory Gift Set,0.9375,0.989010989010989,0.9625668449197861,91
1,Baby Dolls,0.0,0.0,0.0,2
2,Backpacks,0.8955696202531646,0.9370860927152318,0.9158576051779935,604
3,Bangle,0.5,0.52,0.5098039215686274,50
4,Basketballs,0.5625,0.75,0.6428571428571429,12
5,Belts,0.9554597701149425,0.9837278106508875,0.9693877551020408,676
6,Blazers,0.4,0.2857142857142857,0.3333333333333333,7
7,Body Wash and Scrub,0.0,0.0,0.0,1
8,Booties,0.6666666666666666,0.8888888888888888,0.7619047619047619,9
9,Boxers,0.6176470588235294,0.6176470588235294,0.6176470588235294,34
10,Bra,0.9609375,0.9800796812749004,0.9704142011834319,251
11,Bracelet,0.5,0.4090909090909091,0.45,44
12,Briefs,0.9627659574468085,0.9559859154929577,0.9593639575971732,568
13,Camisoles,1.0,0.38461538461538464,0.5555555555555556,13
14,Capris,0.5984251968503937,0.5588235294117647,0.5779467680608364,136
15,Caps,0.911504424778761,0.8956521739130435,0.9035087719298246,230
16,Casual Shoes,0.8089990817263545,0.7741652021089631,0.7911989223170184,2276
17,Churidar,0.5,0.5,0.5,26
18,Clothing Set,0.2857142857142857,0.2857142857142857,0.2857142857142857,7
19,Clutches,0.8015267175572519,0.5555555555555556,0.65625,189
20,Compact,0.0,0.0,0.0,4
21,Concealer,0.0,0.0,0.0,2
22,Cufflinks,0.85,0.8947368421052632,0.8717948717948718,38
23,Cushion Covers,0.0,0.0,0.0,1
24,Deodorant,0.8385826771653543,0.8588709677419355,0.848605577689243,248
25,Dresses,0.6333333333333333,0.657439446366782,0.6451612903225806,289
26,Duffel Bag,0.7090909090909091,0.5342465753424658,0.609375,73
27,Dupatta,0.7040816326530612,0.696969696969697,0.700507614213198,99
28,Earrings,0.9423076923076923,0.9514563106796117,0.9468599033816425,206
29,Eyeshadow,1.0,1.0,1.0,4
30,Flats,0.4495798319327731,0.300561797752809,0.3602693602693603,356
31,Flip Flops,0.7903225806451613,0.9346049046321526,0.8564294631710362,734
32,Footballs,0.8,0.5714285714285714,0.6666666666666666,7
33,Formal Shoes,0.8629032258064516,0.8278529980657641,0.8450148075024679,517
34,Foundation and Primer,0.6666666666666666,0.18181818181818182,0.2857142857142857,11
35,Fragrance Gift Set,0.6956521739130435,0.6808510638297872,0.6881720430107527,47
36,Free Gifts,0.5,0.17543859649122806,0.2597402597402597,57
37,Gloves,0.8666666666666667,0.7222222222222222,0.7878787878787878,18
38,Handbags,0.8708685626441199,0.9271685761047463,0.8981371383273881,1222
39,Hat,0.0,0.0,0.0,2
40,Headband,0.5,0.3333333333333333,0.4,6
41,Heels,0.7526427061310782,0.8,0.775599128540305,890
42,Highlighter and Blush,0.0,0.0,0.0,4
43,Innerwear Vests,0.7942857142857143,0.6780487804878049,0.7315789473684211,205
44,Ipad,0.0,0.0,0.0,1
45,Jackets,0.6026490066225165,0.47150259067357514,0.5290697674418605,193
46,Jeans,0.7951127819548872,0.8961864406779662,0.8426294820717132,472
47,Jeggings,0.08333333333333333,0.045454545454545456,0.058823529411764705,22
48,Jewellery Set,0.8611111111111112,0.8157894736842105,0.8378378378378378,38
49,Jumpsuit,0.5,0.1,0.16666666666666666,10
50,Kajal and Eyeliner,0.5384615384615384,0.6363636363636364,0.5833333333333334,11
51,Key chain,0.0,0.0,0.0,1
52,Kurta Sets,0.7887323943661971,0.875,0.8296296296296296,64
53,Kurtas,0.8840262582056893,0.9167927382753404,0.9001113999257334,1322
54,Kurtis,0.39864864864864863,0.3430232558139535,0.36875,172
55,Laptop Bag,0.58,0.43283582089552236,0.49572649572649574,67
56,Leggings,0.7043478260869566,0.6,0.648,135
57,Lehenga Choli,0.0,0.0,0.0,2
58,Lip Gloss,0.5,0.8,0.6153846153846154,5
59,Lip Liner,0.5555555555555556,0.45454545454545453,0.5,11
60,Lip Plumper,0.5,0.3333333333333333,0.4,3
61,Lipstick,0.0,0.0,0.0,10
62,Lounge Pants,0.4642857142857143,0.28888888888888886,0.3561643835616438,45
63,Lounge Shorts,0.3333333333333333,0.1724137931034483,0.22727272727272727,29
64,Lounge Tshirts,0.0,0.0,0.0,1
65,Messenger Bag,0.2631578947368421,0.13513513513513514,0.17857142857142858,37
66,Mobile Pouch,0.5277777777777778,0.475,0.5,40
67,Mufflers,0.5789473684210527,0.6666666666666666,0.6197183098591549,33
68,Nail Polish,0.9411764705882353,1.0,0.9696969696969697,16
69,Necklace and Chains,0.7678571428571429,0.8113207547169812,0.7889908256880734,53
70,Nehru Jackets,1.0,0.25,0.4,4
71,Night suits,0.7076923076923077,0.7796610169491526,0.7419354838709677,59
72,Nightdress,0.4,0.23529411764705882,0.2962962962962963,34
73,Patiala,0.875,0.6086956521739131,0.717948717948718,23
74,Pendant,0.7878787878787878,0.7428571428571429,0.7647058823529411,105
75,Perfume and Body Mist,0.8556263269639066,0.8502109704641351,0.852910052910053,474
76,Rain Jacket,0.0,0.0,0.0,1
77,Rain Trousers,0.0,0.0,0.0,1
78,Ring,0.7692307692307693,0.5063291139240507,0.6106870229007634,79
79,Robe,0.0,0.0,0.0,2
80,Rompers,0.9090909090909091,0.9090909090909091,0.9090909090909091,11
81,Rucksacks,0.42857142857142855,0.3,0.35294117647058826,10
82,Salwar,0.6666666666666666,0.6428571428571429,0.6545454545454545,28
83,Salwar and Dupatta,0.75,1.0,0.8571428571428571,6
84,Sandals,0.7898448519040903,0.7619047619047619,0.775623268698061,735
85,Sarees,0.9166666666666666,0.937984496124031,0.9272030651340997,129
86,Scarves,0.7108433734939759,0.6344086021505376,0.6704545454545454,93
87,Shapewear,0.0,0.0,0.0,2
88,Shirts,0.9224689499435453,0.9358533791523482,0.9291129643669447,2619
89,Shoe Accessories,0.55,0.55,0.55,20
90,Shoe Laces,0.0,0.0,0.0,1
91,Shorts,0.7875,0.8456375838926175,0.8155339805825242,447
92,Shrug,0.0,0.0,0.0,2
93,Skirts,0.5277777777777778,0.5757575757575758,0.5507246376811594,99
94,Socks,0.9625984251968503,0.9385796545105566,0.9504373177842566,521
95,Sports Sandals,0.4,0.18518518518518517,0.25316455696202533,54
96,Sports Shoes,0.7928928373126041,0.8444707273802484,0.8178694158075601,1691
97,Stockings,0.875,0.6363636363636364,0.7368421052631579,22
98,Stoles,0.6666666666666666,0.7272727272727273,0.6956521739130435,77
99,Sunglasses,0.9910414333706606,0.9988713318284425,0.9949409780775716,886
100,Suspenders,1.0,0.8823529411764706,0.9375,34
101,Sweaters,0.5981308411214953,0.5470085470085471,0.5714285714285714,234
102,Sweatshirts,0.5673469387755102,0.5864978902953587,0.5767634854771784,237
103,Swimwear,0.4,0.26666666666666666,0.32,15
104,Tablet Sleeve,0.0,0.0,0.0,2
105,Ties,0.9833333333333333,0.9888268156424581,0.9860724233983287,179
106,Ties and Cufflinks,0.0,0.0,0.0,1
107,Tights,0.2222222222222222,0.25,0.23529411764705882,8
108,Tops,0.6406666666666667,0.701972242512783,0.6699198326943185,1369
109,Track Pants,0.7647058823529411,0.8353413654618473,0.7984644913627639,249
110,Tracksuits,0.782608695652174,0.75,0.7659574468085106,24
111,Travel Accessory,0.4,0.3333333333333333,0.36363636363636365,12
112,Trolley Bag,0.0,0.0,0.0,3
113,Trousers,0.848780487804878,0.8,0.8236686390532545,435
114,Trunk,0.8034188034188035,0.7899159663865546,0.7966101694915254,119
115,Tshirts,0.9207487753673897,0.9156228253305497,0.9181786461967899,5748
116,Tunics,0.29914529914529914,0.23648648648648649,0.2641509433962264,148
117,Umbrellas,1.0,1.0,1.0,5
118,Waist Pouch,0.6,0.2,0.3,15
119,Waistcoat,0.5,0.16666666666666666,0.25,12
120,Wallets,0.8825857519788918,0.9502840909090909,0.9151846785225718,704
121,Watches,0.9751552795031055,0.9858712715855573,0.9804839968774395,1911
122,Water Bottle,0.42857142857142855,0.3,0.35294117647058826,10
123,Wristbands,0.5,0.4,0.4444444444444444,5
