run_id,candidate_id,fold,epoch,train_loss,macro_f1,weighted_f1,top1_accuracy,top5_accuracy,validation_loss
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,1,4.815832598616438,0.0068820721297975,0.0117606744761508,0.0260829774252593,0.1786150091519219,4.517665367860061
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,2,4.33598008504728,0.0346510049528851,0.0908115998142081,0.110280658938377,0.3735509456985967,3.5104899543982286
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,3,3.800879700590925,0.085264013753264,0.1870200386420639,0.2016473459426479,0.5738255033557047,2.9351932177176843
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,4,3.280000284822976,0.1425043078231895,0.323797381217873,0.2884380719951189,0.6899023794996949,2.557841358276514
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,5,2.7995338846997515,0.1957071983047228,0.3897317939897138,0.4171751067724222,0.7827943868212325,2.20779101894452
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,6,2.420183425996361,0.2442271259131042,0.3897085862631617,0.3816351433801098,0.7692190359975595,2.0689551073771257
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,7,2.075043093576664,0.2511321433829336,0.3850652394063663,0.3692800488102501,0.8126906650396584,2.063555027429874
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,8,1.8159708497000904,0.3017940272939788,0.4971347602647124,0.4594264795607077,0.8071995118974985,1.877002775669098
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,9,1.5538791874559914,0.3435179928078644,0.6082485750684046,0.5773337400854179,0.9151921903599756,1.397172165604738
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,10,1.3934189715036531,0.3485645027340961,0.5790676194511016,0.5399633923123855,0.8827028676021964,1.5379966921531236
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,11,1.2383868593995164,0.3911902980831312,0.6420181054704955,0.6041793776693105,0.9289200732153752,1.2659593511086245
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,12,1.0628519530703382,0.3877880271791021,0.65361595027613,0.6273642464917633,0.924496644295302,1.2699838464076705
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,13,0.9399189808019778,0.3908807794408223,0.6587499244526697,0.62660158633313,0.9420378279438684,1.2191977798938751
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,14,0.8268183723455522,0.4145824615635615,0.6870146636331561,0.6560402684563759,0.9428004881025016,1.1514542607160716
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,15,0.7201567341641681,0.4536248853025122,0.6981689538955885,0.6696156192800488,0.9455460646735816,1.1618484499362798
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,16,0.6331622511148453,0.4377729397579665,0.6897339728638315,0.665039658328249,0.947071384990848,1.160263140614216
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,17,0.5864533352415736,0.4605933770317713,0.7151939112092627,0.6928004881025015,0.953020134228188,1.0790678881681883
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,18,0.5154351732352885,0.4644692694282367,0.7269218495560921,0.7034777303233679,0.9572910311165344,1.059346697651423
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,19,0.4944842725992203,0.4628171431966407,0.7265484748352071,0.7048505186089079,0.9568334350213544,1.0663286264126115
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f1-s2753-bbb859949c56,task1_cnn_mild_aug_balanced_weighted_v1,1,20,0.4941779777771089,0.467498645810433,0.7278181589453513,0.7063758389261745,0.9562233068944478,1.0632522805378988
task1-cnn-task1_cnn_mild_aug_balanced_weighted_v1-f2-s2753-0b41fbf934d5,task1_cnn_mild_aug_balanced_weighted_v1,2,1,4.796192048235637,0.0113450929721591,0.0393735153619623,0.0721806806043033,0.2339386540515794,4.173954679415776
