family,tuning_id,experiment_id,epoch,fold_count,learning_rate_mean,learning_rate_sd,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd
C1,T1,g3-c1-t1-smallcnn,1,5,0.001,0.0,1.0078633902509169,0.002088581271804308,0.9879642674588304,0.18954262771362326,0.5812934946458772,0.0503311753943981,0.48670937410886994,0.08986848384282015
C1,T1,g3-c1-t1-smallcnn,2,5,0.0009970974765324432,0.0,0.8393171666690618,0.00424152079823943,0.8399772069756841,0.02962009532936338,0.6393009458989456,0.012720642749857243,0.6067913918021093,0.027948481154277477
C1,T1,g3-c1-t1-smallcnn,3,5,0.0009883670094660564,0.0,0.7843399752256482,0.003479906220828308,0.7853896738030701,0.0191979749289108,0.6591756812349893,0.012928262708457306,0.6597759270952922,0.00711687028148656
C1,T1,g3-c1-t1-smallcnn,4,5,0.0009739108857318952,0.0,0.7563085922327104,0.003908476870479382,0.7819878752169247,0.047414287099962246,0.6668110864710114,0.028854955829632788,0.6327439525758478,0.04943467107815389
C1,T1,g3-c1-t1-smallcnn,5,5,0.0009538985901633823,0.0,0.7337242204566928,0.0036747280675508273,0.7856022084709684,0.06350859542584349,0.6756016336646646,0.022964949810710147,0.6494508808779658,0.04018770962807262
C1,T1,g3-c1-t1-smallcnn,6,5,0.0009285647486286424,0.0,0.7132807407517072,0.00551222678615803,0.7341656469284804,0.014346420958421003,0.6913875900979811,0.007231778604329568,0.6799785877588225,0.015455562057100856
C1,T1,g3-c1-t1-smallcnn,7,5,0.0008982063772567181,0.0,0.6944106237820205,0.0035237091589071083,0.769233500751518,0.11587094445541347,0.6875134184979625,0.036568890035395894,0.6554998055525749,0.05758645419115485
C1,T1,g3-c1-t1-smallcnn,8,5,0.0008631794001950214,0.0,0.6812820040371863,0.003036151174813589,0.7121113657487084,0.0550926977559243,0.7050357089001431,0.02871989693447976,0.6971693040463102,0.025384270689792553
C1,T1,g3-c1-t1-smallcnn,9,5,0.0008238944767241307,0.0,0.6658483547763767,0.002276270929498971,0.7105317809458599,0.024845813520986682,0.703629921443336,0.02080097343918534,0.6837414949843963,0.03172573388315007
C1,T1,g3-c1-t1-smallcnn,10,5,0.0007808121866531934,0.0,0.6512977878058858,0.003529465018966131,0.692382956027265,0.024117556161254793,0.7200255864521374,0.01459489772045836,0.7088001514183662,0.01092818417263944
C1,T1,g3-c1-t1-smallcnn,11,5,0.0007344376304427783,0.0,0.6391804455032079,0.003824112313256898,0.6786908633906563,0.023236873059930708,0.7257356125875913,0.005512474871370178,0.7122416483146594,0.009979655320041005
C1,T1,g3-c1-t1-smallcnn,12,5,0.0006853145073637911,0.0,0.6268527850758081,0.001537818329367464,0.6815103964103658,0.017593413069015663,0.7195378523987384,0.012509388436428407,0.7081220892235384,0.011977514430637179
C1,T1,g3-c1-t1-smallcnn,13,5,0.0006340187411206335,0.0,0.6130692930663943,0.003460701430582546,0.6768217775953886,0.018448292374226183,0.7257959542701387,0.00502348195417256,0.7156759039198757,0.009231449363469852
C1,T1,g3-c1-t1-smallcnn,14,5,0.0005811517276723399,0.0,0.6011575283216961,0.002433570718516697,0.6662118324071649,0.026676726705175305,0.7323916723829982,0.010889423531535212,0.7230342713471684,0.00836959248926744
C1,T1,g3-c1-t1-smallcnn,15,5,0.0005273332844148203,0.0,0.5883964865798941,0.0025317165224337085,0.6697265672498149,0.01870755098678666,0.7318415507176059,0.0020377830628855276,0.71315019326357,0.005513130351835105
C1,T1,g3-c1-t1-smallcnn,16,5,0.0004731943833885973,0.0,0.5755699836197111,0.003314765234860047,0.6538441599163022,0.018216660289801522,0.7417341072299187,0.005918312680709411,0.7267234399896132,0.006459213198548866
C1,T1,g3-c1-t1-smallcnn,17,5,0.00041936975370853396,0.0,0.563838872205696,0.0046522555625794,0.6546542059511162,0.014785911006712664,0.7417948403657013,0.007058803018963248,0.7232219049663292,0.007787295730203961
C1,T1,g3-c1-t1-smallcnn,18,5,0.00036649043994530075,0.0,0.5509431033313097,0.0031716503223092624,0.6603397973303217,0.008214445136967596,0.7389251286787994,0.005136015085119981,0.7238141476971546,0.006698245795111714
C2,T0,g3-c2-t0-resnet18,1,5,0.0003,0.0,1.0513023098356382,0.00294917523961862,0.962748184282112,0.038193771861612276,0.5728034300163338,0.020033915868822118,0.45121136750338026,0.0773912580739384
C2,T0,g3-c2-t0-resnet18,2,5,0.00029912924295973293,0.0,0.8496940005190157,0.003662935981717452,0.8872787183810695,0.10278056515177159,0.6209811930931135,0.04688209910620224,0.5858473981923656,0.055131484068747634
C2,T0,g3-c2-t0-resnet18,3,5,0.0002965101028398169,0.0,0.7852519070506795,0.005396853131521254,1.0354838498432462,0.46521598556968075,0.5829327815125065,0.15511733848481357,0.5395363821564658,0.20084726641575665
C2,T0,g3-c2-t0-resnet18,4,5,0.0002921732657195685,0.0,0.757226027521704,0.006074410705070683,0.7951928554096392,0.02318190455994227,0.6604287361521407,0.016746808124565225,0.623573723341699,0.028817932836875563
C2,T0,g3-c2-t0-resnet18,5,5,0.00028616957704901465,0.0,0.7350288082519504,0.0030100098167001542,0.7629769189659499,0.04462349512857058,0.6848848685274473,0.02067215621413183,0.662818047852067,0.025226192340158764
