family,tuning_id,experiment_id,epoch,fold_count,learning_rate_mean,learning_rate_sd,train_loss_mean,train_loss_sd,validation_loss_mean,validation_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd
C2,T0,g3-c2-t0-resnet18,6,5,0.0002785694245885927,0.0,0.7147166950933403,0.005559113263985669,0.7519393049427207,0.017578666532461915,0.6772823929992289,0.015449428910339989,0.6609163519880075,0.018477899973042083
C2,T0,g3-c2-t0-resnet18,7,5,0.00026946191317701537,0.0,0.6988326820403035,0.0042547396986195255,0.7474763229791515,0.055885971078245084,0.6890691606096189,0.027743978717973794,0.6669953639511612,0.029744441067298854
C2,T0,g3-c2-t0-resnet18,8,5,0.0002589538200585064,0.0,0.6846784913088755,0.0036669202605891225,0.759465069898989,0.08366293788259843,0.6941036374635138,0.034732015072088306,0.6722634459702274,0.04852984758831579
C2,T0,g3-c2-t0-resnet18,9,5,0.00024716834301723915,0.0,0.6705296955272074,0.0030387424025239782,0.7303740787704803,0.014326613415176187,0.6923644237332328,0.0100384661031508,0.6712488678778045,0.013007358256104709
C2,T0,g3-c2-t0-resnet18,10,5,0.000234243655995958,0.0,0.6563008294747353,0.004092576995332261,0.7032281502337601,0.04732443707964297,0.7145927461710659,0.01601339050766046,0.6942833426089111,0.020269173489400067
C2,T0,g3-c2-t0-resnet18,11,5,0.00022033128913283344,0.0,0.6461660932920719,0.0038225692885967273,0.7052891451092094,0.019246545161786432,0.710560301119852,0.0073552764568930225,0.6913585140712579,0.006486916345372338
C2,T0,g3-c2-t0-resnet18,12,5,0.00020559435220913729,0.0,0.6316820056421879,0.002459452074144336,0.7061072834052708,0.027653973601039418,0.7088808418645213,0.016963233114550016,0.6920307536253107,0.019216273782985564
C2,T0,g3-c2-t0-resnet18,13,5,0.00019020562233619003,0.0,0.6179960908361316,0.0030269610725566828,0.6877304122283034,0.0190574621930019,0.7232313717104676,0.005033531276566888,0.7037569461204636,0.00934059992849292
C2,T0,g3-c2-t0-resnet18,14,5,0.00017434551830170197,0.0,0.6042564394398883,0.0030911917613083597,0.677929065802845,0.03500407583559401,0.7283008475664757,0.013334502693750212,0.7110124251882801,0.01677859168200145
C2,T0,g3-c2-t0-resnet18,15,5,0.00015819998532444607,0.0,0.5905072286997795,0.003187747728611161,0.6673141876531519,0.013928936097833168,0.7325743798160678,0.005331407138438716,0.7143687312759,0.006679041755740449
C2,T0,g3-c2-t0-resnet18,16,5,0.00014195831501657917,0.0,0.5780677481944462,0.004660828317206387,0.6603896114858607,0.019101822876272795,0.7376424809240195,0.00712639499400367,0.7211808131318167,0.00922500793895829
C2,T0,g3-c2-t0-resnet18,17,5,0.0001258109261125602,0.0,0.563722472027411,0.0038833096730866625,0.6750034558277531,0.03215507479469922,0.7317190544471025,0.017346766005072983,0.7145547887771283,0.021602558727714372
C2,T0,g3-c2-t0-resnet18,18,5,0.0001099471319835902,0.0,0.5500615826571007,0.004857904612519286,0.6866508267437059,0.03765069786330878,0.7273532947905849,0.015445870946235906,0.7110779034919859,0.017538949509440516
C2,T0,g3-c2-t0-resnet18,19,5,9.455292111142625e-05,0.0,0.5348093008944547,0.003700750916992233,0.6699164749860296,0.019239656323268458,0.7397795545787671,0.007308231233348502,0.7259651895070813,0.007816323794584782
