family,tuning_id,experiment_id,run_id,fold,history_sha256,epoch,learning_rate,train_loss,validation_loss,validation_accuracy,validation_macro_f1,common_horizon,used_in_five_fold_summary
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f0-s2753-bdfa9d992e00,0,b137f1cd384266e66acb0919c01b1e6879f8f39a93b21deb060541f14d6df145,19,0.0003151764037047542,0.5349211427679372,0.6636900404937395,0.7380152671755725,0.7242770481748448,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f0-s2753-bdfa9d992e00,0,b137f1cd384266e66acb0919c01b1e6879f8f39a93b21deb060541f14d6df145,20,0.00026602925514494373,0.5244484370125025,0.6856386007152441,0.7294656488549618,0.7146633692628812,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f0-s2753-bdfa9d992e00,0,b137f1cd384266e66acb0919c01b1e6879f8f39a93b21deb060541f14d6df145,21,0.0002196251996470665,0.50786995342732,0.6565932744513941,0.746412213740458,0.7316225930206761,18,False
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,1,0.001,1.007693801041951,1.3198148703469592,0.5058769653488017,0.33906864312340457,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,2,0.0009970974765324432,0.8328339839771444,0.8328875286345118,0.630896046405129,0.627459566061418,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,3,0.0009883670094660564,0.7787710377100123,0.7828617901897416,0.6719584796214318,0.6707535838608992,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,4,0.0009739108857318951,0.7523481680795296,0.7585175831960987,0.6872233246832544,0.6722832403363131,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,5,0.0009538985901633824,0.7301741311108099,0.8432199079341478,0.6515035872385895,0.6056851258278966,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,6,0.0009285647486286424,0.7044634948968068,0.7398168820585845,0.6919554266524195,0.6745632721291883,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,7,0.0008982063772567181,0.6919691273296401,0.7600323777310886,0.685544191726454,0.667019138245383,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,8,0.0008631794001950215,0.676995565682711,0.8090345690203448,0.6556250954052817,0.6534530994245394,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,9,0.0008238944767241306,0.6626123929831756,0.700450588357192,0.7165318272019539,0.7002351335193718,18,True
C1,T1,g3-c1-t1-smallcnn,g3-c1-t1-smallcnn-f1-s2753-b63b6a84d669,1,0795a6e42d4866fbad2cee774e3c628e453885099a296b84d1acf18327789676,10,0.0007808121866531934,0.6460393720178711,0.7062423600984555,0.7102732407266066,0.7076086856930703,18,True
