family,tuning_id,screen_experiment_id,experiment_id,screen_pooled_macro_f1,pooled_macro_f1,full_minus_screen_macro_f1,median_best_epoch
C1,T1,g2-t1-c1-smallcnn,g3-c1-t1-smallcnn,0.7080748795801736,0.7373102656771614,0.029235386096987837,20.0
C2,T0,g1-c2-resnet18,g3-c2-t0-resnet18,0.707099241697181,0.7351673521014609,0.028068110404279922,22.0
