label,clean_train,clean,gap,contribution_to_macro_gap,share_of_macro_gap
Boys,0.9720254492981766,0.6723346604733467,0.29969078882482997,0.05993815776496599,0.28103853060178274
Girls,0.9625811378388698,0.6179312304631998,0.34464990737567003,0.068929981475134,0.3231994680941418
Men,0.9869532442394733,0.9346951733528475,0.05225807088662571,0.010451614177325142,0.049005615126347456
Unisex,0.8980304654096476,0.6000386996904025,0.29799176571924507,0.059598353143849016,0.27944525187965574
Women,0.9862590913398104,0.9144805814988706,0.07177850984093981,0.014355701968187962,0.0673111342980722
