model,fold,scope,label,precision,recall,f1,support,predicted_count
gray10,pooled,clean,Boys,0.6856060606060606,0.6605839416058394,0.6728624535315985,274,264
gray10,pooled,clean,Girls,0.6512820512820513,0.5879629629629629,0.6180048661800487,216,195
gray10,pooled,clean,Men,0.9225178277564454,0.9471979724021402,0.9346950118104765,7102,7292
gray10,pooled,clean,Unisex,0.6886446886446886,0.5310734463276836,0.5996810207336523,708,546
gray10,pooled,clean,Women,0.914190733430293,0.9147609147609148,0.9144757352177075,4810,4813
gray10,0,clean,Boys,0.6640625,0.625,0.6439393939393939,136,128
gray10,0,clean,Girls,0.6391752577319587,0.5794392523364486,0.6078431372549019,107,97
gray10,0,clean,Men,0.9231191652937946,0.9470422535211268,0.9349276974416018,3550,3642
gray10,0,clean,Unisex,0.7351778656126482,0.523943661971831,0.6118421052631579,355,253
gray10,0,clean,Women,0.9083436087135224,0.918918918918919,0.9136006614303431,2405,2433
gray10,4,clean,Boys,0.7058823529411765,0.6956521739130435,0.7007299270072993,138,136
gray10,4,clean,Girls,0.6632653061224489,0.5963302752293578,0.6280193236714976,109,98
gray10,4,clean,Men,0.9219178082191781,0.9473536036036037,0.9344626492640933,3552,3650
gray10,4,clean,Unisex,0.6484641638225256,0.5382436260623229,0.5882352941176471,353,293
gray10,4,clean,Women,0.9201680672268907,0.9106029106029107,0.9153605015673981,2405,2380
gray10,pooled,gray,Boys,0.6814516129032258,0.6167883211678832,0.6475095785440613,274,248
gray10,pooled,gray,Girls,0.6380368098159509,0.48148148148148145,0.5488126649076517,216,163
gray10,pooled,gray,Men,0.9044313934863855,0.9540974373415939,0.9286007948471975,7102,7492
gray10,pooled,gray,Unisex,0.7337164750957854,0.5409604519774012,0.6227642276422765,708,522
gray10,pooled,gray,Women,0.9156883671291356,0.8918918918918919,0.9036334913112164,4810,4685
gray10,0,gray,Boys,0.6666666666666666,0.5882352941176471,0.625,136,120
gray10,0,gray,Girls,0.5507246376811594,0.35514018691588783,0.4318181818181818,107,69
gray10,0,gray,Men,0.903096636412173,0.9529577464788732,0.9273574561403509,3550,3746
gray10,0,gray,Unisex,0.7791666666666667,0.5267605633802817,0.6285714285714286,355,240
gray10,0,gray,Women,0.907905803195963,0.8977130977130977,0.902780681580598,2405,2378
gray10,4,gray,Boys,0.6953125,0.644927536231884,0.6691729323308271,138,128
gray10,4,gray,Girls,0.7021276595744681,0.6055045871559633,0.6502463054187192,109,94
gray10,4,gray,Men,0.905766150560598,0.9552364864864865,0.9298437928199507,3552,3746
