fold,label,train_recall,train_recall_at_validation_article_mix,validation_recall,validation_recall_on_covered_articles,validation_n,unseen_article_n,train_family_mean_recall,validation_family_mean_recall
0,Boys,0.9726277372262774,0.9796694211909125,0.625,0.625,136,0,0.9575471698113207,0.6139240506329114
0,Girls,0.963302752293578,0.9630432669865894,0.5794392523364486,0.5794392523364486,107,0,0.943609022556391,0.5716666666666667
0,Unisex,0.8497519489723601,0.8530777605988396,0.523943661971831,0.5329512893982808,355,6,0.8336839030090564,0.519163763066202
4,Boys,0.9652014652014652,0.9643849705088898,0.6956521739130435,0.7272727272727273,138,6,0.9476190476190476,0.6038617886178862
4,Girls,0.9585253456221198,0.9608949821768016,0.5963302752293578,0.5963302752293578,109,0,0.9375,0.55625
4,Unisex,0.8527954706298655,0.8470010539554265,0.5382436260623229,0.5413105413105413,353,2,0.8345988468679761,0.49742268041237114
