model,fold,basis,class_name,train_f1,validation_f1,gap
Gray10,0,name_truth,Boys,0.8638195004029009,0.6622073578595318,0.20161214254336912
Gray10,0,name_truth,Girls,0.87035175879397,0.6359832635983262,0.23436849519564373
Gray10,0,name_truth,Men,0.9828812962310672,0.9365921787709497,0.046289117460117546
Gray10,0,name_truth,Unisex,0.9000751314800902,0.6128500823723229,0.28722504910776736
Gray10,0,name_truth,Women,0.9816207184628237,0.9131430951885025,0.06847762327432128
Gray10,0,original_teacher,Boys,0.9761904761904762,0.6439393939393939,0.33225108225108224
Gray10,0,original_teacher,Girls,0.9621993127147767,0.607843137254902,0.35435617545987463
Gray10,0,original_teacher,Men,0.987701040681173,0.9349276974416018,0.05277334323957128
Gray10,0,original_teacher,Unisex,0.9001501501501502,0.6118421052631579,0.28830804488699235
Gray10,0,original_teacher,Women,0.9865089248650892,0.913600661430343,0.07290826343474621
Gray10,4,name_truth,Boys,0.867862969004894,0.7040498442367601,0.16381312476813392
Gray10,4,name_truth,Girls,0.8591691995947315,0.6473029045643153,0.2118662950304162
Gray10,4,name_truth,Men,0.9817785282116224,0.9352900069881201,0.04648852122350222
Gray10,4,name_truth,Unisex,0.8954224041682173,0.5851393188854489,0.3102830852827684
Gray10,4,name_truth,Women,0.9807370184254607,0.9160176804883182,0.06471933793714246
Gray10,4,original_teacher,Boys,0.9678604224058769,0.7007299270072992,0.2671304953985777
Gray10,4,original_teacher,Girls,0.9629629629629628,0.6280193236714976,0.3349436392914652
Gray10,4,original_teacher,Men,0.9862054477977732,0.9344626492640934,0.0517427985336798
Gray10,4,original_teacher,Unisex,0.895910780669145,0.5882352941176471,0.3076754865514979
Gray10,4,original_teacher,Women,0.9860092578145317,0.9153605015673981,0.07064875624713363
E6,0,name_truth,Boys,0.8771084337349397,0.6620689655172414,0.21503946821769837
E6,0,name_truth,Girls,0.8772635814889337,0.6075949367088608,0.2696686447800729
E6,0,name_truth,Men,0.9946561913862051,0.9276288373385192,0.0670273540476859
E6,0,name_truth,Unisex,0.9985815602836878,0.6019417475728156,0.39663981271087223
E6,0,name_truth,Women,0.993516000836645,0.8987820243595128,0.09473397647713222
E6,0,original_teacher,Boys,1.0,0.627450980392157,0.37254901960784303
E6,0,original_teacher,Girls,1.0,0.5445544554455445,0.4554455445544555
E6,0,original_teacher,Men,1.0,0.9271193472548749,0.07288065274512512
E6,0,original_teacher,Unisex,1.0,0.6009693053311793,0.3990306946688207
E6,0,original_teacher,Women,1.0,0.8981037716190873,0.10189622838091272
E6,4,name_truth,Boys,0.8868999186330351,0.6114649681528662,0.27543495048016886
E6,4,name_truth,Girls,0.8738647830474269,0.5638766519823789,0.30998813106504797
E6,4,name_truth,Men,0.9950829530581202,0.9301030353661932,0.06497991769192701
E6,4,name_truth,Unisex,0.998582565556343,0.5781990521327015,0.42038351342364144
E6,4,name_truth,Women,0.9933580879661107,0.9062631357713326,0.08709495219477814
E6,4,original_teacher,Boys,1.0,0.651685393258427,0.348314606741573
E6,4,original_teacher,Girls,1.0,0.5595854922279793,0.44041450777202074
E6,4,original_teacher,Men,0.9999647924515016,0.9309724719878268,0.06899232046367476
E6,4,original_teacher,Unisex,0.9996460176991151,0.5813586097946287,0.4182874079044864
E6,4,original_teacher,Women,1.0,0.907762938230384,0.09223706176961599
NameTruth,0,name_truth,Boys,0.9784791965566715,0.735202492211838,0.2432767043448335
NameTruth,0,name_truth,Girls,0.9848078641644327,0.7318840579710145,0.25292380619341814
NameTruth,0,name_truth,Men,0.9877539463438805,0.9394193188163037,0.04833462752757678
NameTruth,0,name_truth,Unisex,0.8967863894139886,0.6140939597315436,0.282692429682445
NameTruth,0,name_truth,Women,0.9871767920958587,0.9185091598231206,0.06866763227273809
NameTruth,0,original_teacher,Boys,0.8578313253012048,0.6433566433566433,0.21447468194456143
NameTruth,0,original_teacher,Girls,0.8625877632898696,0.5892116182572613,0.2733761450326083
NameTruth,0,original_teacher,Men,0.9825722634932929,0.9355197331851028,0.04705253030819001
NameTruth,0,original_teacher,Unisex,0.8953532300717794,0.6130653266331658,0.28228790343861354
NameTruth,0,original_teacher,Women,0.9809901817422185,0.9130798161303804,0.06791036561183816
NameTruth,4,name_truth,Boys,0.9785977859778598,0.7932960893854748,0.18530169659238505
NameTruth,4,name_truth,Girls,0.9866190900981268,0.7632508833922261,0.22336820670590063
NameTruth,4,name_truth,Men,0.9869946282160023,0.9408134642356242,0.04618116398037808
NameTruth,4,name_truth,Unisex,0.9054505005561735,0.5798449612403102,0.32560553931586333
NameTruth,4,name_truth,Women,0.9875019775352002,0.9259259259259259,0.06157605160927426
NameTruth,4,original_teacher,Boys,0.870279146141215,0.6623794212218649,0.20789972491935016
NameTruth,4,original_teacher,Girls,0.8597194388777555,0.6345381526104417,0.22518128626731382
NameTruth,4,original_teacher,Men,0.982412944073162,0.9346523617110212,0.04776058236214087
NameTruth,4,original_teacher,Unisex,0.9044444444444445,0.5798449612403102,0.32459948320413434
NameTruth,4,original_teacher,Women,0.9812427957665304,0.9192730346576501,0.061969761108880306
MixUp,0,name_truth,Boys,0.9598853868194842,0.8061538461538461,0.1537315406656381
MixUp,0,name_truth,Girls,0.9555757026291932,0.790035587188612,0.16554011544058123
MixUp,0,name_truth,Men,0.9740634005763689,0.9383846794338051,0.03567872114256376
MixUp,0,name_truth,Unisex,0.8221436984687868,0.6057529610829102,0.21639073738587655
MixUp,0,name_truth,Women,0.9697993664202745,0.9189878800765467,0.050811486343727785
MixUp,0,original_teacher,Boys,0.8452285485164395,0.7103448275862069,0.1348837209302326
MixUp,0,original_teacher,Girls,0.8358817533129461,0.6585365853658536,0.17734516794709254
MixUp,0,original_teacher,Men,0.9691291123308743,0.9345122962144239,0.0346168161164504
MixUp,0,original_teacher,Unisex,0.8214986269125146,0.6047297297297297,0.21676889718278491
MixUp,0,original_teacher,Women,0.9637985309548793,0.9135021097046414,0.05029642125023792
MixUp,4,name_truth,Boys,0.9614814814814815,0.793201133144476,0.16828034833700545
MixUp,4,name_truth,Girls,0.9586330935251799,0.7883211678832117,0.17031192564196818
MixUp,4,name_truth,Men,0.9737220643441041,0.9376572546826949,0.036064809661409236
MixUp,4,name_truth,Unisex,0.8368684920940995,0.5909090909090909,0.24595940118500859
MixUp,4,name_truth,Women,0.9690579633358058,0.920500317998728,0.04855764533707785
MixUp,4,original_teacher,Boys,0.854080791426216,0.673202614379085,0.18087817704713094
MixUp,4,original_teacher,Girls,0.833164812942366,0.6666666666666666,0.16649814627569937
MixUp,4,original_teacher,Men,0.9693752837238537,0.9318150256908763,0.03756025803297747
MixUp,4,original_teacher,Unisex,0.8359013867488444,0.5909090909090909,0.24499229583975346
MixUp,4,original_teacher,Women,0.9632047165341896,0.9143338244580088,0.04887089207618078
G2,0,name_truth,Boys,0.8743961352657005,0.6968641114982578,0.1775320237674427
G2,0,name_truth,Girls,0.8761329305135952,0.6666666666666666,0.20946626384692857
G2,0,name_truth,Men,0.9922951862585707,0.9354256353284266,0.05686955093014412
G2,0,name_truth,Unisex,0.9798994974874372,0.6108374384236454,0.36906205906379186
G2,0,name_truth,Women,0.9921045751633987,0.9148623081774228,0.07724226698597592
G2,0,original_teacher,Boys,0.9954254345837146,0.6984126984126984,0.2970127361710162
G2,0,original_teacher,Girls,0.9942594718714123,0.6451612903225806,0.34909818154883165
G2,0,original_teacher,Men,0.9976444116302781,0.9346052813493709,0.06303913028090713
G2,0,original_teacher,Unisex,0.9799139167862266,0.6098360655737705,0.3700778512124562
G2,0,original_teacher,Women,0.9984931150948299,0.9144764288694202,0.0840166862254097
G2,4,name_truth,Boys,0.8850855745721271,0.6646884272997032,0.22039714727242388
G2,4,name_truth,Girls,0.8715874620829119,0.56,0.3115874620829119
G2,4,name_truth,Men,0.9933896567570435,0.9401877013587338,0.05320195539830974
G2,4,name_truth,Unisex,0.9835596854896355,0.5987841945288753,0.38477549096076014
G2,4,name_truth,Women,0.9924198860369075,0.9202944269190326,0.07212545911787482
G2,4,original_teacher,Boys,0.9963302752293578,0.6482758620689655,0.3480544131603923
G2,4,original_teacher,Girls,0.9953810623556582,0.5445026178010473,0.4508784445546109
G2,4,original_teacher,Men,0.9982056784998066,0.9390481491789591,0.0591575293208475
G2,4,original_teacher,Unisex,0.9839343091752945,0.5987841945288753,0.38515011464641913
G2,4,original_teacher,Women,0.9990650322044463,0.9216955523073711,0.07736947989707521
