label,precision,recall,f1,support
Fall,0.7740198552919401,0.5152329749103942,0.6186537556317665,8928
Spring,0.9366359447004609,0.6117381489841986,0.7401001365498406,1329
Summer,0.6879621127917653,0.8768709578072067,0.7710138648180243,16235
Winter,0.7710040007620499,0.6463823670340201,0.7032145960034752,6261
