model,scope,support,macro_f1,accuracy,nll,brier,ece_15,common_four_f1,rare_four_f1,folds
E2+E3,posthoc_equal_weight_diagnostic,32772,0.4182025695722424,0.8973513975344807,0.31550605851731495,0.16014331729181908,0.020327353352419725,0.8177094268465441,0.1232463546910012,"0,1,2,3,4"
E2+E8,posthoc_equal_weight_diagnostic,32772,0.4124538148449843,0.8964970096423777,0.3091773804440387,0.1603263872075475,0.010084463608095388,0.8164029447664503,0.11161813863476425,"0,1,2,3,4"
E3+E8,posthoc_equal_weight_diagnostic,32772,0.41899906592331976,0.8961613572561943,0.30954354919979926,0.16080824433901433,0.009103159337635815,0.8152277370371468,0.12752016129032256,"0,1,2,3,4"
E2+E3+E8,posthoc_equal_weight_diagnostic,32772,0.4231467111689681,0.8991212010252655,0.30324398416495696,0.1572958651298159,0.011632154795933509,0.8205986186486968,0.13148148148148148,"0,1,2,3,4"
E2+U2,posthoc_equal_weight_diagnostic,13110,0.4145845835822175,0.8984744469870328,0.31364598161511204,0.16182693720904157,0.03629079268628647,0.8113867416314179,0.12142857142857144,"0,4"
E2+E9,posthoc_equal_weight_diagnostic,32772,0.4180621002790664,0.8871597705358233,0.3374214954373347,0.1776756460459563,0.0252909831070045,0.8096600257161605,0.13097969991173875,"0,1,2,3,4"
