outer_fold,inner_calibration_fold,scope,class_name,precision,recall,f1,support
0,1,inner_base_training,Casual,0.9490239315130683,0.9701650865212491,0.9594780670119992,15083
0,1,inner_base_training,Ethnic,0.9443585780525502,0.93353705118411,0.9389166346523242,1309
0,1,inner_base_training,Formal,0.9240837696335078,0.8982188295165394,0.9109677419354839,1179
0,1,inner_base_training,Home,0.0,0.0,0.0,0
0,1,inner_base_training,NA,0.9473684210526315,1.0,0.972972972972973,36
0,1,inner_base_training,Party,1.0,1.0,1.0,7
0,1,inner_base_training,Smart Casual,1.0,1.0,1.0,28
0,1,inner_base_training,Sports,0.8305183459522423,0.7105132037867464,0.765843179377014,2007
0,1,inner_base_training,Travel,1.0,1.0,1.0,13
0,1,inner_base_heldout,Casual,0.9086424625098658,0.915324985092427,0.9119714823249827,5031
0,1,inner_base_heldout,Ethnic,0.7765486725663717,0.805045871559633,0.7905405405405406,436
0,1,inner_base_heldout,Formal,0.6938271604938272,0.7260981912144703,0.7095959595959596,387
0,1,inner_base_heldout,Home,0.0,0.0,0.0,0
0,1,inner_base_heldout,NA,0.3333333333333333,0.2857142857142857,0.3076923076923077,14
0,1,inner_base_heldout,Party,0.0,0.0,0.0,2
0,1,inner_base_heldout,Smart Casual,0.0,0.0,0.0,10
0,1,inner_base_heldout,Sports,0.6469622331691297,0.587183308494784,0.615625,671
0,1,inner_base_heldout,Travel,0.0,0.0,0.0,5
0,1,outer_validation,Casual,0.9073381861105646,0.9156243795910264,0.9114624505928853,5037
0,1,outer_validation,Ethnic,0.755011135857461,0.773972602739726,0.7643742953776775,438
0,1,outer_validation,Formal,0.6928934010152284,0.7127937336814621,0.7027027027027027,383
0,1,outer_validation,Home,0.0,0.0,0.0,0
0,1,outer_validation,NA,0.14285714285714285,0.18181818181818182,0.16,11
0,1,outer_validation,Party,0.0,0.0,0.0,3
0,1,outer_validation,Smart Casual,0.0,0.0,0.0,9
0,1,outer_validation,Sports,0.637123745819398,0.5703592814371258,0.6018957345971564,668
0,1,outer_validation,Travel,0.25,0.25,0.25,4
0,2,inner_base_training,Casual,0.950484112028072,0.9697672876748658,0.9600288789708585,15083
0,2,inner_base_training,Ethnic,0.9459459459459459,0.9358288770053476,0.9408602150537635,1309
0,2,inner_base_training,Formal,0.9248704663212435,0.9107142857142857,0.9177377892030848,1176
0,2,inner_base_training,Home,0.0,0.0,0.0,0
0,2,inner_base_training,NA,0.925,1.0,0.961038961038961,37
0,2,inner_base_training,Party,0.875,1.0,0.9333333333333333,7
0,2,inner_base_training,Smart Casual,1.0,1.0,1.0,29
0,2,inner_base_training,Sports,0.8285219399538106,0.7139303482587065,0.7669695350080171,2010
0,2,inner_base_training,Travel,1.0,1.0,1.0,14
0,2,inner_base_heldout,Casual,0.9,0.9177101967799642,0.9087688219663419,5031
0,2,inner_base_heldout,Ethnic,0.775175644028103,0.7591743119266054,0.7670915411355735,436
0,2,inner_base_heldout,Formal,0.6810126582278481,0.6897435897435897,0.6853503184713375,390
0,2,inner_base_heldout,Home,0.0,0.0,0.0,0
0,2,inner_base_heldout,NA,0.42857142857142855,0.23076923076923078,0.3,13
0,2,inner_base_heldout,Party,0.0,0.0,0.0,2
0,2,inner_base_heldout,Smart Casual,0.0,0.0,0.0,9
0,2,inner_base_heldout,Sports,0.6325823223570191,0.5464071856287425,0.5863453815261044,668
0,2,inner_base_heldout,Travel,0.16666666666666666,0.25,0.2,4
0,2,outer_validation,Casual,0.9023720839051167,0.9138376017470716,0.9080686525942,5037
0,2,outer_validation,Ethnic,0.7659090909090909,0.769406392694064,0.7676537585421412,438
0,2,outer_validation,Formal,0.6736292428198434,0.6736292428198434,0.6736292428198434,383
0,2,outer_validation,Home,0.0,0.0,0.0,0
0,2,outer_validation,NA,0.14285714285714285,0.18181818181818182,0.16,11
0,2,outer_validation,Party,0.0,0.0,0.0,3
0,2,outer_validation,Smart Casual,0.0,0.0,0.0,9
0,2,outer_validation,Sports,0.6233333333333333,0.5598802395209581,0.5899053627760252,668
0,2,outer_validation,Travel,0.0,0.0,0.0,4
0,3,inner_base_training,Casual,0.9517187601533563,0.9705765407554672,0.9610551527281079,15090
0,3,inner_base_training,Ethnic,0.9474903474903474,0.9387911247130833,0.9431206764027671,1307
0,3,inner_base_training,Formal,0.9142367066895368,0.9087809036658141,0.9115006412997008,1173
0,3,inner_base_training,Home,0.0,0.0,0.0,0
0,3,inner_base_training,NA,0.9743589743589743,1.0,0.987012987012987,38
0,3,inner_base_training,Party,1.0,1.0,1.0,7
0,3,inner_base_training,Smart Casual,0.9655172413793104,1.0,0.9824561403508771,28
0,3,inner_base_training,Sports,0.8372900984365953,0.719761075161772,0.7740899357601713,2009
0,3,inner_base_training,Travel,1.0,1.0,1.0,13
0,3,inner_base_heldout,Casual,0.9004683840749415,0.9183917197452229,0.9093417422152148,5024
0,3,inner_base_heldout,Ethnic,0.8051643192488263,0.7831050228310502,0.7939814814814815,438
0,3,inner_base_heldout,Formal,0.7161458333333334,0.6997455470737913,0.7078507078507078,393
0,3,inner_base_heldout,Home,0.0,0.0,0.0,0
0,3,inner_base_heldout,NA,0.08333333333333333,0.08333333333333333,0.08333333333333333,12
0,3,inner_base_heldout,Party,0.0,0.0,0.0,2
0,3,inner_base_heldout,Smart Casual,0.0,0.0,0.0,10
0,3,inner_base_heldout,Sports,0.6195286195286195,0.5500747384155455,0.5827395091053048,669
0,3,inner_base_heldout,Travel,0.0,0.0,0.0,5
0,3,outer_validation,Casual,0.9039103949695422,0.91324200913242,0.9085522417539008,5037
0,3,outer_validation,Ethnic,0.7657657657657657,0.776255707762557,0.7709750566893424,438
0,3,outer_validation,Formal,0.6912928759894459,0.6840731070496083,0.6876640419947506,383
0,3,outer_validation,Home,0.0,0.0,0.0,0
0,3,outer_validation,NA,0.16666666666666666,0.18181818181818182,0.17391304347826086,11
0,3,outer_validation,Party,0.0,0.0,0.0,3
0,3,outer_validation,Smart Casual,0.0,0.0,0.0,9
0,3,outer_validation,Sports,0.6227347611202636,0.5658682634730539,0.5929411764705882,668
0,3,outer_validation,Travel,0.14285714285714285,0.25,0.18181818181818182,4
0,4,inner_base_training,Casual,0.9489577245275668,0.9686464271510009,0.9587010004920453,15086
0,4,inner_base_training,Ethnic,0.938996138996139,0.9282442748091603,0.9335892514395393,1310
0,4,inner_base_training,Formal,0.9204152249134948,0.9094017094017094,0.9148753224419605,1170
0,4,inner_base_training,Home,0.0,0.0,0.0,0
0,4,inner_base_training,NA,0.9285714285714286,1.0,0.9629629629629629,39
0,4,inner_base_training,Party,1.0,1.0,1.0,6
0,4,inner_base_training,Smart Casual,0.9666666666666667,1.0,0.9830508474576272,29
0,4,inner_base_training,Sports,0.8244186046511628,0.7061752988047809,0.7607296137339056,2008
0,4,inner_base_training,Travel,1.0,1.0,1.0,14
0,4,inner_base_heldout,Casual,0.9034847298355521,0.9178599840891011,0.9106156274664562,5028
0,4,inner_base_heldout,Ethnic,0.7560975609756098,0.7839080459770115,0.7697516930022573,435
0,4,inner_base_heldout,Formal,0.6813725490196079,0.702020202020202,0.6915422885572139,396
0,4,inner_base_heldout,Home,0.0,0.0,0.0,0
0,4,inner_base_heldout,NA,0.4,0.36363636363636365,0.38095238095238093,11
0,4,inner_base_heldout,Party,0.0,0.0,0.0,3
0,4,inner_base_heldout,Smart Casual,0.0,0.0,0.0,9
0,4,inner_base_heldout,Sports,0.6678507992895204,0.5611940298507463,0.6098945660989457,670
0,4,inner_base_heldout,Travel,0.2,0.25,0.2222222222222222,4
0,4,outer_validation,Casual,0.9068396226415094,0.9160214413341274,0.9114074074074074,5037
0,4,outer_validation,Ethnic,0.7483731019522777,0.7876712328767124,0.7675194660734149,438
0,4,outer_validation,Formal,0.7115902964959568,0.6892950391644909,0.7002652519893899,383
0,4,outer_validation,Home,0.0,0.0,0.0,0
0,4,outer_validation,NA,0.09090909090909091,0.09090909090909091,0.09090909090909091,11
0,4,outer_validation,Party,0.0,0.0,0.0,3
0,4,outer_validation,Smart Casual,0.0,0.0,0.0,9
0,4,outer_validation,Sports,0.6392092257001647,0.5808383233532934,0.6086274509803922,668
0,4,outer_validation,Travel,0.25,0.25,0.25,4
4,0,inner_base_training,Casual,0.9489577245275668,0.9686464271510009,0.9587010004920453,15086
4,0,inner_base_training,Ethnic,0.938996138996139,0.9282442748091603,0.9335892514395393,1310
4,0,inner_base_training,Formal,0.9204152249134948,0.9094017094017094,0.9148753224419605,1170
4,0,inner_base_training,Home,0.0,0.0,0.0,0
4,0,inner_base_training,NA,0.9285714285714286,1.0,0.9629629629629629,39
4,0,inner_base_training,Party,1.0,1.0,1.0,6
4,0,inner_base_training,Smart Casual,0.9666666666666667,1.0,0.9830508474576272,29
4,0,inner_base_training,Sports,0.8244186046511628,0.7061752988047809,0.7607296137339056,2008
4,0,inner_base_training,Travel,1.0,1.0,1.0,14
4,0,inner_base_heldout,Casual,0.9068396226415094,0.9160214413341274,0.9114074074074074,5037
4,0,inner_base_heldout,Ethnic,0.7483731019522777,0.7876712328767124,0.7675194660734149,438
4,0,inner_base_heldout,Formal,0.7115902964959568,0.6892950391644909,0.7002652519893899,383
4,0,inner_base_heldout,Home,0.0,0.0,0.0,0
4,0,inner_base_heldout,NA,0.09090909090909091,0.09090909090909091,0.09090909090909091,11
4,0,inner_base_heldout,Party,0.0,0.0,0.0,3
4,0,inner_base_heldout,Smart Casual,0.0,0.0,0.0,9
4,0,inner_base_heldout,Sports,0.6392092257001647,0.5808383233532934,0.6086274509803922,668
4,0,inner_base_heldout,Travel,0.25,0.25,0.25,4
4,0,outer_validation,Casual,0.9033078880407125,0.9178599840891011,0.9105257965867614,5028
4,0,outer_validation,Ethnic,0.7560975609756098,0.7839080459770115,0.7697516930022573,435
4,0,outer_validation,Formal,0.6813725490196079,0.702020202020202,0.6915422885572139,396
4,0,outer_validation,Home,0.0,0.0,0.0,1
4,0,outer_validation,NA,0.4,0.36363636363636365,0.38095238095238093,11
4,0,outer_validation,Party,0.0,0.0,0.0,3
4,0,outer_validation,Smart Casual,0.0,0.0,0.0,9
4,0,outer_validation,Sports,0.6678507992895204,0.5611940298507463,0.6098945660989457,670
4,0,outer_validation,Travel,0.2,0.25,0.2222222222222222,4
4,1,inner_base_training,Casual,0.9489709796792832,0.968526371587596,0.9586489588457124,15092
4,1,inner_base_training,Ethnic,0.9503105590062112,0.9329268292682927,0.9415384615384615,1312
4,1,inner_base_training,Formal,0.9234782608695652,0.9108061749571184,0.917098445595855,1166
4,1,inner_base_training,Home,0.0,0.0,0.0,0
4,1,inner_base_training,NA,0.8780487804878049,1.0,0.935064935064935,36
4,1,inner_base_training,Party,1.0,1.0,1.0,7
