class_name,images,families,article_types,family_size_concentration,max_family
Casual,25151,17637,110,6674.046496660723,80
Ethnic,2183,1351,34,564.0299443721151,37
Formal,1949,1016,22,420.617982504706,23
Home,1,1,1,1.0,1
NA,61,49,14,32.92920353982301,6
Party,12,10,6,8.0,3
Smart Casual,47,37,9,28.68831168831169,4
Sports,3346,3020,35,2391.225117471166,20
Travel,22,22,5,22.0,1
