model,scope,support,macro_f1,accuracy,nll,brier,ece_15,common_four_f1,rare_four_f1
E2 prior^0.25,all_five_folds,32772,0.4149892208745412,0.8831014280483339,0.3547191550944414,0.18008590594857696,0.025733085913299134,0.8074218988619172,0.12630384810580053
E2 prior^0.25,folds_0_4,13110,0.4257037368356594,0.881159420289855,0.35716350293990146,0.18274169571481433,0.025024210589856478,0.8040098784684689,0.15382352941176472
E3 prior^0.25,all_five_folds,32772,0.4078995854012896,0.8839863297937264,0.34750763391579154,0.17817966199368104,0.018385286652801362,0.8087264481052826,0.10904761904761903
E3 prior^0.25,folds_0_4,13110,0.4121991120100713,0.8827612509534707,0.3492838954240393,0.18120239103016872,0.020631777703689104,0.8063186759753016,0.12112932604735882
E8 prior^0.25,all_five_folds,32772,0.3958930002472012,0.8654033931404858,0.38891864244980895,0.20398412291850432,0.02131015583504577,0.8012811621659468,0.089478088390256
E8 prior^0.25,folds_0_4,13110,0.40260695935454227,0.8650648360030511,0.3865003004273312,0.20387450377525107,0.022286063097689563,0.801416906725382,0.10444875182233807
