class_name,support,baseline_f1,candidate_f1,baseline_recall,candidate_recall
Casual,10065,0.931529677008283,0.9290611173238683,0.9441629408842523,0.9492300049677099
Ethnic,873,0.8532267275842376,0.8549346016646849,0.8556701030927835,0.8235967926689576
Formal,779,0.7965194109772424,0.7744565217391305,0.7637997432605905,0.7317073170731707
Home,1,0.0,0.0,0.0,0.0
NA,22,0.18181818181818182,0.23376623376623376,0.22727272727272727,0.4090909090909091
Party,6,0.0,0.0,0.0,0.0
Smart Casual,18,0.0,0.0,0.0,0.0
Sports,1338,0.6857610474631751,0.661839863713799,0.6263079222720478,0.5807174887892377
Travel,8,0.15999999999999998,0.05405405405405405,0.25,0.125
