method,fold,size,query_source,gallery_source,protocol,scope,checkpoint_fingerprint,config_fingerprint,descriptor_fingerprint,width,height,query_transform_seconds,gallery_transform_seconds,query_source_bytes,gallery_source_bytes,feature_bytes_per_image,uint8_tensor_bytes_per_image,float32_tensor_bytes_per_image,metric,k,aggregation,value,query_count,class_count,passed
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,20,article_type_macro,0.39900134,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,20,query_mean,0.70547161,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_any,20,article_type_macro,0.40313242,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,20,query_mean,0.20251068,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision_strict,20,article_type_macro,0.09273925,6552,104,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,20,query_mean,0.04059640,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,20,article_type_macro,0.03973836,6556,108,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,coverage,10,query_mean,0.39948139,6556,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,tie_rate,10,query_mean,0.04023795,6556,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,recall,10,query_mean,0.37589517,2619,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,hit_rate,10,query_mean,0.64490263,2619,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,teacher,teacher,family,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1009.35183002,1009.35183002,7550899200.00000000,7550899200.00000000,8512.00000000,230400.00000000,921600.00000000,precision,10,query_mean,0.15887743,2619,,
hog-plus-spatial-hsv-edge-equal-v1,1,240x320,v1,v1,primary,development,,,beddc2defcc98515aab246abd33dd1810b93c84c82f34cf7481af85cde59ffc6,240.00000000,320.00000000,1016.51920268,1016.51920268,11525856401.00000000,11525856401.00000000,8512.00000000,230400.00000000,921600.00000000,ndcg,5,query_mean,0.51279259,6552,104,
