masterCategory,,Fall,Spring,Summer,Winter
Accessories,0.0,0.09868622059272839,0.01059170995009675,0.39107852123434156,0.4996435482228333
Apparel,0.0,0.3733674642148156,0.007104795737122558,0.5900114930519277,0.029516246996134154
Footwear,0.002341646177262616,0.2791242243297038,0.038520079615970024,0.46165554384732466,0.2183585060297389
Free Items,0.0,0.0,0.0,0.5060240963855421,0.4939759036144578
Home,0.0,1.0,0.0,0.0,0.0
Personal Care,0.0,0.0,0.996003996003996,0.003996003996003996,0.0
Sporting Goods,0.0,0.44,0.0,0.48,0.08
