year,total,total_variation
2007,2,0.8789495493628924
2008,7,0.6567647363513933
2009,20,0.6299233398943334
2010,804,0.4893345094686105
2011,13689,0.29709023504229987
2012,13361,0.21383756683230995
2013,1115,0.5135576476840537
2014,172,0.6685534560890818
2015,2348,0.6929439188918505
2016,5362,0.7266556156597376
2017,1340,0.8415821544922234
2018,392,0.8391303221796332
