label,count,share,is_blank,column
10000,1,2.589868434683518e-05,False,id
10001,1,2.589868434683518e-05,False,id
10002,1,2.589868434683518e-05,False,id
10003,1,2.589868434683518e-05,False,id
10004,1,2.589868434683518e-05,False,id
10005,1,2.589868434683518e-05,False,id
10006,1,2.589868434683518e-05,False,id
10007,1,2.589868434683518e-05,False,id
10008,1,2.589868434683518e-05,False,id
10009,1,2.589868434683518e-05,False,id
10010,1,2.589868434683518e-05,False,id
10011,1,2.589868434683518e-05,False,id
10012,1,2.589868434683518e-05,False,id
10013,1,2.589868434683518e-05,False,id
10014,1,2.589868434683518e-05,False,id
10015,1,2.589868434683518e-05,False,id
10016,1,2.589868434683518e-05,False,id
10017,1,2.589868434683518e-05,False,id
10018,1,2.589868434683518e-05,False,id
10019,1,2.589868434683518e-05,False,id
10020,1,2.589868434683518e-05,False,id
10021,1,2.589868434683518e-05,False,id
10022,1,2.589868434683518e-05,False,id
10023,1,2.589868434683518e-05,False,id
10024,1,2.589868434683518e-05,False,id
10025,1,2.589868434683518e-05,False,id
10026,1,2.589868434683518e-05,False,id
10027,1,2.589868434683518e-05,False,id
10028,1,2.589868434683518e-05,False,id
10029,1,2.589868434683518e-05,False,id
10030,1,2.589868434683518e-05,False,id
10031,1,2.589868434683518e-05,False,id
10032,1,2.589868434683518e-05,False,id
10033,1,2.589868434683518e-05,False,id
10034,1,2.589868434683518e-05,False,id
10035,1,2.589868434683518e-05,False,id
10037,1,2.589868434683518e-05,False,id
10039,1,2.589868434683518e-05,False,id
10040,1,2.589868434683518e-05,False,id
10041,1,2.589868434683518e-05,False,id
10042,1,2.589868434683518e-05,False,id
10043,1,2.589868434683518e-05,False,id
10044,1,2.589868434683518e-05,False,id
10045,1,2.589868434683518e-05,False,id
10046,1,2.589868434683518e-05,False,id
10047,1,2.589868434683518e-05,False,id
10048,1,2.589868434683518e-05,False,id
10049,1,2.589868434683518e-05,False,id
10050,1,2.589868434683518e-05,False,id
10051,1,2.589868434683518e-05,False,id
10052,1,2.589868434683518e-05,False,id
10053,1,2.589868434683518e-05,False,id
10054,1,2.589868434683518e-05,False,id
10056,1,2.589868434683518e-05,False,id
10057,1,2.589868434683518e-05,False,id
10058,1,2.589868434683518e-05,False,id
10059,1,2.589868434683518e-05,False,id
10060,1,2.589868434683518e-05,False,id
10061,1,2.589868434683518e-05,False,id
10062,1,2.589868434683518e-05,False,id
10063,1,2.589868434683518e-05,False,id
10064,1,2.589868434683518e-05,False,id
10065,1,2.589868434683518e-05,False,id
10066,1,2.589868434683518e-05,False,id
10067,1,2.589868434683518e-05,False,id
10068,1,2.589868434683518e-05,False,id
10069,1,2.589868434683518e-05,False,id
10070,1,2.589868434683518e-05,False,id
10071,1,2.589868434683518e-05,False,id
10072,1,2.589868434683518e-05,False,id
10073,1,2.589868434683518e-05,False,id
10074,1,2.589868434683518e-05,False,id
10075,1,2.589868434683518e-05,False,id
10076,1,2.589868434683518e-05,False,id
10078,1,2.589868434683518e-05,False,id
10079,1,2.589868434683518e-05,False,id
10080,1,2.589868434683518e-05,False,id
10081,1,2.589868434683518e-05,False,id
10082,1,2.589868434683518e-05,False,id
10083,1,2.589868434683518e-05,False,id
10088,1,2.589868434683518e-05,False,id
10089,1,2.589868434683518e-05,False,id
10092,1,2.589868434683518e-05,False,id
10093,1,2.589868434683518e-05,False,id
10095,1,2.589868434683518e-05,False,id
10096,1,2.589868434683518e-05,False,id
10097,1,2.589868434683518e-05,False,id
10098,1,2.589868434683518e-05,False,id
10099,1,2.589868434683518e-05,False,id
10101,1,2.589868434683518e-05,False,id
10102,1,2.589868434683518e-05,False,id
10104,1,2.589868434683518e-05,False,id
10105,1,2.589868434683518e-05,False,id
10106,1,2.589868434683518e-05,False,id
10107,1,2.589868434683518e-05,False,id
10108,1,2.589868434683518e-05,False,id
10109,1,2.589868434683518e-05,False,id
10110,1,2.589868434683518e-05,False,id
10111,1,2.589868434683518e-05,False,id
10112,1,2.589868434683518e-05,False,id
10113,1,2.589868434683518e-05,False,id
10114,1,2.589868434683518e-05,False,id
10115,1,2.589868434683518e-05,False,id
10117,1,2.589868434683518e-05,False,id
10122,1,2.589868434683518e-05,False,id
10125,1,2.589868434683518e-05,False,id
10126,1,2.589868434683518e-05,False,id
10127,1,2.589868434683518e-05,False,id
10128,1,2.589868434683518e-05,False,id
10129,1,2.589868434683518e-05,False,id
10130,1,2.589868434683518e-05,False,id
10131,1,2.589868434683518e-05,False,id
10133,1,2.589868434683518e-05,False,id
