id_left,id_right,distance,dhash_left,dhash_right
4919,21868,0,2a00171796961600,2a00171796961600
7636,7782,0,9696969696b63636,9696969696b63636
7788,24061,0,0f4d16331717160e,0f4d16331717160e
8855,8860,0,4d4d0f1333171717,4d4d0f1333171717
8855,9230,0,4d4d0f1333171717,4d4d0f1333171717
8860,9230,0,4d4d0f1333171717,4d4d0f1333171717
8901,10260,0,969696969696b636,969696969696b636
12015,14287,0,4d4d0f3333171717,4d4d0f3333171717
12015,31624,0,4d4d0f3333171717,4d4d0f3333171717
14287,31624,0,4d4d0f3333171717,4d4d0f3333171717
14523,17553,0,0d4d0f3333171717,0d4d0f3333171717
16019,28802,0,0f0f169696969696,0f0f169696969696
22159,44418,0,6804793c0f034009,6804793c0f034009
22548,23553,0,004d4d4d4d4d4d0c,004d4d4d4d4d4d0c
23959,29840,0,0f4d0f3337270717,0f4d0f3337270717
26213,45766,0,004d4d4d4d4d4d00,004d4d4d4d4d4d00
26213,46630,0,004d4d4d4d4d4d00,004d4d4d4d4d4d00
26213,46669,0,004d4d4d4d4d4d00,004d4d4d4d4d4d00
36405,36413,0,9c9d9d9d9d0e4626,9c9d9d9d9d0e4626
45766,46630,0,004d4d4d4d4d4d00,004d4d4d4d4d4d00
45766,46669,0,004d4d4d4d4d4d00,004d4d4d4d4d4d00
46630,46669,0,004d4d4d4d4d4d00,004d4d4d4d4d4d00
49080,49115,0,0005269696161600,0005269696161600
2371,45605,1,1804793c17034001,1804793c17034009
3921,4787,1,9696969696969616,9696969696969636
3921,9082,1,9696969696969616,9696969696969696
4787,8901,1,9696969696969636,969696969696b636
4787,10260,1,9696969696969636,969696969696b636
7911,10065,1,0d0d0e332723270e,0d0d0e332323270e
8855,12015,1,4d4d0f1333171717,4d4d0f3333171717
8855,14287,1,4d4d0f1333171717,4d4d0f3333171717
8855,31624,1,4d4d0f1333171717,4d4d0f3333171717
8860,12015,1,4d4d0f1333171717,4d4d0f3333171717
8860,14287,1,4d4d0f1333171717,4d4d0f3333171717
8860,31624,1,4d4d0f1333171717,4d4d0f3333171717
9230,12015,1,4d4d0f1333171717,4d4d0f3333171717
