file_sha256,pixel_sha256,ids,count
0fee102becc795de3a4ce6c1a6d863261b5441efd149596fb84db3aabc717b19,859a602ad4ab932bdbd8d93a032ee7c7de88c7d7e9f0165b0897b1b2be452060,"(38502, 41006, 41007)",3
0fff1681f7eb29bf33f4fab8b61a5e99f69bf4570a26adfc240e677cf90c6477,58130cc1325cec76b9059aa7e5332e893fa5aee6dc49b647a8ed91e477f5ea88,"(18168, 18169)",2
101c50e6458d7ef48893fa3d7b464167589d23e0bdef6e9335351d582df6e268,ac84416e1e523793306323e0c90b07709a009d1b19ec499837fc78d11b77cbbb,"(39107, 39108)",2
1053ed04acf770ede1be80891bf91b0ab415cb008e53f6bff38bb493230e099f,354d2d212efbe8900e2b663483bfe109aa9a3c85ccd44081023e38d4a88b60c0,"(31092, 34050, 34051)",3
10d095a75d71c44e18b9fc1e97fcd86c4cbdcae0d4fa80be244d2a124592c512,714cd5d5f223de844d820f3b86f8ab204223cd942be192d637fff21122fc0f57,"(41753, 43689, 43690)",3
10ed2a94df72e942a39a454615c255935f98ed7281b555da624877fb5f186bb7,5ad0dad2785178fd0c1877b3871dc56f2e06ac0d8ea93a23757a345b27032f7b,"(4931, 4932)",2
10ee6d9aaa238c17a8eb0d3f21bd1e83afde3f9d48f8c7081d4e83b0aeb633fc,bf8877cfcb10a8cb33379ab0a9fcc776ee0de872c6daa618fe5ff84c1f00e8ab,"(7158, 8786)",2
111c4410079cf598a85bae078046ca7d736dcf562a0fc930373575e8860e4053,f48dbf0243f7b8d7b3c6a6dc7c67477a3078b409d188d5b3e3e6a2b5b449edaa,"(11161, 11162)",2
115976f96210da8786c835269c9c923505480bc431ec7bf8ff8d26cd5b4e67ba,c942b1c770d9cd765856e82951ef7e43a7ad727d15a9720936b5ff392af41a3a,"(13335, 13336)",2
119cb81052c2c123a597dcde017fba95f6b36039910e1f5b425db9ccfbc0b17d,c9c9d4904666f1f58bab435f49a4defd17d5f5a1f4946176432f3d71b14ad568,"(40139, 41986)",2
