id_bin,total,total_variation
11331–16414,4335,0.26091607738945083
1163–6246,3895,0.44491928985874013
16415–21498,4165,0.2205906728173503
21499–26582,3833,0.22197019785081323
26583–31666,3762,0.2639817510242303
31667–36750,3672,0.21320141141623034
36751–41834,3385,0.2181002806239127
41835–46918,3715,0.3418446611552779
46919–51999,3558,0.4316429921537614
6247–11330,4292,0.2691928801741009
