id,path,width,height,aspect_ratio,mode,file_bytes,file_sha256,byte_sha256,pixel_sha256,dhash,brightness,contrast,colorfulness,saturation,edge_sharpness,error
1697,/localhome/local-lintran/MLA2/data/raw/original/images/1697.jpg,1800,2400,0.75,RGB,213370,4cd38c8abee678bd1f7fb5850826b9102be0881842b036a53274b9e2eca27059,4cd38c8abee678bd1f7fb5850826b9102be0881842b036a53274b9e2eca27059,1fcf1acde534de34887cb3d3527763caad3a35ac4311d3a9a88a83edea8e0f5a,f0e88e96b6b697ce,170.43598217592591,59.74250178703396,5.871969475218748,0.04447458975648679,13.858992565830611,
1756,/localhome/local-lintran/MLA2/data/raw/original/images/1756.jpg,1800,2400,0.75,RGB,228843,bdacaed161cef67fd5893783da0b2f5b2c9a5e174a37213115efc4ce2d820ef8,bdacaed161cef67fd5893783da0b2f5b2c9a5e174a37213115efc4ce2d820ef8,32e33ddf055f6ccb9a129535de1586c83872785f1363bbe27d0f63aedcb90dfb,4ccc4cccb1797923,208.01753935185187,41.90809739290677,26.760996128685395,0.09228142557510265,28.36274184209917,
1804,/localhome/local-lintran/MLA2/data/raw/original/images/1804.jpg,1080,1440,0.75,RGB,223987,df78da3adbc74eaeea3ed866b35a448708a3a7295ade71820bff9ebe690ba28c,df78da3adbc74eaeea3ed866b35a448708a3a7295ade71820bff9ebe690ba28c,14d9f554a87fcf070ddf85dda15d29db9f72d350438c7f7af4ea8f69f39cb13b,9abb2b2b27333333,135.80006430041152,89.02577997264986,35.440723738365136,0.17078580240955885,33.714459695998556,
1809,/localhome/local-lintran/MLA2/data/raw/original/images/1809.jpg,1080,1440,0.75,RGB,331754,a6cddf435731105af378850e28860b48a8a5e8c68c1827d4da3ee897def87828,a6cddf435731105af378850e28860b48a8a5e8c68c1827d4da3ee897def87828,45e35f90c4339802a872f68e68f09f58e61217e45d95dca61fe1ce723c644b74,0d8d0e2f2d3f0c6d,196.90175347222223,72.35855591750355,53.44129529458116,0.18773596664352452,51.99155662380787,
1810,/localhome/local-lintran/MLA2/data/raw/original/images/1810.jpg,1800,2400,0.75,RGB,277186,bc26244aeee72d4b2347392fbffd4b4aa6ecd96caa662f91ed80ec41a69fca4a,bc26244aeee72d4b2347392fbffd4b4aa6ecd96caa662f91ed80ec41a69fca4a,7e4aace07b7703a20f49c0785f8a1b8023484cdf19578e1bfb8e936cc441cbae,4d4d0e0f33155517,184.45542175925925,74.608979205309,107.94538682862819,0.33026670772489075,12.473433266171055,
1813,/localhome/local-lintran/MLA2/data/raw/original/images/1813.jpg,1080,1440,0.75,RGB,178261,8bb8c4695aa9a0ff8a94f1eee0986cb8073623a0e9fa1e0523773ed449b91f2c,8bb8c4695aa9a0ff8a94f1eee0986cb8073623a0e9fa1e0523773ed449b91f2c,b2c2dd80a8e1377c3044d6d57e5620cc360acfb5c572ddfe5b7d1669b10e7d04,4a0f1d16373f3f1f,191.88101980452674,78.5219631855278,32.445633859643124,0.14196839834231853,26.59756618659665,
1848,/localhome/local-lintran/MLA2/data/raw/original/images/1848.jpg,1080,1440,0.75,RGB,92525,7da56c10c6b84ac07fe02fa5ea673465d11805cc4ea2118ad5c2815134ccefbb,7da56c10c6b84ac07fe02fa5ea673465d11805cc4ea2118ad5c2815134ccefbb,2f0f4bafda76e2c41bc3a53cf6df332ac905c66ad78010814125eefafb0c9524,4d4d8e3733171717,164.61231159979423,100.1633186954282,25.81291736387181,0.10379420902919088,42.48809703077339,
1857,/localhome/local-lintran/MLA2/data/raw/original/images/1857.jpg,1800,2400,0.75,RGB,490503,809c9ab5b87abc35f42bd00c1a9a7fd4d16921e80c63e85beb4f1de09ecff53b,809c9ab5b87abc35f42bd00c1a9a7fd4d16921e80c63e85beb4f1de09ecff53b,9c4291ef7efdbba610cee40e114ffdfe1cccc93d519aaf45dd3c8dc65dc33073,0f4d0e36370f1e16,180.04201782407407,95.95218773446616,23.766447070872246,0.09559625460665827,135.46724217791055,
1862,/localhome/local-lintran/MLA2/data/raw/original/images/1862.jpg,1800,2400,0.75,RGB,621410,4441cef40cc85697d7019938fc404b1656bcf0b4d21c27f2d56fbdca336c2ebd,4441cef40cc85697d7019938fc404b1656bcf0b4d21c27f2d56fbdca336c2ebd,92b0b717723e3217f31bb7bb86aecc24cb61256de061ecb753876a313a570a3b,0d4d8e36333b1f16,197.62524189814815,77.05094042570452,23.429996285341108,0.0769645348636064,268.70076564996873,
1876,/localhome/local-lintran/MLA2/data/raw/original/images/1876.jpg,1800,2400,0.75,RGB,374631,8884cd5185d7b63f14abf0f44cfdcadffc642b509bf7393d8ada286d2fa33d87,8884cd5185d7b63f14abf0f44cfdcadffc642b509bf7393d8ada286d2fa33d87,4fe4c7c1eb9f0b093712b9b0838a9b2c89b465123dbf9c2cecf2324eef555933,4d4d0f1f3b3b0b97,215.12730277777777,63.613166974465976,25.957264273856563,0.08512079264939776,55.345846476296344,
