gender,,Casual,Ethnic,Formal,Home,NA,Party,Smart Casual,Sports,Travel
Boys,0.0,0.961916461916462,0.012285012285012284,0.0,0.0,0.0,0.0,0.0,0.025798525798525797,0.0
Girls,0.0,0.9844961240310077,0.012403100775193798,0.0,0.0,0.0,0.0,0.0,0.0031007751937984496,0.0
Men,4.781714722899632e-05,0.7500597714340362,0.004303543250609668,0.10486300387318892,0.0,0.001051977239037919,0.0,0.002103954478075838,0.13752211543059342,4.781714722899632e-05
Unisex,0.0,0.8451923076923077,0.0,0.0004807692307692308,0.0004807692307692308,0.008653846153846154,0.0,0.0,0.13557692307692307,0.009615384615384616
Women,0.0,0.7608757062146893,0.17387005649717513,0.0074858757062146895,0.0,0.002189265536723164,0.0009180790960451978,0.0007768361581920904,0.05360169491525424,0.0002824858757062147
