epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,train_metric_scope,sam_second_loss,selected_checkpoint,clean_train_macro_f1
1,0.001,0.7582728123507086,,0.5400440844687013,0.502256379182574,not_applicable_mixed_inputs,0.8445050280123882,False,
2,0.0009972883382072953,0.6485390364453114,,0.6629935404058998,0.5247244005471026,not_applicable_mixed_inputs,0.720645588506136,False,
3,0.0009891830623632338,0.5871204579125199,,0.42183187689437784,0.6854286855104033,not_applicable_mixed_inputs,0.6507883642416278,False,
4,0.0009757729755661011,0.5826464079579307,,0.42743796541227375,0.672759844759178,not_applicable_mixed_inputs,0.6454462985606146,False,
5,0.0009572050015330874,0.5435068139522862,,0.41620964512142566,0.6892121317366284,not_applicable_mixed_inputs,0.5966123664168609,False,
6,0.0009336825748732973,0.5316832566898736,,0.4852342596860204,0.6733260222429032,not_applicable_mixed_inputs,0.5857612400266079,False,
7,0.0009054634122155991,0.5047464248308297,,0.3710746455472673,0.6943045886431304,not_applicable_mixed_inputs,0.5545595626299276,False,
8,0.0008728566886113102,0.5135298062072856,,0.3521815208098057,0.7622112858001534,not_applicable_mixed_inputs,0.5591248961034049,False,
9,0.0008362196501476349,0.49066361260589625,,0.3816575461275009,0.738822281417645,not_applicable_mixed_inputs,0.5360102316026416,False,
10,0.0007959536998847742,0.4803524549385972,,0.347970024010449,0.7508272192448113,not_applicable_mixed_inputs,0.524028013943671,False,0.796732645309239
11,0.0007525,0.4806448447551547,,0.33371401890807667,0.7675552372330456,not_applicable_mixed_inputs,0.5217749472761359,False,
12,0.0007063346383225212,0.4466777087142263,,0.33470150287245193,0.7788260215615688,not_applicable_mixed_inputs,0.4890607043500032,False,
13,0.000657963412215599,0.4526784800604282,,0.3110962715915037,0.7753988120232873,not_applicable_mixed_inputs,0.49416875283061296,False,
14,0.0006079162869547909,0.46466971929010864,,0.3018542613912582,0.7770756674570223,not_applicable_mixed_inputs,0.5021336825139745,False,
15,0.0005567415893174886,0.4545040007525357,,0.31705029333805507,0.7718634013843714,not_applicable_mixed_inputs,0.49250122773946936,False,0.8224407163145392
16,0.0005050000000000002,0.4333989192627993,,0.3193775971906375,0.7900221262844839,not_applicable_mixed_inputs,0.4702273757055625,False,
17,0.0004532584106825117,0.42471033859304763,,0.3234082150466565,0.7963436379801996,not_applicable_mixed_inputs,0.46037425712388086,False,
18,0.00040208371304520916,0.41303308852191123,,0.28822422087610877,0.7983103939093883,not_applicable_mixed_inputs,0.4486307840656646,False,
19,0.00035203658778440114,0.4237310090464746,,0.3064297684489644,0.8063574144692023,not_applicable_mixed_inputs,0.46074758663917326,False,
20,0.00030366536167747904,0.41981024895849567,,0.2863588149332222,0.8016674324690675,not_applicable_mixed_inputs,0.4553768404097819,False,0.8723698357494223
21,0.00025750000000000013,0.4056816400768346,,0.2871061760840126,0.7996217606238594,not_applicable_mixed_inputs,0.44043821103581304,False,
22,0.00021404630011522585,0.4079248422597728,,0.2841863642933531,0.805974857597902,not_applicable_mixed_inputs,0.44256714115408713,False,
23,0.00017378034985236535,0.3883249694270143,,0.2951516901024384,0.8030712169773428,not_applicable_mixed_inputs,0.42286959169619714,False,
24,0.00013714331138868998,0.3796310198482539,,0.2712381875729612,0.8031365702116663,not_applicable_mixed_inputs,0.4132863146677512,False,
25,0.00010453658778440108,0.39119818186595356,,0.2739338059959377,0.8089418813748473,not_applicable_mixed_inputs,0.4245656513186613,True,0.9019008089098606
