run_id,stage,experiment_id,model_family,benchmark_only,final_eligible,scratch,fold,seed,git_commit,git_dirty,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,loss_id,epochs_requested,epochs_completed,best_epoch,primary_metric_name,primary_metric_value,runtime_seconds,peak_vram_mb,parameter_count,checkpoint_sha256,prediction_sha256,history_sha256,status
b1-hog-hsv-svm-f0-s2753-b23d1eafe35f,b1_baseline,b1-hog-hsv-svm,hog_hsv_svm,false,true,true,0,2753,f4623810501092a0b5879c3e0119d96c70768a29,false,6077664cfa7f626bf7e8f5c475a022efe960b32602eb8fef741faeccb42fd839,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,9608eda44bfeaf04991a8b0a831389eb2b19dae44e473587264b3cb983275bfe,hog-hsv-338779d19e61457d,linear_svc_hinge_unweighted,0,0,,macro_f1,0.6079901602562408,450.55320049999864,,7916,,444969967e3fa2dd2572ec80869056cd86539daaa172b3f0805e9182cae56729,a2609abba5e7b3ae52505555d7f6dded98ca28d4c783556b92239a92293c73b3,completed
b1-hog-hsv-svm-f1-s2753-5735c51cc237,b1_baseline,b1-hog-hsv-svm,hog_hsv_svm,false,true,true,1,2753,f4623810501092a0b5879c3e0119d96c70768a29,false,6077664cfa7f626bf7e8f5c475a022efe960b32602eb8fef741faeccb42fd839,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,9608eda44bfeaf04991a8b0a831389eb2b19dae44e473587264b3cb983275bfe,hog-hsv-338779d19e61457d,linear_svc_hinge_unweighted,0,0,,macro_f1,0.6028740702373776,470.51668489997974,,7916,,b599e9c0e506217f74195b6b42bb92706cb87c45adec4967291021d56a983efd,ceb61aa7cda4d5b4857b8123d92eb49b0898aee858d429022399db84a638a314,completed
b1-hog-hsv-svm-f2-s2753-3f214f6a2bd4,b1_baseline,b1-hog-hsv-svm,hog_hsv_svm,false,true,true,2,2753,f4623810501092a0b5879c3e0119d96c70768a29,false,6077664cfa7f626bf7e8f5c475a022efe960b32602eb8fef741faeccb42fd839,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,9608eda44bfeaf04991a8b0a831389eb2b19dae44e473587264b3cb983275bfe,hog-hsv-338779d19e61457d,linear_svc_hinge_unweighted,0,0,,macro_f1,0.6213884312740079,397.51084719999926,,7916,,5bced3b2372b6c59704274b6ca39f9245ae1c01dfdacd1305c30c29a8f808f0f,45744d555fb4fa94a450c9aa9a18c637d192e00ef119fa506c2a2f81534e6de5,completed
b1-hog-hsv-svm-f3-s2753-83fd8ce0b942,b1_baseline,b1-hog-hsv-svm,hog_hsv_svm,false,true,true,3,2753,f4623810501092a0b5879c3e0119d96c70768a29,false,6077664cfa7f626bf7e8f5c475a022efe960b32602eb8fef741faeccb42fd839,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,9608eda44bfeaf04991a8b0a831389eb2b19dae44e473587264b3cb983275bfe,hog-hsv-338779d19e61457d,linear_svc_hinge_unweighted,0,0,,macro_f1,0.6071741538379267,289.84590449999087,,7916,,310fa91c55276b51516c4f13760571d82ad1e377fc6556d6b926467eed2581dc,8405aafb25e19ec8f4e286284a7d6cbb7ae61e636b6109fb904d097ea5fd0f1c,completed
b1-hog-hsv-svm-f4-s2753-45b2e5123926,b1_baseline,b1-hog-hsv-svm,hog_hsv_svm,false,true,true,4,2753,f4623810501092a0b5879c3e0119d96c70768a29,false,6077664cfa7f626bf7e8f5c475a022efe960b32602eb8fef741faeccb42fd839,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,9608eda44bfeaf04991a8b0a831389eb2b19dae44e473587264b3cb983275bfe,hog-hsv-338779d19e61457d,linear_svc_hinge_unweighted,0,0,,macro_f1,0.6085011381843533,560.1883731000125,,7916,,e9ff70324eeea63b61ed25c55753d657b7e38ee60ce1399bb9804b0852ef0011,be5cee0df23a972c41c7b150196004cfd184415cc1d510b81cfb78cf5b5a613b,completed
