fold,label,article,n,families,errors,recall,false_positives,parent_recall,gray_recall,destinations
pooled,Unisex,Shoe Accessories,8,7,7,0.125,0,0.0,0.0,"{""Men"": 4, ""Women"": 3}"
pooled,Unisex,Socks,23,20,20,0.13043478260869565,6,0.13043478260869565,0.13043478260869565,"{""Girls"": 1, ""Men"": 14, ""Women"": 5}"
pooled,Unisex,Sports Sandals,3,3,3,0.0,1,0.0,0.0,"{""Men"": 2, ""Women"": 1}"
pooled,Unisex,Sports Shoes,17,17,16,0.058823529411764705,1,0.0,0.058823529411764705,"{""Men"": 11, ""Women"": 5}"
pooled,Unisex,Sunglasses,48,24,42,0.125,13,0.16666666666666666,0.14583333333333334,"{""Men"": 36, ""Women"": 6}"
pooled,Unisex,Swimwear,2,2,2,0.0,0,0.0,0.0,"{""Men"": 1, ""Women"": 1}"
pooled,Unisex,Tablet Sleeve,1,1,1,0.0,0,0.0,0.0,"{""Women"": 1}"
pooled,Unisex,Travel Accessory,4,3,3,0.25,0,0.25,0.5,"{""Women"": 3}"
pooled,Unisex,Trolley Bag,1,1,1,0.0,0,0.0,0.0,"{""Men"": 1}"
pooled,Unisex,Tshirts,23,21,7,0.6956521739130435,9,0.5652173913043478,0.6086956521739131,"{""Boys"": 4, ""Men"": 3}"
pooled,Unisex,Waist Pouch,6,5,4,0.3333333333333333,0,0.5,0.3333333333333333,"{""Women"": 4}"
pooled,Unisex,Wallets,7,5,7,0.0,0,0.0,0.0,"{""Men"": 2, ""Women"": 5}"
pooled,Unisex,Watches,44,40,33,0.25,7,0.22727272727272727,0.25,"{""Men"": 20, ""Women"": 13}"
pooled,Unisex,Water Bottle,2,2,2,0.0,0,0.0,0.0,"{""Women"": 2}"
pooled,Unisex,Wristbands,2,2,2,0.0,0,0.0,1.0,"{""Girls"": 1, ""Women"": 1}"
0,Girls,Capris,8,4,6,0.25,1,0.75,0.0,"{""Boys"": 2, ""Men"": 3, ""Women"": 1}"
0,Girls,Casual Shoes,6,5,4,0.3333333333333333,1,0.3333333333333333,0.0,"{""Unisex"": 3, ""Women"": 1}"
0,Girls,Clothing Set,1,1,0,1.0,0,1.0,0.0,{}
0,Girls,Dresses,12,8,3,0.75,0,0.8333333333333334,0.3333333333333333,"{""Women"": 3}"
0,Girls,Gloves,2,1,0,1.0,0,1.0,0.0,{}
