epoch,mean_train_f1,mean_validation_f1,mean_gap,pooled_validation_f1,unisex_correct,unisex_support,unisex_recall
10,0.783971472106637,0.7321842899150737,0.05178718219156331,0.7326782348425704,252,707,0.3564356435643564
15,0.835238200954673,0.7727457588961961,0.06249244205847698,0.7739609603323683,319,707,0.4512022630834512
20,0.872689418817507,0.7795783395196002,0.09311107929790668,0.780445762405006,330,707,0.4667609618104668
25,0.8979761564239742,0.7986185045784191,0.09935765184555506,0.7985792946813797,361,707,0.5106082036775106
30,0.9029896602787594,0.7942522962795235,0.10873736399923589,0.7943040870763872,356,707,0.5035360678925035
