epoch,train_loss,train_season_loss,train_auxiliary_loss,train_accuracy,train_samples,train_auxiliary_labeled_samples,learning_rate
1,1.789050321985819,0.9784389345845285,2.702037958004302,0.5591243550209141,32753,32753,0.001
2,1.1826483928396208,0.7965876245791285,1.2868692275349742,0.6552987512594266,32753,32753,0.0009953792289470562
3,1.040267294413282,0.7501736818348306,0.9669787085948381,0.6785637956828382,32753,32753,0.000981530551323501
4,0.97049455425286,0.7242160460237248,0.8209283607637843,0.6930357524501572,32753,32753,0.0009587118706195806
5,0.9224587438749152,0.701966534963008,0.7349740297063574,0.705584221292706,32753,32753,0.0009273482556822072
6,0.879090772180966,0.6771692765020026,0.673071652263211,0.7190181052117364,32753,32753,0.000888023951315426
7,0.8523143525828305,0.6646148811055479,0.6256649049242752,0.7242084694531798,32753,32753,0.0008414714949051488
8,0.8204710328862477,0.6452614424760275,0.5840319680340675,0.7340090984031997,32753,32753,0.0007885580706336687
9,0.792440401523622,0.6302680151774036,0.5405746211540614,0.7416725185479193,32753,32753,0.00073026935547912
10,0.770463849525468,0.6180443150234365,0.5080651150067715,0.7475040454309528,32753,32753,0.0006676911579183478
11,0.7488749769113738,0.6026026057564815,0.48757457051630787,0.7562360699783226,32753,32753,0.0006019891913694121
12,0.7315935817495818,0.5922222612588616,0.46457106830240064,0.7567856379568284,32753,32753,0.0005343873591562249
13,0.7033546009322281,0.5712979736482592,0.44018875761322984,0.7674716819833298,32753,32753,0.0004661449555053396
14,0.6866263271968638,0.5599980952066163,0.42209410663415825,0.773272677312002,32753,32753,0.0003985332072771856
15,0.6661608137038159,0.5454707124417193,0.4023003375403219,0.7809666290110829,32753,32753,0.0003328115934149131
16,0.6458659692007768,0.5304018241914834,0.3848804833643113,0.7857906146001893,32753,32753,0.00027020438323470744
17,0.6251366630204305,0.5138411163624976,0.37098515552644296,0.7951332702347876,32753,32753,0.00021187783060483485
18,0.6072087915939939,0.5000449869318474,0.3572126822071549,0.8008121393460141,32753,32753,0.00015891844884271432
19,0.5913222337130885,0.48737788878717236,0.34648114975305366,0.808780875034348,32753,32753,0.00011231277102757558
20,0.5781351345852306,0.47694605929401745,0.3372969176373773,0.81308582419931,32753,32753,7.292897275578614e-05
21,0.5687519282785019,0.4692874290976048,0.33154833060299005,0.8153756907764175,32753,32753,4.150069967214121e-05
22,0.5580818744158776,0.45943135873520097,0.3288350522689221,0.8175434311360792,32753,32753,1.8613401039612786e-05
23,0.5541394055769108,0.45606102077876454,0.3269279493271542,0.8209629652245596,32753,32753,4.6934239272928836e-06
24,0.5517808329479256,0.45449198443729544,0.32429616170210046,0.8205049919091381,32753,32753,7.117117584165556e-11
