model_id,target,code,name,epoch,folds,train_macro_f1,validation_macro_f1,train_loss,validation_loss
g-e3,gender,E3,Class balance,7,5,0.7594621,0.51704033,0.34855774,1.09724157
g-e3,gender,E3,Class balance,8,5,0.78389311,0.4907489,0.31906046,0.91855773
g-e3,gender,E3,Class balance,9,5,0.80677468,0.41962011,0.29218762,1.59970752
g-e3,gender,E3,Class balance,10,5,0.82555955,0.48181358,0.2678039,1.17069518
g-e3,gender,E3,Class balance,11,5,0.84342661,0.51319738,0.24240044,0.93616471
g-e3,gender,E3,Class balance,12,5,0.86607748,0.44235317,0.21603937,1.60189638
g-e3,gender,E3,Class balance,13,5,0.88349795,0.53727745,0.19293793,0.93555035
g-e3,gender,E3,Class balance,14,5,0.90439745,0.57145623,0.16538612,0.94180792
g-e3,gender,E3,Class balance,15,5,0.92202735,0.41679987,0.14191746,1.95070663
g-e3,gender,E3,Class balance,16,5,0.93267197,0.47417008,0.12260672,1.36778518
g-e3,gender,E3,Class balance,17,5,0.94749005,0.6483296,0.1004367,0.7090587
g-e3,gender,E3,Class balance,18,5,0.96065484,0.50789264,0.08393192,1.48311202
g-e3,gender,E3,Class balance,19,5,0.97003931,0.5136009,0.06542743,1.42929743
g-e3,gender,E3,Class balance,20,5,0.97788503,0.61726261,0.05403201,1.0559721
g-e3,gender,E3,Class balance,21,5,0.98549044,0.63447868,0.04189016,0.90667062
g-e3,gender,E3,Class balance,22,5,0.98991273,0.67991248,0.03281284,0.75825361
g-e3,gender,E3,Class balance,23,5,0.99234048,0.66330749,0.02772293,0.79212974
g-e3,gender,E3,Class balance,24,5,0.99569945,0.70139715,0.02219456,0.6485368
g-e3,gender,E3,Class balance,25,5,0.9968298,0.69281277,0.01868973,0.67773163
g-e3,gender,E3,Class balance,26,5,0.99788666,0.70707483,0.01664049,0.65359066
g-e3,gender,E3,Class balance,27,5,0.99854671,0.70988765,0.01457908,0.64013815
g-e3,gender,E3,Class balance,28,5,0.9986032,0.70889166,0.01357059,0.63337026
g-e3,gender,E3,Class balance,29,5,0.99887259,0.70791284,0.01263779,0.63248958
g-e3,gender,E3,Class balance,30,5,0.99911681,0.70785841,0.01236515,0.64014033
g-e4,gender,E4,TinyResNet,1,5,0.44302189,0.44973305,0.61406732,0.69765141
g-e4,gender,E4,TinyResNet,2,5,0.61485088,0.60110039,0.42586338,0.47214162
g-e4,gender,E4,TinyResNet,3,5,0.67379485,0.58669682,0.36803136,0.53253721
g-e4,gender,E4,TinyResNet,4,5,0.71989327,0.54383044,0.32476789,0.61923702
g-e4,gender,E4,TinyResNet,5,5,0.76205565,0.62609464,0.28344887,0.49194851
g-e4,gender,E4,TinyResNet,6,5,0.80314752,0.57008289,0.24513937,0.55791774
g-e4,gender,E4,TinyResNet,7,5,0.83942422,0.63239045,0.20889904,0.48588393
g-e4,gender,E4,TinyResNet,8,5,0.87488112,0.64532273,0.16752451,0.49904092
g-e4,gender,E4,TinyResNet,9,5,0.91131558,0.62514871,0.12844586,0.55304485
g-e4,gender,E4,TinyResNet,10,5,0.93594744,0.60190864,0.09610755,0.57578301
g-e4,gender,E4,TinyResNet,11,5,0.95663765,0.66014488,0.06846528,0.65835231
g-e4,gender,E4,TinyResNet,12,5,0.97412839,0.65303405,0.04827422,0.61698565
g-e4,gender,E4,TinyResNet,13,5,0.98341761,0.65565925,0.03147709,0.68263056
g-e4,gender,E4,TinyResNet,14,5,0.99126544,0.6759879,0.02052015,0.645999
g-e4,gender,E4,TinyResNet,15,5,0.99676157,0.70082665,0.01077317,0.63834312
g-e4,gender,E4,TinyResNet,16,5,0.99898487,0.69544721,0.00566768,0.65901078
g-e4,gender,E4,TinyResNet,17,5,0.9994404,0.70022338,0.00397704,0.65475442
g-e4,gender,E4,TinyResNet,18,5,0.99980768,0.71101304,0.00228223,0.64554912
g-e4,gender,E4,TinyResNet,19,5,0.99985616,0.7129804,0.00147882,0.66860212
g-e4,gender,E4,TinyResNet,20,5,0.99990661,0.71028375,0.00097945,0.66147229
g-e4,gender,E4,TinyResNet,21,5,0.9998755,0.71106166,0.00082647,0.66889537
g-e4,gender,E4,TinyResNet,22,5,0.99992217,0.7132633,0.00063823,0.66844536
g-e4,gender,E4,TinyResNet,23,5,0.9999066,0.71309775,0.00064629,0.66886549
g-e4,gender,E4,TinyResNet,24,5,0.99993774,0.7135965,0.00051522,0.67135902
g-e4,gender,E4,TinyResNet,25,5,0.99992219,0.71058704,0.00049996,0.676265
g-e4,gender,E4,TinyResNet,26,5,0.9998755,0.71169165,0.00051313,0.67910156
g-e4,gender,E4,TinyResNet,27,5,0.99992218,0.71253997,0.00042838,0.67992031
g-e4,gender,E4,TinyResNet,28,5,0.99989105,0.71260797,0.00042225,0.68086267
g-e4,gender,E4,TinyResNet,29,5,0.99996889,0.71297876,0.00040888,0.68066244
g-e4,gender,E4,TinyResNet,30,5,0.99996888,0.71202246,0.00040509,0.68032361
g-e5,gender,E5,CompactBlur,1,5,0.29957821,0.3306016,0.75525441,0.67444363
g-e5,gender,E5,CompactBlur,2,5,0.40085649,0.37219643,0.5256795,0.74215379
g-e5,gender,E5,CompactBlur,3,5,0.53365103,0.50589004,0.46152384,0.5603532
g-e5,gender,E5,CompactBlur,4,5,0.60009222,0.56003938,0.42183579,0.46511304
g-e5,gender,E5,CompactBlur,5,5,0.63099808,0.50814274,0.39324533,0.56702042
g-e5,gender,E5,CompactBlur,6,5,0.64771379,0.52627768,0.37376549,0.6148364
g-e5,gender,E5,CompactBlur,7,5,0.6634694,0.57618773,0.35637758,0.44471713
g-e5,gender,E5,CompactBlur,8,5,0.67970665,0.59352008,0.3401718,0.41063703
g-e5,gender,E5,CompactBlur,9,5,0.69827978,0.63615397,0.32459464,0.39144952
