model,fold,train_f1,validation_f1,gap
Drop30 + darkening,0,0.9647181168757489,0.7547710076848763,0.20994710919087267
Drop30 + darkening,4,0.9652958401480575,0.7285251685932436,0.2367706715548139
Drop30 + darkening + gray,0,0.962549980920333,0.7424305990658798,0.22011938185445312
Drop30 + darkening + gray,4,0.959789774330058,0.753361539125587,0.20642823520447096
E6,0,1.0,0.7196395720085685,0.28036042799143146
E6,4,0.9999221620301233,0.7262729810998492,0.2736491809302741
G2,0,0.9931472699932924,0.7604983529055681,0.23264891708772428
G2,4,0.9945832714929127,0.7304612751770436,0.2641219963158691
