p0_run_id,fold,p0_macro_f1,p0_runtime_seconds,p0_peak_vram_mb,p0_best_epoch,p1_run_id,p1_macro_f1,p1_runtime_seconds,p1_peak_vram_mb,p1_best_epoch,delta_p1_minus_p0_macro_f1,runtime_ratio_p1_vs_p0
g1-c2-resnet18-f0-s2753-b91662d47026,0,0.7037577914158095,367.90373299998464,605.88916015625,6,g2-p1-c2-resnet18-f0-s2753-67217738d381,0.6995774425572285,695.3767702000041,1321.92041015625,7,-0.0041803488585809845,1.8901052308703623
g1-c2-resnet18-f1-s2753-a4ff07c863e4,1,0.7050578825656015,403.16675490001217,606.26416015625,7,g2-p1-c2-resnet18-f1-s2753-66a1b27539dc,0.6999852755000022,698.7568850999814,1321.92041015625,7,-0.0050726070655993105,1.7331708941955728
g1-c2-resnet18-f2-s2753-2d6a8dffa3fe,2,0.7128098681685373,394.70694140001433,606.38916015625,8,g2-p1-c2-resnet18-f2-s2753-b5a856f9e3b1,0.7120667667305289,696.8463012000138,1321.79541015625,8,-0.0007431014380083756,1.7654776952447802
g1-c2-resnet18-f3-s2753-f2eb5f7a2dac,3,0.7074561011942083,294.271319099993,606.38916015625,8,g2-p1-c2-resnet18-f3-s2753-8e6b55d11e02,0.7122829040372449,699.3904911999998,1321.79541015625,8,0.004826802843036604,2.3766858874967287
g1-c2-resnet18-f4-s2753-2449eed2ce12,4,0.7033964761241132,292.5160669999896,606.26416015625,5,g2-p1-c2-resnet18-f4-s2753-9294db7bbaf4,0.7018557992545478,700.7289738999971,1321.79541015625,8,-0.0015406768695653827,2.3955230257489477
