run_id,fold,candidate_id,hog_id,model_family,macro_f1,weighted_f1,top1_accuracy,top5_accuracy
task1-classical-task1_gray_hog_ppc16_v1-knn-k5-distance-f0-s2753-1c931f9b759d,0,task1_gray_hog_ppc16_v1-knn-k5-distance,task1_gray_hog_ppc16_v1,task1_hog_knn_v1,0.43427549459768827,0.7441183636497208,0.7591942621699985,0.9032504196551198
task1-classical-task1_gray_hog_ppc16_v1-linear-svm-c1-normal-f0-s2753-194a3ccefeb6,0,task1_gray_hog_ppc16_v1-linear-svm-c1-normal,task1_gray_hog_ppc16_v1,task1_hog_linear_svm_v1,0.40234819142832245,0.7351524549388213,0.7564474286586297,0.9471997558370212
task1-classical-task1_gray_hog_ppc10_v1-knn-k5-distance-f0-s2753-dbab5b0a702d,0,task1_gray_hog_ppc10_v1-knn-k5-distance,task1_gray_hog_ppc10_v1,task1_hog_knn_v1,0.4700810913990897,0.7854767085277484,0.7974973294674195,0.9232412635434152
task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c1-normal-f0-s2753-9a5325bcbd92,0,task1_gray_hog_ppc10_v1-linear-svm-c1-normal,task1_gray_hog_ppc10_v1,task1_hog_linear_svm_v1,0.45103358880883054,0.7890568883965753,0.798870746223104,0.9357546162063177
task1-classical-task1_gray_hog_ppc10_v1-knn-k3-uniform-f0-s2753-72e636318df7,0,task1_gray_hog_ppc10_v1-knn-k3-uniform,task1_gray_hog_ppc10_v1,task1_hog_knn_v1,0.4590743941914837,0.77824242087768,0.7883412177628567,0.8902792614069892
task1-classical-task1_gray_hog_ppc10_v1-knn-k3-distance-f0-s2753-acc9d21f3eea,0,task1_gray_hog_ppc10_v1-knn-k3-distance,task1_gray_hog_ppc10_v1,task1_hog_knn_v1,0.48968460848526935,0.7891926827510485,0.7984129406378758,0.8902792614069892
task1-classical-task1_gray_hog_ppc10_v1-knn-k5-uniform-f0-s2753-9daa3104b08d,0,task1_gray_hog_ppc10_v1-knn-k5-uniform,task1_gray_hog_ppc10_v1,task1_hog_knn_v1,0.4489351032890695,0.7789407047959007,0.791393254997711,0.9232412635434152
task1-classical-task1_gray_hog_ppc10_v1-knn-k11-uniform-f0-s2753-26c1b4e275e6,0,task1_gray_hog_ppc10_v1-knn-k11-uniform,task1_gray_hog_ppc10_v1,task1_hog_knn_v1,0.39828142486557416,0.7620015096030999,0.7817793377079201,0.9540668396154434
task1-classical-task1_gray_hog_ppc10_v1-knn-k11-distance-f0-s2753-812b471ca673,0,task1_gray_hog_ppc10_v1-knn-k11-distance,task1_gray_hog_ppc10_v1,task1_hog_knn_v1,0.4228864647465019,0.7679720571837138,0.787120402868915,0.9539142377537005
task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c0-1-normal-f0-s2753-40afae8599d4,0,task1_gray_hog_ppc10_v1-linear-svm-c0.1-normal,task1_gray_hog_ppc10_v1,task1_hog_linear_svm_v1,0.44336693885069506,0.7855487146147676,0.8019227834579582,0.9549824507858996
task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c0-1-balanced-f0-s2753-9700c881bd00,0,task1_gray_hog_ppc10_v1-linear-svm-c0.1-balanced,task1_gray_hog_ppc10_v1,task1_hog_linear_svm_v1,0.46237518494135577,0.782172476669366,0.7781168930260949,0.946284144666565
task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c1-balanced-f0-s2753-ae70442cdc96,0,task1_gray_hog_ppc10_v1-linear-svm-c1-balanced,task1_gray_hog_ppc10_v1,task1_hog_linear_svm_v1,0.44371274905934827,0.7816700019038323,0.7790325041965512,0.9256828933312986
task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c10-normal-f0-s2753-0b33b8e0e584,0,task1_gray_hog_ppc10_v1-linear-svm-c10-normal,task1_gray_hog_ppc10_v1,task1_hog_linear_svm_v1,0.4189723590105194,0.7650440699437338,0.7697237906302457,0.9023348084846635
task1-classical-task1_gray_hog_ppc10_v1-linear-svm-c10-balanced-f0-s2753-c9b239c0cbdc,0,task1_gray_hog_ppc10_v1-linear-svm-c10-balanced,task1_gray_hog_ppc10_v1,task1_hog_linear_svm_v1,0.4179081295395396,0.7620916726461511,0.757820845414314,0.8945521135357851
