candidate,experiment_id,seed,slice_family,slice_name,support,low_support,labels_present,accuracy,balanced_accuracy,macro_f1,mean_confidence,mean_true_probability,nll,brier,ece,recall_Fall,recall_Spring,recall_Summer,recall_Winter
C2,g5-c2-t0-resnet18-s2026,2026,acquisition_year,dominant_2011_2012,22896,False,4,0.7520964360587002,0.555007116168657,0.5345027396557616,0.7727976736503931,0.6715051812855749,0.613838733147223,0.34741501401657543,0.03291705082826248,0.6713125681735547,0.14012738853503184,0.8184622163472131,0.5901262916188289
C2,g5-c2-t0-resnet18-s2026,2026,acquisition_year,missing_year,0,True,0,,,,,,,,,,,,
C2,g5-c2-t0-resnet18-s2026,2026,acquisition_year,other_years,9857,False,4,0.7193872374961956,0.6674147529019963,0.6662601155265264,0.7902813113593203,0.6593460061580634,0.7906084139008328,0.39453896864447485,0.07126479520594009,0.45937961595273263,0.6911262798634812,0.8002291825821237,0.7189239332096475
C2,g5-c2-t0-resnet18-s2026,2026,article_type_shortcut,aligned,21115,False,4,0.8613308074828321,0.9003885244838377,0.8485903111676979,0.8114418846466178,0.7637904306092927,0.3715487261049254,0.20989410040866605,0.04988892305058209,0.8724890829694323,0.9557416267942583,0.834413096482062,0.9389102916895983
C2,g5-c2-t0-resnet18-s2026,2026,article_type_shortcut,conflict,11619,False,4,0.5264652723986574,0.4214908664135762,0.4009179384033325,0.7174937212535935,0.494071588670501,1.2006643610377792,0.6362317822042618,0.19106676814295456,0.5803827030284767,0.06224066390041494,0.6712913553895411,0.37204874333587207
C2,g5-c2-t0-resnet18-s2026,2026,article_type_shortcut,missing_article_type,0,True,0,,,,,,,,,,,,
C2,g5-c2-t0-resnet18-s2026,2026,article_type_shortcut,unseen_article_type,19,True,4,0.3684210526315789,0.23484848484848483,0.23214285714285715,0.7170252847044092,0.31070959667283055,2.721484597677397,1.0049351206208985,0.4019572647906707,0.0,0.2727272727272727,0.6666666666666666,0.0
C2,g5-c2-t0-resnet18-s2026,2026,file_size_quartile,q1_smallest,8187,False,4,0.7485037254183462,0.611141395539866,0.6449123774353247,0.7997716865842998,0.6889420674993139,0.6110723727960803,0.345540671851556,0.05145596402700186,0.7902843601895735,0.24719101123595505,0.722879684418146,0.6842105263157895
C2,g5-c2-t0-resnet18-s2026,2026,file_size_quartile,q2,8192,False,4,0.7401123046875,0.6956249270365531,0.7277170237976969,0.7795614813694556,0.665479417269923,0.6768260017250498,0.367648417296638,0.04196797419342182,0.6113378684807256,0.6766467065868264,0.8335244210043568,0.6609907120743034
C2,g5-c2-t0-resnet18-s2026,2026,file_size_quartile,q3,8181,False,4,0.7140936315853808,0.6647639496447012,0.6970252326456503,0.7441569230963324,0.6274713491066597,0.7574733347549615,0.4030543802474623,0.04391455918940823,0.4309234073013601,0.704248366013072,0.8228903486609399,0.7009936766034327
C2,g5-c2-t0-resnet18-s2026,2026,file_size_quartile,q4_largest,8193,False,4,0.7662638838032467,0.6544471006658941,0.6936840484212201,0.788713802108249,0.6894467244575708,0.6228709015154243,0.330194016246169,0.0294906995043442,0.5108499095840868,0.5204081632653061,0.8512515387771851,0.7352787910369984
C2,g5-c2-t0-resnet18-s2026,2026,image_mode,greyscale,294,False,4,0.7210884353741497,0.5382491554974391,0.5634993432510721,0.6940094496117157,0.5997104565058613,0.7367591831644823,0.39649262032514304,0.0596654558887708,0.25,0.3333333333333333,0.8012422360248447,0.7684210526315789
C2,g5-c2-t0-resnet18-s2026,2026,image_mode,other_mode,0,True,0,,,,,,,,,,,,
