seed,slice_family,slice_name,c2_support,i2_support,c2_accuracy,i2_accuracy,i2_minus_c2_accuracy,c2_macro_f1,i2_macro_f1,i2_minus_c2_macro_f1,c2_mean_confidence,i2_mean_confidence,i2_minus_c2_mean_confidence,c2_recall_Fall,i2_recall_Fall,i2_minus_c2_recall_Fall,c2_recall_Spring,i2_recall_Spring,i2_minus_c2_recall_Spring,c2_recall_Summer,i2_recall_Summer,i2_minus_c2_recall_Summer,c2_recall_Winter,i2_recall_Winter,i2_minus_c2_recall_Winter
2026,acquisition_year,dominant_2011_2012,22896,22896,0.7520964360587002,0.7617924528301887,0.009696016771488458,0.5345027396557616,0.5688989988282935,0.03439625917253197,0.7727976736503931,0.799819129557563,0.027021455907169867,0.6713125681735547,0.6693734092837231,-0.0019391588898315382,0.14012738853503184,0.21019108280254778,0.07006369426751594,0.8184622163472131,0.8316075493867959,0.013145333039582874,0.5901262916188289,0.6452353616532721,0.05510907003444321
2026,acquisition_year,missing_year,0,0,,,,,,,,,,,,,,,,,,,,,
2026,acquisition_year,other_years,9857,9857,0.7193872374961956,0.7354164553109466,0.016029217814750973,0.6662601155265264,0.6684579613501848,0.00219784582365834,0.7902813113593203,0.819529964287842,0.029248652928521635,0.45937961595273263,0.413589364844904,-0.04579025110782864,0.6911262798634812,0.6843003412969283,-0.0068259385665528916,0.8002291825821237,0.7864782276546982,-0.013750954927425507,0.7189239332096475,0.762152133580705,0.04322820037105746
2026,article_type_shortcut,aligned,21115,21115,0.8613308074828321,0.8711816244376036,0.009850816954771524,0.8485903111676979,0.8585717900648061,0.009981478897108209,0.8114418846466178,0.8387770445672026,0.027335159920584773,0.8724890829694323,0.8637554585152838,-0.008733624454148492,0.9557416267942583,0.9473684210526315,-0.00837320574162681,0.834413096482062,0.8442354580285615,0.009822361546499514,0.9389102916895983,0.9647771051183269,0.025866813428728652
2026,article_type_shortcut,conflict,11619,11619,0.5264652723986574,0.5415268095361047,0.01506153713744729,0.4009179384033325,0.4279114173427857,0.026993478939453197,0.7174937212535935,0.7457609028637291,0.02826718161013564,0.5803827030284767,0.5763145999698659,-0.004068103058610828,0.06224066390041494,0.08713692946058091,0.02489626556016597,0.6712913553895411,0.6728922091782283,0.0016008537886872398,0.37204874333587207,0.44325971058644326,0.07121096725057119
2026,article_type_shortcut,missing_article_type,0,0,,,,,,,,,,,,,,,,,,,,,
2026,article_type_shortcut,unseen_article_type,19,19,0.3684210526315789,0.21052631578947367,-0.15789473684210525,0.23214285714285715,0.11309523809523808,-0.11904761904761907,0.7170252847044092,0.7890748381614685,0.07204955345705932,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,-0.1818181818181818,0.6666666666666666,0.5,-0.16666666666666663,0.0,0.0,0.0
2026,file_size_quartile,q1_smallest,8187,8187,0.7485037254183462,0.7621839501648956,0.013680224746549396,0.6449123774353247,0.6693102411932323,0.024397863757907645,0.7997716865842998,0.8239490359683053,0.02417734938400551,0.7902843601895735,0.783175355450237,-0.007109004739336511,0.24719101123595505,0.2696629213483146,0.02247191011235955,0.722879684418146,0.7531229454306377,0.03024326101249175,0.6842105263157895,0.7416267942583732,0.0574162679425837
2026,file_size_quartile,q2,8192,8192,0.7401123046875,0.745849609375,0.0057373046875,0.7277170237976969,0.7336657505083848,0.005948726710687913,0.7795614813694556,0.8059549962636083,0.02639351489415276,0.6113378684807256,0.6036281179138322,-0.007709750566893381,0.6766467065868264,0.6766467065868264,0.0,0.8335244210043568,0.8360467782618666,0.002522357257509822,0.6609907120743034,0.7020123839009288,0.04102167182662542
2026,file_size_quartile,q3,8181,8181,0.7140936315853808,0.7252169661410586,0.011123334555677822,0.6970252326456503,0.7047396268861897,0.007714394240539435,0.7441569230963324,0.7757418143065835,0.0315848912102511,0.4309234073013601,0.41732283464566927,-0.013600572655690812,0.704248366013072,0.6993464052287581,-0.004901960784313819,0.8228903486609399,0.825922182920667,0.003031834259727084,0.7009936766034327,0.7466124661246613,0.04561878952122855
