candidate,experiment_id,seed,support,precision,recall,f1,correct_count,error_count,mean_confidence,mean_true_probability,correct_mean_confidence,error_mean_confidence,main_error_destination,main_error_count,main_error_rate_of_spring
C2,g5-c2-t0-resnet18-s2026,2026,1329,0.9285714285714286,0.6260346124905944,0.7478651685393258,832,497,0.8323004712190191,0.6147826402357784,0.9473876915513896,0.6396393699785113,Summer,316,0.23777276147479307
C2,g3-c2-t0-resnet18,2753,1329,0.9178532311062432,0.6305492851768246,0.7475468331846565,838,491,0.855617894702069,0.6282318064742581,0.9598378907168964,0.677743441218514,Summer,336,0.2528216704288939
I2,g5-i2-article-type-lambda-0-3-c1-s2026,2026,1329,0.943502824858757,0.6282919488337095,0.7542908762420958,835,494,0.8532061803780434,0.6206256564436938,0.9521794657864256,0.6859132789286525,Summer,332,0.24981188863807374
I2,g4-i2-article-type-lambda-0-3-c1,2753,1329,0.9347826086956522,0.6471030850263356,0.7647843485993775,860,469,0.8601909061631733,0.6450978659279969,0.9629010466642158,0.6718524822166988,Summer,314,0.236267870579383
