model,run_id,validation_fold,corruption,loss,macro_f1,macro_f1_change,nll,ece_15
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f0_s2753_55b7a96c2617_20260830T152222Z130be4,0,translation_003,1.4304604486951389,0.3324012863876248,-0.1284032871810284,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f0_s2753_55b7a96c2617_20260830T152222Z130be4,0,grayscale,1.212843447386167,0.4297646703092779,-0.0310399032593752,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f1_s2753_55b7a96c2617_20260830T153109Ze3f157,1,jpeg_75,1.1414458584649458,0.3843730379339814,-0.0022984429373065,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f1_s2753_55b7a96c2617_20260830T153109Ze3f157,1,brightness_085,1.2002411229135546,0.318463016832242,-0.068208464039046,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f1_s2753_55b7a96c2617_20260830T153109Ze3f157,1,brightness_115,1.411854013111123,0.3661112297266368,-0.0205602511446511,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f1_s2753_55b7a96c2617_20260830T153109Ze3f157,1,translation_003,1.5786884814864426,0.3164025270655328,-0.0702689538057551,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f1_s2753_55b7a96c2617_20260830T153109Ze3f157,1,grayscale,1.188149361419044,0.3657538715698434,-0.0209176093014445,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f2_s2753_55b7a96c2617_20260830T153955Z36ee4d,2,jpeg_75,1.061799704273152,0.4246692577622814,-0.0006322247801546,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f2_s2753_55b7a96c2617_20260830T153955Z36ee4d,2,brightness_085,1.3129577995376107,0.2818576718133304,-0.1434438107291057,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f2_s2753_55b7a96c2617_20260830T153955Z36ee4d,2,brightness_115,1.3359066714502972,0.4067214224682089,-0.0185800600742271,,
E3,t3_usage_e3_classifier_dropout_usage_smallcnn_f2_s2753_55b7a96c2617_20260830T153955Z36ee4d,2,translation_003,1.310865421851031,0.3224991670093596,-0.1028023155330765,,
