model,fold,scope,support,macro_f1,accuracy,nll,brier,ece_15,common_four_f1,rare_four_f1
E2,0,fixed_prior_diagnostic,6553,0.43561297864033466,0.877613306882344,0.3656612218446092,0.18801406127887876,0.024480698739231012,0.8032460850576362,0.17688311688311686
E2,1,fixed_prior_diagnostic,6556,0.377114021743693,0.8851433801098231,0.35147975882813853,0.17794266106983947,0.029348610780199853,0.8100450104617707,0.03846153846153846
E2,2,fixed_prior_diagnostic,6553,0.4378618242870598,0.8811231497024263,0.35602077944468186,0.1816625843848393,0.029168519423986974,0.8050069063185248,0.1801821983273596
E2,3,fixed_prior_diagnostic,6553,0.4036491141382425,0.8869220204486494,0.35176822228515936,0.17534025293420244,0.02274064940258564,0.8140546626552015,0.09415584415584416
E2,4,fixed_prior_diagnostic,6557,0.41036316231403475,0.8847033704438005,0.34867096794180025,0.1774725464786828,0.028079334043819668,0.8048555767450398,0.11846153846153845
E3,0,fixed_prior_diagnostic,6553,0.41385393906080975,0.8811231497024263,0.348869812272338,0.18228643111741705,0.017448871099409638,0.8071453888608479,0.12402597402597403
E3,1,fixed_prior_diagnostic,6556,0.38443064955859535,0.8865161683953631,0.33939714569594076,0.17365070776153185,0.021584256645671686,0.8149689615068396,0.049999999999999996
E3,2,fixed_prior_diagnostic,6553,0.4246107942275622,0.8817335571493973,0.34598831470392083,0.17770233332870605,0.017296565384741655,0.8039853981231262,0.15138888888888888
E3,3,fixed_prior_diagnostic,6553,0.39835429015683665,0.8861590111399359,0.35358754711457097,0.1771407151020586,0.02200479679380442,0.8120580224180999,0.08423913043478261
E3,4,fixed_prior_diagnostic,6557,0.40554702938218884,0.884398352905292,0.34969772597049326,0.18011901224539856,0.02711333530535026,0.8054732403523491,0.10700757575757576
E8,0,fixed_prior_diagnostic,6553,0.4164244616384296,0.8675415840073248,0.3889914488841163,0.20445292567362397,0.025026560112735276,0.8021549024157422,0.1348001362707245
E8,1,fixed_prior_diagnostic,6556,0.3789063076574394,0.8634838316046369,0.38516913544132936,0.20378630889601806,0.01578377423413422,0.7997918163971853,0.05274737583205325
E8,2,fixed_prior_diagnostic,6553,0.4043614366890666,0.8628109262933008,0.3992191462467349,0.20848885018649105,0.023844139732418338,0.7990376743835372,0.11077555816686252
E8,3,fixed_prior_diagnostic,6553,0.40326177407194014,0.8705936212421792,0.387207522425548,0.199896605432216,0.026376915435406708,0.8046382098566058,0.10270078180525942
E8,4,fixed_prior_diagnostic,6557,0.39116724250899904,0.8625895989019369,0.3840106716584869,0.20329643473452558,0.0214408344456823,0.8006987943076341,0.0794275013376137
