model,fold,scope,support,macro_f1,accuracy,nll,brier,ece_15,common_four_f1,rare_four_f1
E2+E3,0,posthoc,6553,0.45032293341825713,0.8988249656645811,0.30991118645252064,0.15974367834813552,0.022098828419044758,0.8215599335244119,0.19166666666666665
E2+E3,1,posthoc,6556,0.38642045305936584,0.8976510067114094,0.31818221658735824,0.16010000237576116,0.02387848697544231,0.8194460193835731,0.05
E2+E3,2,posthoc,6553,0.43299912624249587,0.8960781321532123,0.3156808888041529,0.16129790717617465,0.023913717573706833,0.8145841684993972,0.15966386554621848
E2+E3,3,posthoc,6553,0.40275053346071954,0.8988249656645811,0.3161551630387052,0.1563091465304636,0.021610803063253498,0.8228553669532855,0.08333333333333334
E2+E3,4,posthoc,6557,0.40155634807865703,0.8953789842915968,0.31759833540233473,0.16326396699055543,0.029520146144502105,0.8097517831769783,0.09374999999999999
E2+E8,0,posthoc,6553,0.41984517446062963,0.897298947047154,0.30842317122166774,0.16023610821316359,0.01802740180589038,0.8196516425364166,0.125
E2+E8,1,posthoc,6556,0.39264627010325975,0.8961256863941428,0.3113387163884981,0.1621812085634849,0.015104954832443502,0.8152722895505162,0.06818181818181818
E2+E8,2,posthoc,6553,0.4401549437604692,0.8953151228444987,0.3116767480571641,0.16190755842374244,0.013064036095223629,0.815241122266598,0.17510750119445773
E2+E8,3,posthoc,6553,0.39783184317709985,0.8997405768350374,0.3079594188871389,0.15626534260021807,0.010109724994353614,0.8236930757199032,0.07142857142857144
E2+E8,4,posthoc,6557,0.39606283705652007,0.8940064053683087,0.3064894988969708,0.16104043323054223,0.012057906032026864,0.8078080500438368,0.08333333333333331
E3+E8,0,posthoc,6553,0.44811539498699227,0.899435373111552,0.30666482046457627,0.15980231618318322,0.015605733499999936,0.8213577248451345,0.18690191387559807
E3+E8,1,posthoc,6556,0.3970658191285585,0.8962782184258694,0.3098725446290305,0.16167438307192677,0.015214307591976844,0.8144507246182039,0.07894736842105263
E3+E8,2,posthoc,6553,0.4432905015023219,0.8945521135357851,0.31399320546053183,0.1625233962609862,0.012582287373264153,0.8122328209268082,0.18517080745341613
E3+E8,3,posthoc,6553,0.3945545230957145,0.8960781321532123,0.31028871048358886,0.15819307567205976,0.013538236444834392,0.8163191055367862,0.07142857142857144
E3+E8,4,posthoc,6557,0.3902794214054158,0.8944639316760714,0.3068999280313719,0.16184701990742356,0.008321138453942289,0.811462031495519,0.06666666666666667
E2+E3+E8,0,posthoc,6553,0.453521317430022,0.9008087898672363,0.3012968118194431,0.15677571324428016,0.017893087800701982,0.824233124645357,0.1961898395721925
E2+E3+E8,1,posthoc,6556,0.3997720162112896,0.8990237949969494,0.30466412259037173,0.15833065903720972,0.019781107833485807,0.820539668054349,0.07894736842105263
E2+E3+E8,2,posthoc,6553,0.4384710912783903,0.8982145582176102,0.30551411703803727,0.15870184215052113,0.014343356072587528,0.8198932887097117,0.16666666666666669
E2+E3+E8,3,posthoc,6553,0.40396823828345885,0.900961391728979,0.3031875758479131,0.1539052221535976,0.008843091886311584,0.8255952028044491,0.08333333333333334
E2+E3+E8,4,posthoc,6557,0.39808494489390567,0.8965990544456306,0.30155767271878137,0.15876451885187143,0.0091521386021047,0.8123577926779545,0.08333333333333331
E2+U2,0,posthoc,6553,0.4184811233300621,0.9020296047611781,0.3113654040902394,0.1598927254221276,0.04494704433268858,0.8197876556977679,0.12179487179487179
E2+U2,4,posthoc,6557,0.4012063126048808,0.894921457983834,0.3159251679076986,0.16375996905891915,0.03001965785008217,0.8027142033609818,0.09999999999999999
E2+E9,0,posthoc,6553,0.43385411786026845,0.8870746223103921,0.33971658070370075,0.1805338627637824,0.033399139394208785,0.8136500763481257,0.1625216888374783
E2+E9,1,posthoc,6556,0.3798071002666232,0.8872788285539963,0.33872853643214723,0.1781573856348772,0.027656249591747988,0.8110877147303368,0.043478260869565216
E2+E9,2,posthoc,6553,0.4587082061945418,0.8869220204486494,0.33656877512183264,0.17745191121903453,0.024506088816572562,0.808955490799746,0.22313797313797318
E2+E9,3,posthoc,6553,0.3968329502358572,0.8875324278956204,0.3343502568412317,0.17327004818221098,0.019061716989165294,0.8095408046973454,0.08333333333333334
E2+E9,4,posthoc,6557,0.3948833182262966,0.886991001982614,0.33774253375291496,0.1789640154565192,0.02247891298612167,0.805154132675834,0.08333333333333331
