model,train_f1,validation_f1,gap,pooled_validation_f1
Drop30 + darkening,0.9650069785119032,0.7416480881390599,0.2233588903728433,0.7421802355877188
Drop45 + darkening,0.9431716193557247,0.7294065687388207,0.21376505061690398,0.7295797492173618
E6,0.9999610810150616,0.7229562765542088,0.2770048044608528,0.7229550527547615
G2,0.9938652707431026,0.7454798140413059,0.24838545670179668,0.7457260919007412
