rank,experiment_id,model_family,pooled_macro_f1,fold_mean_macro_f1,fold_sd_macro_f1,spring_f1,parameter_count,five_fold_runtime_minutes,peak_vram_mb,shortlisted,delta_vs_best_macro_f1,gain_over_b1_macro_f1
1,g1-c2-resnet18,resnet18_small_stem,0.707099241697181,0.706495623893654,0.0038716837780336,0.7384333486028402,11170884,29.209413589999894,606.38916015625,True,0.0,0.09753798109618006
2,g1-c1-smallcnn,smallcnn,0.6999018131417043,0.6997517134270239,0.0109361228411977,0.7261682242990655,1174244,19.1098050616667,191.35888671875,True,-0.00719742855547667,0.09034055254070339
3,g1-c3-mobilenetv3,mobilenet_v3_small,0.6384954196090575,0.6383355423360888,0.0083388277167703,0.6688162137263933,1521956,16.660698241666736,74.2529296875,False,-0.06860382208812343,0.028934159008056626
