external_id,teacher_id,teacher_role,teacher_path,external_view,teacher_view,dhash_distance,ahash_distance,identity_evidence,accepted_overlap,mse,mae,max_difference,crop_mse,crop_mae,foreground_fraction_1,foreground_fraction_2,foreground_ratio
olgaberg.com public catalogue:7242107617454,17089,development,data/raw/teacher/train/images_train/17089.jpg,view_,original,2,14,,False,0.04040318354964256,0.09769900888204575,0.7764706015586853,0.129474937915802,0.29709330201148987,0.31875,0.18041666666666667,0.5660130718954249
olgaberg.com public catalogue:7242107617454,17097,development,data/raw/teacher/train/images_train/17097.jpg,view_,original,2,14,,False,0.04961239919066429,0.11341720819473267,0.7686274647712708,0.17247414588928223,0.3681066036224365,0.31875,0.17729166666666665,0.5562091503267974
olgaberg.com public catalogue:7242107617454,17089,development,data/raw/teacher/train/images_train/17089.jpg,view_,view_,2,14,,False,0.04040318354964256,0.09769900888204575,0.7764706015586853,0.129474937915802,0.29709330201148987,0.31875,0.18041666666666667,0.5660130718954249
olgaberg.com public catalogue:7242107617454,17097,development,data/raw/teacher/train/images_train/17097.jpg,view_,view_,2,14,,False,0.04961239919066429,0.11341720819473267,0.7686274647712708,0.17247414588928223,0.3681066036224365,0.31875,0.17729166666666665,0.5562091503267974
bellavitaorganic.com public catalogue:6683878850606,56691,prediction,data/raw/teacher/test/images_test/56691.jpg,original,original,2,7,,False,0.07317331433296204,0.16736716032028198,0.9921568632125854,0.162942036986351,0.2995426654815674,0.9962,0.355,0.3563541457538647
bellavitaorganic.com public catalogue:6683878850606,56691,prediction,data/raw/teacher/test/images_test/56691.jpg,original,view_,2,7,,False,0.07317331433296204,0.16736716032028198,0.9921568632125854,0.162942036986351,0.2995426654815674,0.9962,0.355,0.3563541457538647
bellavitaorganic.com public catalogue:6683878850606,56691,prediction,data/raw/teacher/test/images_test/56691.jpg,crop_,original,2,7,,False,0.07317331433296204,0.16736716032028198,0.9921568632125854,0.162942036986351,0.2995426654815674,0.9962,0.355,0.3563541457538647
bellavitaorganic.com public catalogue:6683878850606,56691,prediction,data/raw/teacher/test/images_test/56691.jpg,crop_,view_,2,7,,False,0.07317331433296204,0.16736716032028198,0.9921568632125854,0.162942036986351,0.2995426654815674,0.9962,0.355,0.3563541457538647
bellavitaorganic.com public catalogue:6871247290414,22550,development,data/raw/teacher/train/images_train/22550.jpg,original,original,2,0,,False,0.03966151550412178,0.11081302165985107,0.9411764740943909,0.18043601512908936,0.32624462246894836,0.9994416666666667,0.173125,0.17322171545779727
bellavitaorganic.com public catalogue:6871247290414,23549,development,data/raw/teacher/train/images_train/23549.jpg,original,original,2,0,,False,0.02323291264474392,0.08912855386734009,0.9803921580314636,0.2817439138889313,0.4393197000026703,0.9994416666666667,0.179375,0.17947520699056974
bellavitaorganic.com public catalogue:6871247290414,23553,development,data/raw/teacher/train/images_train/23553.jpg,original,original,2,0,,False,0.02931963838636875,0.09760453552007675,0.9843137264251709,0.24256356060504913,0.41692742705345154,0.9994416666666667,0.17604166666666668,0.17614001150642444
