fold,reference_run_id,reference_macro_f1,reference_runtime_seconds,reference_peak_vram_mb,reference_best_epoch,reference_epochs_completed,i1_run_id,i1_macro_f1,i1_runtime_seconds,i1_peak_vram_mb,i1_best_epoch,i1_epochs_completed,delta_i1_minus_reference_macro_f1
0,g3-c1-t1-smallcnn-f0-s2753-1ce4f9978b12,0.7382535644235236,864.9851365000359,190.89794921875,24,29,g4-i1-effective-number-c1-f0-s2753-9288633e212b,0.694792442575531,388.1113777999999,190.8984375,12,17,-0.04346112184799267
1,g3-c1-t1-smallcnn-f1-s2753-ea0b61364ef4,0.740002342703693,764.0989776999922,191.35888671875,21,26,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,0.71738902018089,503.185656799993,190.8984375,24,29,-0.022613322522803014
2,g3-c1-t1-smallcnn-f2-s2753-8439c63a5bac,0.735769747903171,568.2538828999968,191.35888671875,14,19,g4-i1-effective-number-c1-f2-s2753-fcf43c3cba42,0.711970481418817,307.7955422999803,191.359375,13,18,-0.02379926648435393
3,g3-c1-t1-smallcnn-f3-s2753-16f0d6eb1cbc,0.7509616550947982,874.9446290999767,191.35888671875,28,30,g4-i1-effective-number-c1-f3-s2753-288f70adf96f,0.7361513300003564,496.0641043999931,191.359375,21,26,-0.0148103250944418
4,g3-c1-t1-smallcnn-f4-s2753-2b4a6d779fa3,0.723007465506373,540.3081850999733,191.35888671875,13,18,g4-i1-effective-number-c1-f4-s2753-a70502c769db,0.6443061784444162,585.1844757000217,191.359375,6,11,-0.07870128706195678
