family,tuning_id,experiment_id,run_id,fold,history_sha256,epoch,learning_rate,train_loss,validation_loss,validation_accuracy,validation_macro_f1,common_horizon,used_in_five_fold_summary
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,2,0.0009970974765324432,0.9324799318293944,0.9409764072782592,0.5570141963059075,0.5430193808370178,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,3,0.0009883670094660564,0.8704718920203822,0.9338828570204752,0.5989925202259198,0.6184719946146751,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,4,0.0009739108857318951,0.8411654769468923,0.8871422160983795,0.6547092047015722,0.6255840252770714,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,5,0.0009538985901633824,0.816904310119688,0.869680019539379,0.6461608914669517,0.651402189569677,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,6,0.0009285647486286424,0.7910669029928257,0.8551737782227649,0.6644787055411387,0.6628616296955891,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,7,0.0008982063772567181,0.7773124337896993,0.9192083244686945,0.6684475652572126,0.6410222762137896,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,8,0.0008631794001950215,0.75780529150953,0.9298837922616981,0.57487406502824,0.6080377344849768,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,9,0.0008238944767241306,0.7461056459310373,0.8601866834601488,0.6731796672263777,0.6412418110271465,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,10,0.0007808121866531934,0.7267325794038932,0.8266247344861375,0.6754693939856511,0.6481116261456694,11,True
I1,effective-number,g4-i1-effective-number-c1,g4-i1-effective-number-c1-f1-s2753-a6b4939bacc5,1,97a457d82d7c10cc5e799bce151da46b30b3dc2fc0f410f80ebae92f53a0144e,11,0.0007344376304427783,0.7126177054635897,0.8217054915107892,0.6998931460845672,0.6665847515243003,11,True
