variant,experiment_id,loss_id,pooled_macro_f1,fold_mean_macro_f1,fold_sd_macro_f1,spring_f1,five_fold_runtime_minutes,peak_vram_mb,parameter_count,median_best_epoch,delta_macro_f1_vs_reference,delta_spring_f1_vs_reference,selected_by_i1_gate,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id
G3-C1 reference,g3-c1-t1-smallcnn,cross_entropy,0.7376613209761836,0.7375989551263118,0.0100127931170686,0.74497543546226,60.20984685499958,191.35888671875,1174244,21.0,0.0,0.0,True,1c54b8a3539f153f95ddae6aa0d871459673dd01490b2c31e8d7a7fed237f043,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,2887c38cd5653b64b57c880880a7fdf9d6aa590a4e4bd1000b87a9806a2d09fe,a0-7dba8a62f166046d
I1 effective-number,g4-i1-effective-number-c1,effective_number_beta_0.9999,0.7014706759899986,0.700921890524002,0.0349186916713221,0.7024390243902439,38.0056859499998,191.359375,1174244,13.0,-0.03619064498618507,-0.04253641107201611,False,fb5c8424d369c3a4dfb021a2d9fb6673782d1df27ed2afacbfcb2af3eb00e666,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,7922b7668004749b66613e18da5950f0d4970040831b052b7153e8151253f4a7,a0-7dba8a62f166046d
