label,reference_precision,reference_recall,reference_f1,reference_support,i1_precision,i1_recall,i1_f1,i1_support,delta_i1_minus_reference_precision,delta_i1_minus_reference_recall,delta_i1_minus_reference_f1
Fall,0.7205293189267937,0.6647625448028673,0.6915234488785319,8928,0.6837148463047744,0.5854614695340502,0.6307850117661257,8928,-0.03681447262201931,-0.07930107526881713,-0.06073843711240623
Spring,0.9164835164835164,0.6275395033860045,0.74497543546226,1329,0.7639257294429708,0.6501128668171557,0.7024390243902439,1329,-0.15255778704054568,0.02257336343115124,-0.04253641107201611
Summer,0.748027972027972,0.8235910070834617,0.7839929639401935,16235,0.7244944330833901,0.7855866954111488,0.7538047814651733,16235,-0.023533538944581878,-0.038004311672312885,-0.030188182475020198
Winter,0.763915547024952,0.6992493211946973,0.7301534356237491,6261,0.7125372665934411,0.7252835010381729,0.7188538863384518,6261,-0.051378280431510936,0.026034179843475558,-0.011299549285297306
