candidate,calibration_method,requested_coverage,coverage,review_rate,retained_count,review_count,confidence_threshold,accepted_correct_count,selective_accuracy,selective_risk,selective_macro_f1,accepted_id_sha256
C2,uncalibrated,0.1,0.100021372088053,0.899978627911947,3276,29477,0.9941426610425234,3205,0.9783272283272283,0.021672771672771707,0.9772846030455088,bc3fb3cbbac967cc38d3839fc95b3a5b1d7ba1bba489bece27223fb0c3250bbe
C2,uncalibrated,0.11,0.11000519036424145,0.8899948096357586,3603,29150,0.9933387882294861,3517,0.9761310019428254,0.023868998057174573,0.9749902564738638,fa0186b83f2ee4fe6ed12fe68793d4323c8e2fda277150481fc21cd45bf6a041
C2,uncalibrated,0.12,0.12001954019479132,0.8799804598052087,3931,28822,0.9924609478102985,3833,0.9750699567540067,0.02493004324599335,0.9745298952337893,c5c0499e67b3df9ec3085968832b2d67fa9cefbe30336d86b590411acd57413d
C2,uncalibrated,0.13,0.13000335847097977,0.8699966415290202,4258,28495,0.9915202593829854,4135,0.9711131986848286,0.028886801315171406,0.9705951220348588,0124e1f4c400814de79e86a1472c643081cb5be6bd0a9c2b0a69f74096999cbe
C2,uncalibrated,0.14,0.14001770830152963,0.8599822916984704,4586,28167,0.9904945952726574,4446,0.9694723070213694,0.03052769297863056,0.9691032066683111,f1810bb99c22ab34802294accfec8c4a813a977430bbc37773d51ffa5bc141d8
C2,uncalibrated,0.15,0.15000152657771806,0.849998473422282,4913,27840,0.989410403410567,4755,0.9678404233665785,0.032159576633421505,0.9674395099923844,8c96f4c5bdcfb88c64c237be0c24f48571a3921dd5df0ec47ab323e57bf68b73
C2,uncalibrated,0.16,0.16001587640826795,0.839984123591732,5241,27512,0.9881662087675057,5066,0.9666094256821217,0.033390574317878285,0.966082453466999,b5b136d49a8414715d8439b25d325dc3655df36ae50fe42ca5af80f815af5ccb
C2,uncalibrated,0.17,0.1700302262388178,0.8299697737611822,5569,27184,0.9869250141276442,5371,0.9644460405817921,0.03555395941820794,0.9642462309591107,775e10b5312491504640ed0b0d1ba64c23bcd8905281464525a96d9393b5dd45
C2,uncalibrated,0.18,0.18001404451500627,0.8199859554849938,5896,26857,0.9855572162505198,5675,0.962516960651289,0.037483039348711,0.9622588654577576,fef4e22f97ca87b37f4a13b4762a12d1c69b0fe1b8eeb4d9d8466d989b3465a9
C2,uncalibrated,0.19,0.19002839434555613,0.8099716056544439,6224,26529,0.9840584241658289,5984,0.961439588688946,0.03856041131105403,0.9609431971910593,f3877fe4d3930b101dab7a598e2c3fc326b35afc37d4ef0605ba9999fed3c2d8
C2,uncalibrated,0.2,0.20001221262174457,0.7999877873782555,6551,26202,0.9824776278319378,6300,0.9616852388948253,0.03831476110517473,0.9611990524118648,fb1fdb1bea92150f50a9ebef839a702c259ae2a05d7ed4dd4fcb30e463796e5c
