experiment_id,auxiliary_weight,epoch,fold_count,train_total_loss_mean,train_total_loss_sd,validation_total_loss_mean,validation_total_loss_sd,validation_accuracy_mean,validation_accuracy_sd,validation_macro_f1_mean,validation_macro_f1_sd,common_five_fold_horizon
g4-i2-article-type-lambda-0-1-c1,0.1,12,5,0.6866952783735251,0.0013144817372216996,0.7464194451903987,0.021396715385220685,0.7229266480067313,0.005826484103013204,0.7092555924845244,0.011170082150806082,27
g4-i2-article-type-lambda-0-1-c1,0.1,13,5,0.6705222163487695,0.0028428603844071,0.7424879539306326,0.014987189511295313,0.7278720245153107,0.0039715384822729865,0.7175612980778877,0.01061325493880657,27
g4-i2-article-type-lambda-0-1-c1,0.1,14,5,0.6548350141096972,0.0037872131973892345,0.7434372268940739,0.028644387743853618,0.7306209130107446,0.014749347919988132,0.7193788608748047,0.013376494595065258,27
g4-i2-article-type-lambda-0-1-c1,0.1,15,5,0.6401436120853816,0.0018589262681368774,0.7231292054157856,0.016968974939201,0.7404207014205768,0.007650968209427836,0.7234503722424863,0.00942487021753375,27
g4-i2-article-type-lambda-0-1-c1,0.1,16,5,0.6234303122135243,0.0010249571978016723,0.7173861991217642,0.010476863729994804,0.7439321005239069,0.006302440555827525,0.7285626289270739,0.005856808082555987,27
g4-i2-article-type-lambda-0-1-c1,0.1,17,5,0.6096095037857209,0.003603131762477049,0.7175389857971296,0.012311681259709382,0.7426800522692858,0.005373842430397776,0.7272682947438703,0.008565750424109769,27
g4-i2-article-type-lambda-0-1-c1,0.1,18,5,0.5955044623283499,0.0023186311925619653,0.7213754201523634,0.027162198226653576,0.7435044518580579,0.010265516122032418,0.7286244884146125,0.01297930738305459,27
g4-i2-article-type-lambda-0-1-c1,0.1,19,5,0.5801355684644662,0.001433902624720512,0.7136017495073455,0.021368093255522306,0.7485419952585376,0.0057745433622000365,0.7353054746879606,0.00676274991295249,27
g4-i2-article-type-lambda-0-1-c1,0.1,20,5,0.5633059257413665,0.0028894417699218203,0.7144245999504248,0.015879998892499532,0.7445731587095612,0.00924824077386515,0.7340320123647442,0.010013718601839054,27
g4-i2-article-type-lambda-0-1-c1,0.1,21,5,0.5498004621682457,0.004374168685107361,0.7054085387681375,0.007586594975465572,0.7530305028977873,0.003953439835479268,0.7410203058300155,0.002676783075973392,27
g4-i2-article-type-lambda-0-1-c1,0.1,22,5,0.5358936523410535,0.003237300254543697,0.7033926270191689,0.017578065107817217,0.7570303351138221,0.004899618173926465,0.7454867882766576,0.0073622567917710924,27
g4-i2-article-type-lambda-0-1-c1,0.1,23,5,0.5235128260914452,0.0030271948763299374,0.7099258168003559,0.020090942671347645,0.7536408730224534,0.005559244505529478,0.742742529326573,0.00704923223676532,27
g4-i2-article-type-lambda-0-1-c1,0.1,24,5,0.5120710141006727,0.0024932211581649142,0.7065165058907792,0.012360414586805079,0.7585564141837049,0.002502280749175196,0.7467547156124155,0.0032723692160741913,27
g4-i2-article-type-lambda-0-1-c1,0.1,25,5,0.5023986808506017,0.0026805506841008344,0.709289159172279,0.021308088338500744,0.7567857667072657,0.005440129464952737,0.7468818387632957,0.007348076854247559,27
g4-i2-article-type-lambda-0-1-c1,0.1,26,5,0.49234739016487233,0.0030929489696236395,0.7043063715777642,0.01851224074704308,0.7593809208891796,0.002406874108893602,0.7488449288837996,0.004741138314591818,27
g4-i2-article-type-lambda-0-1-c1,0.1,27,5,0.48639340814860554,0.002261764128859063,0.7117456173197195,0.016601951994207127,0.7584957462780346,0.004931732251221594,0.7478081902961208,0.006321490361029106,27
g4-i2-article-type-lambda-0-3-c1,0.3,1,5,1.853765310754757,0.002814805130302245,1.5096533831592396,0.09075226001729728,0.5871560105822202,0.03751963297795302,0.47908744974493345,0.04665994684217869,19
g4-i2-article-type-lambda-0-3-c1,0.3,2,5,1.2405140903284981,0.0025070127949278816,1.1701282047067494,0.0651501234790205,0.6560643278090996,0.024726879864675318,0.6212742371370255,0.05084497638791382,19
g4-i2-article-type-lambda-0-3-c1,0.3,3,5,1.0809716564203204,0.005484887270141326,1.1309597678455638,0.09032740203702512,0.6348760047416018,0.045859776921749425,0.6293185943116948,0.023718226647984814,19
g4-i2-article-type-lambda-0-3-c1,0.3,4,5,1.0062157611348765,0.0037718126377910026,1.0373895612938053,0.024819247203347047,0.6683675694232779,0.020248275519883785,0.6358974366010611,0.02199381723945554,19
g4-i2-article-type-lambda-0-3-c1,0.3,5,5,0.9558515647986987,0.0036265902219029945,0.9967771918903778,0.0800425679322079,0.6803362288164492,0.023351269860308815,0.6623856273079302,0.04175906595054745,19
g4-i2-article-type-lambda-0-3-c1,0.3,6,5,0.9148620476766055,0.0063432206235734334,1.0082348309221676,0.07938594898397518,0.6727662916864997,0.03517785667085259,0.6415403627050469,0.041759586221670746,19
g4-i2-article-type-lambda-0-3-c1,0.3,7,5,0.8833689719057599,0.00207508934341879,0.9600597487097785,0.08070493715975272,0.6983209708917806,0.03336851442455519,0.6733506215827484,0.05219111604016709,19
g4-i2-article-type-lambda-0-3-c1,0.3,8,5,0.8543500620965231,0.0030675261202920117,0.9145727060076366,0.036186109355445875,0.7061337988618085,0.017544377775271833,0.6902433976116433,0.026775680373173495,19
g4-i2-article-type-lambda-0-3-c1,0.3,9,5,0.8289880801564345,0.002151857180938924,0.9135599939917354,0.062449670747280694,0.6977986479492397,0.03573617114449892,0.6748272903503013,0.04776360097927586,19
g4-i2-article-type-lambda-0-3-c1,0.3,10,5,0.8062353552768089,0.00307575159577048,0.8759955682304461,0.03364368257857202,0.7199337316736688,0.01676661623378087,0.7088293542290749,0.012038383990055922,19
g4-i2-article-type-lambda-0-3-c1,0.3,11,5,0.7856387765551395,0.003139077534989865,0.8459003896054108,0.013661768516042403,0.7330935150624598,0.006083159420033281,0.7203748358803219,0.007538045446809328,19
g4-i2-article-type-lambda-0-3-c1,0.3,12,5,0.7653863367157318,0.0013115263675619788,0.8452999309928995,0.017465350601913364,0.7289719834697246,0.008180091727330504,0.7171622516631662,0.013122763645094432,19
g4-i2-article-type-lambda-0-3-c1,0.3,13,5,0.7437160155187015,0.002567484463374792,0.8394662364846053,0.030122894076716415,0.7324527223800233,0.009627734526806157,0.7212975121262389,0.012521704072225677,19
g4-i2-article-type-lambda-0-3-c1,0.3,14,5,0.7234618569263794,0.001150770738033173,0.8421402566724489,0.036173402397848865,0.7342844432396928,0.017800740561969678,0.7230158559926073,0.017560533912087225,19
g4-i2-article-type-lambda-0-3-c1,0.3,15,5,0.7061232737849706,0.002888086935459741,0.8212060288569838,0.010942873288606512,0.7422528230854027,0.012283976384765794,0.7283996468514377,0.011298856090938095,19
g4-i2-article-type-lambda-0-3-c1,0.3,16,5,0.685842085207859,0.0030810962013528005,0.816993344679779,0.019170219175172018,0.7447256441126429,0.0048787951270964965,0.7296974827321543,0.006198725300527804,19
g4-i2-article-type-lambda-0-3-c1,0.3,17,5,0.6685825479573102,0.002918052880128646,0.8152482961589047,0.02517317814701034,0.7429850043118502,0.009028043600611031,0.728600854413437,0.013916852720749698,19
g4-i2-article-type-lambda-0-3-c1,0.3,18,5,0.6514414659289123,0.002589939981241591,0.8140141064100799,0.03372175428772917,0.7432914477745521,0.013924584330548273,0.7322587379792623,0.017120505122333925,19
g4-i2-article-type-lambda-0-3-c1,0.3,19,5,0.6330501818187162,0.002387550701495928,0.8101330039659416,0.024803065952302625,0.7480543031130704,0.011028214768814364,0.7349731820915835,0.00954644362693793,19
