epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,train_metric_scope,sam_second_loss,selected_checkpoint,clean_train_macro_f1
1,0.001,0.7564890219980916,,0.5620396831837131,0.49011284557274254,not_applicable_mixed_inputs,0.8431607588694234,False,
2,0.0009972883382072953,0.6455842286976968,,0.5255867068435885,0.6146014747025483,not_applicable_mixed_inputs,0.7199052417356044,False,
3,0.0009891830623632338,0.5856370380328823,,0.45979678557186754,0.6480341895241675,not_applicable_mixed_inputs,0.6507457148479953,False,
4,0.0009757729755661011,0.5812519718797492,,0.4156318053448615,0.6581367477652084,not_applicable_mixed_inputs,0.6439376454011033,False,
5,0.0009572050015330874,0.5412844710443342,,0.3921809013185158,0.696112624510113,not_applicable_mixed_inputs,0.5942691613645045,False,
6,0.0009336825748732973,0.5202884793840838,,0.40257130942379576,0.690182930052896,not_applicable_mixed_inputs,0.5728755810670277,False,
7,0.0009054634122155991,0.5021615925065557,,0.42890889176222663,0.709680625849094,not_applicable_mixed_inputs,0.5508466106944451,False,
8,0.0008728566886113102,0.513649494459642,,0.3733211174252704,0.7284063237911251,not_applicable_mixed_inputs,0.5617424525562374,False,
9,0.0008362196501476349,0.4852094202875641,,0.34661307075425135,0.7259846558090224,not_applicable_mixed_inputs,0.5310604654051607,False,
10,0.0007959536998847742,0.47040334925815425,,0.4439345831148067,0.7274467561057986,not_applicable_mixed_inputs,0.513396101907875,False,0.777606314966248
11,0.0007525,0.478890695168624,,0.33394346620303383,0.7330044432385963,not_applicable_mixed_inputs,0.5229849014626619,False,
12,0.0007063346383225212,0.4397521092348142,,0.42923892675339265,0.6789677450714368,not_applicable_mixed_inputs,0.4817844187567216,False,
13,0.000657963412215599,0.44466799728365763,,0.31612665343022767,0.7589455123532284,not_applicable_mixed_inputs,0.48436212613448293,False,
14,0.0006079162869547909,0.4639785591618495,,0.34782631853464685,0.763165242577873,not_applicable_mixed_inputs,0.5033386661569682,False,
15,0.0005567415893174886,0.44844022360942765,,0.31964032472889187,0.7563237535317141,not_applicable_mixed_inputs,0.4862177417790012,False,0.8367680261803321
16,0.0005050000000000002,0.4325035104954566,,0.3010824299244127,0.7641317348763852,not_applicable_mixed_inputs,0.4694332309712642,False,
17,0.0004532584106825117,0.41806874750439577,,0.3052647535651104,0.7821582563439831,not_applicable_mixed_inputs,0.4554915711577535,False,
18,0.00040208371304520916,0.4116415357718857,,0.2919017597714745,0.7698414878365737,not_applicable_mixed_inputs,0.4480816097746417,False,
19,0.00035203658778440114,0.4258718744619999,,0.29039141143001096,0.779352120397333,not_applicable_mixed_inputs,0.462082237706612,False,
20,0.00030366536167747904,0.42482596463258976,,0.298140062909071,0.7895326648651364,not_applicable_mixed_inputs,0.4597701307778483,False,0.8820600117639792
21,0.00025750000000000013,0.4212955229591668,,0.29100771483813503,0.7887657993814805,not_applicable_mixed_inputs,0.45778939607405583,False,
22,0.00021404630011522585,0.40082083705288507,,0.2878026123214888,0.7925910166651858,not_applicable_mixed_inputs,0.4363483438144611,False,
23,0.00017378034985236535,0.38854035273266496,,0.28599545587811115,0.7876998766833291,not_applicable_mixed_inputs,0.42212232152416335,False,
24,0.00013714331138868998,0.38132686374248126,,0.2779485763410303,0.8031963757655796,not_applicable_mixed_inputs,0.41537878633332104,False,
25,0.00010453658778440108,0.3821935342351891,,0.27795491413491175,0.7935444092843684,not_applicable_mixed_inputs,0.415312739697793,True,0.8932326370444056
