id,max_abs_difference,fallback_matches
32719,1.7763568394002505e-15,True
50602,9.020562075079397e-17,True
23104,5.551115123125783e-17,True
5220,5.551115123125783e-17,True
42883,5.551115123125783e-17,True
11255,8.326672684688674e-17,True
14885,9.020562075079397e-17,True
27282,7.632783294297951e-17,True
32600,1.1102230246251565e-16,True
39496,4.163336342344337e-17,True
27036,1.7763568394002505e-15,True
35589,1.7763568394002505e-15,True
31174,1.1102230246251565e-16,True
12712,8.881784197001252e-16,True
15968,6.938893903907228e-17,True
28592,1.7763568394002505e-15,True
4766,6.245004513516506e-17,True
37556,1.1102230246251565e-16,True
39030,1.1102230246251565e-16,True
5666,8.326672684688674e-17,True
18480,5.551115123125783e-17,True
48183,6.591949208711867e-17,True
16542,6.938893903907228e-17,True
16132,9.71445146547012e-17,True
28301,1.7763568394002505e-15,True
5719,6.938893903907228e-17,True
22128,5.551115123125783e-17,True
45246,4.85722573273506e-17,True
18621,8.326672684688674e-17,True
45318,1.1102230246251565e-16,True
21455,5.551115123125783e-17,True
32940,1.1102230246251565e-16,True
25860,8.881784197001252e-16,True
6711,5.551115123125783e-17,True
50218,1.1102230246251565e-16,True
20807,1.7763568394002505e-15,True
36347,1.1102230246251565e-16,True
14654,5.551115123125783e-17,True
5785,1.7763568394002505e-15,True
16357,6.938893903907228e-17,True
22244,6.245004513516506e-17,True
48552,5.551115123125783e-17,True
46337,8.326672684688674e-17,True
25841,5.551115123125783e-17,True
45612,6.245004513516506e-17,True
11004,1.1102230246251565e-16,True
15372,6.245004513516506e-17,True
15994,5.551115123125783e-17,True
26638,1.7763568394002505e-15,True
3208,1.3877787807814457e-17,True
12012,6.245004513516506e-17,True
42559,6.938893903907228e-17,True
46394,6.245004513516506e-17,True
38992,6.938893903907228e-17,True
6618,5.551115123125783e-17,True
24976,1.1102230246251565e-16,True
48634,1.7763568394002505e-15,True
45143,1.1102230246251565e-16,True
6494,1.1102230246251565e-16,True
29176,9.71445146547012e-17,True
12643,9.020562075079397e-17,True
23038,1.1102230246251565e-16,True
17454,6.245004513516506e-17,True
3349,8.326672684688674e-17,True
6649,1.1102230246251565e-16,True
17900,6.245004513516506e-17,True
11722,5.551115123125783e-17,True
40971,1.7763568394002505e-15,True
7368,1.1102230246251565e-16,True
43300,1.1102230246251565e-16,True
23590,1.1102230246251565e-16,True
2187,6.657001339060997e-17,True
31105,6.938893903907228e-17,True
50556,9.71445146547012e-17,True
46039,1.1102230246251565e-16,True
4322,1.1102230246251565e-16,True
29871,1.1102230246251565e-16,True
13574,1.1102230246251565e-16,True
7104,1.7763568394002505e-15,True
49233,1.1102230246251565e-16,True
35482,1.7763568394002505e-15,True
47121,1.7763568394002505e-15,True
30816,1.1102230246251565e-16,True
18966,8.326672684688674e-17,True
36446,8.326672684688674e-17,True
45309,1.1102230246251565e-16,True
23751,1.1102230246251565e-16,True
21527,1.1102230246251565e-16,True
17973,1.1102230246251565e-16,True
19923,9.71445146547012e-17,True
17435,8.881784197001252e-16,True
34039,1.1102230246251565e-16,True
30143,1.1102230246251565e-16,True
31059,9.020562075079397e-17,True
11167,0.0,True
9078,6.938893903907228e-17,True
49493,1.1102230246251565e-16,True
14860,1.7763568394002505e-15,True
14320,9.020562075079397e-17,True
32619,7.28583859910259e-17,True
14581,5.551115123125783e-17,True
20511,9.367506770274758e-17,True
46288,8.326672684688674e-17,True
17722,1.1102230246251565e-16,True
26508,4.163336342344337e-17,True
48421,1.1102230246251565e-16,True
5434,8.881784197001252e-16,True
24311,5.551115123125783e-17,True
24552,5.551115123125783e-17,True
14813,1.1102230246251565e-16,True
19097,6.245004513516506e-17,True
51867,1.7763568394002505e-15,True
35038,5.551115123125783e-17,True
32222,5.551115123125783e-17,True
10313,1.1102230246251565e-16,True
3254,8.881784197001252e-16,True
4390,1.1102230246251565e-16,True
36333,1.1102230246251565e-16,True
8680,1.1102230246251565e-16,True
20926,6.245004513516506e-17,True
14065,1.1102230246251565e-16,True
46595,1.1102230246251565e-16,True
28535,1.1102230246251565e-16,True
38688,8.326672684688674e-17,True
9199,1.1102230246251565e-16,True
35052,5.551115123125783e-17,True
31972,1.1102230246251565e-16,True
9178,5.551115123125783e-17,True
41140,1.1102230246251565e-16,True
39152,5.551115123125783e-17,True
18787,1.1102230246251565e-16,True
31788,1.1102230246251565e-16,True
51267,8.326672684688674e-17,True
40504,5.551115123125783e-17,True
19551,5.551115123125783e-17,True
15814,1.1102230246251565e-16,True
49714,8.847089727481716e-17,True
47355,5.551115123125783e-17,True
38958,5.551115123125783e-17,True
39746,1.7763568394002505e-15,True
20730,5.551115123125783e-17,True
45895,6.938893903907228e-17,True
41209,9.020562075079397e-17,True
28222,1.7763568394002505e-15,True
50428,6.245004513516506e-17,True
15697,6.938893903907228e-17,True
7961,5.551115123125783e-17,True
45909,5.551115123125783e-17,True
30749,1.1102230246251565e-16,True
38615,9.71445146547012e-17,True
3502,6.938893903907228e-17,True
51631,1.7763568394002505e-15,True
37962,1.1102230246251565e-16,True
29215,1.1102230246251565e-16,True
26485,2.7755575615628914e-17,True
7027,8.326672684688674e-17,True
14479,1.1102230246251565e-16,True
23145,1.1102230246251565e-16,True
44682,1.7763568394002505e-15,True
17796,1.1102230246251565e-16,True
