model,fold,slice,value,rows,errors,error_rate,wrong_confidence
usage_E8,1,brightness_band,4,1670,172,0.10299401197604785,0.7371062310465116
usage_E8,2,brightness_band,1,1624,197,0.12130541871921185,0.7455909203553299
usage_E8,2,brightness_band,2,1658,196,0.11821471652593485,0.7209832939285714
usage_E8,2,brightness_band,3,1720,173,0.10058139534883725,0.7475406680924854
usage_E8,2,brightness_band,4,1551,169,0.10896196002578984,0.7312916627218935
usage_E8,3,brightness_band,1,1615,190,0.11764705882352944,0.7322651305263159
usage_E8,3,brightness_band,2,1671,197,0.11789347695990426,0.7377327296954314
usage_E8,3,brightness_band,3,1627,172,0.10571604179471417,0.7479240085465118
usage_E8,3,brightness_band,4,1640,160,0.09756097560975607,0.719878917875
usage_E8,4,brightness_band,1,1615,183,0.11331269349845197,0.7129904530054645
usage_E8,4,brightness_band,2,1604,191,0.11907730673316708,0.7316567602617801
usage_E8,4,brightness_band,3,1684,183,0.10866983372921613,0.7235005615846994
usage_E8,4,brightness_band,4,1654,183,0.11064087061668681,0.7337577389617486
usage_E8,0,foreground_fraction_band,1,1640,145,0.08841463414634143,0.7367807089655173
usage_E8,0,foreground_fraction_band,2,1645,205,0.12462006079027355,0.7392497864390242
usage_E8,0,foreground_fraction_band,3,1611,192,0.11918063314711358,0.75714189234375
usage_E8,0,foreground_fraction_band,4,1657,169,0.1019915509957755,0.7445141750295857
usage_E8,1,foreground_fraction_band,1,1641,127,0.07739183424741014,0.7337213161417323
usage_E8,1,foreground_fraction_band,2,1634,233,0.14259485924112603,0.7302903710729614
usage_E8,1,foreground_fraction_band,3,1674,213,0.12724014336917566,0.7416738048356806
usage_E8,1,foreground_fraction_band,4,1607,175,0.1088985687616677,0.7746694338285713
usage_E8,2,foreground_fraction_band,1,1585,138,0.08706624605678237,0.7284807644927537
usage_E8,2,foreground_fraction_band,2,1675,220,0.13134328358208958,0.7075828640454546
usage_E8,2,foreground_fraction_band,3,1593,195,0.12241054613935964,0.7262274867179488
usage_E8,2,foreground_fraction_band,4,1700,182,0.10705882352941176,0.7873298241758242
usage_E8,3,foreground_fraction_band,1,1643,129,0.07851491174680458,0.7499168780620156
usage_E8,3,foreground_fraction_band,2,1629,244,0.14978514426028233,0.7189880943442623
usage_E8,3,foreground_fraction_band,3,1623,192,0.11829944547134941,0.7216585555729166
usage_E8,3,foreground_fraction_band,4,1658,154,0.0928829915560917,0.7633536618181818
usage_E8,4,foreground_fraction_band,1,1680,163,0.09702380952380951,0.7342495911656441
usage_E8,4,foreground_fraction_band,2,1604,221,0.13778054862842892,0.7023773669230771
usage_E8,4,foreground_fraction_band,3,1687,198,0.11736810906935391,0.7488594995454545
usage_E8,4,foreground_fraction_band,4,1586,158,0.09962168978562425,0.7197449414556962
usage_E8,0,near_white_fraction_band,1,1668,181,0.10851318944844124,0.7477934072375692
usage_E8,0,near_white_fraction_band,2,1602,185,0.1154806491885143,0.7526972984324325
usage_E8,0,near_white_fraction_band,3,1640,200,0.12195121951219512,0.7355636356499999
usage_E8,0,near_white_fraction_band,4,1643,145,0.08825319537431531,0.7438704405517242
usage_E8,1,near_white_fraction_band,1,1618,178,0.11001236093943134,0.7820097939887639
usage_E8,1,near_white_fraction_band,2,1667,222,0.13317336532693458,0.7366951492792793
usage_E8,1,near_white_fraction_band,3,1637,221,0.13500305436774584,0.7306745701809956
usage_E8,1,near_white_fraction_band,4,1634,127,0.07772337821297426,0.7296125077165354
usage_E8,2,near_white_fraction_band,1,1690,175,0.10355029585798814,0.7851825148571427
usage_E8,2,near_white_fraction_band,2,1611,217,0.1346989447548107,0.7248743905990783
usage_E8,2,near_white_fraction_band,3,1642,205,0.1248477466504263,0.7081470710731708
usage_E8,2,near_white_fraction_band,4,1610,138,0.08571428571428574,0.7335661671739131
usage_E8,3,near_white_fraction_band,1,1646,155,0.09416767922235725,0.7620098607096775
usage_E8,3,near_white_fraction_band,2,1633,197,0.12063686466625845,0.7176847246192892
usage_E8,3,near_white_fraction_band,3,1644,237,0.1441605839416058,0.7194748124050633
usage_E8,3,near_white_fraction_band,4,1630,130,0.07975460122699385,0.755971762923077
usage_E8,4,near_white_fraction_band,1,1566,156,0.09961685823754785,0.7155711933974359
usage_E8,4,near_white_fraction_band,2,1684,205,0.12173396674584325,0.7479011423902437
usage_E8,4,near_white_fraction_band,3,1623,212,0.13062230437461486,0.6984800369339624
usage_E8,4,near_white_fraction_band,4,1684,167,0.09916864608076015,0.7417685923353294
usage_E9,0,usage_type_status,exception,726,197,0.2713498622589532,0.7493508124873097
usage_E9,0,usage_type_status,unsupported,1,0,0.0,
usage_E9,0,usage_type_status,usual,5826,893,0.15327840714040508,0.7007085369316909
usage_E9,1,usage_type_status,exception,645,184,0.28527131782945736,0.7438830411956523
usage_E9,1,usage_type_status,unsupported,4,2,0.5,0.51531182
usage_E9,1,usage_type_status,usual,5907,884,0.1496529541222279,0.703892164683258
usage_E9,2,usage_type_status,exception,648,188,0.2901234567901234,0.7352479725531915
usage_E9,2,usage_type_status,unsupported,5,1,0.19999999999999996,0.56365055
usage_E9,2,usage_type_status,usual,5900,870,0.14745762711864407,0.7108201499885058
usage_E9,3,usage_type_status,exception,681,203,0.29809104258443464,0.758444336551724
usage_E9,3,usage_type_status,unsupported,5,4,0.8,0.6979247900000001
usage_E9,3,usage_type_status,usual,5867,811,0.13823078234191244,0.7144934913933415
usage_E9,4,usage_type_status,exception,659,198,0.30045523520485584,0.7385861557070708
usage_E9,4,usage_type_status,unsupported,4,2,0.5,0.5942357
usage_E9,4,usage_type_status,usual,5894,906,0.15371564302680696,0.7041743123951434
usage_E9,0,mixed_family,False,6323,1012,0.160050608888186,0.7066226241501976
usage_E9,0,mixed_family,True,230,78,0.33913043478260874,0.7468299730769231
usage_E9,1,mixed_family,False,6321,966,0.15282392026578073,0.7010788149378883
usage_E9,1,mixed_family,True,235,104,0.4425531914893617,0.7971503997115386
usage_E9,2,mixed_family,False,6299,972,0.154310207969519,0.7107948360288066
usage_E9,2,mixed_family,True,254,87,0.34251968503937,0.7621979225287356
usage_E9,3,mixed_family,False,6314,928,0.14697497624326894,0.7191474632435344
usage_E9,3,mixed_family,True,239,90,0.37656903765690375,0.7649030567777776
usage_E9,4,mixed_family,False,6283,1021,0.1625019894954639,0.7059376462389814
usage_E9,4,mixed_family,True,274,85,0.3102189781021898,0.7605661229411764
usage_E9,0,brightness_band,1,1664,313,0.18810096153846156,0.7223788618210862
usage_E9,0,brightness_band,2,1619,271,0.16738727609635573,0.7047188187453874
usage_E9,0,brightness_band,3,1596,274,0.17167919799498743,0.7005970515693432
usage_E9,0,brightness_band,4,1674,232,0.1385902031063322,0.7082235249137931
usage_E9,1,brightness_band,1,1675,319,0.19044776119402984,0.7213913052351096
usage_E9,1,brightness_band,2,1644,267,0.1624087591240876,0.6999004220973783
usage_E9,1,brightness_band,3,1567,254,0.1620931716656031,0.7133873381102364
usage_E9,1,brightness_band,4,1670,230,0.13772455089820357,0.7041224080434784
usage_E9,2,brightness_band,1,1624,301,0.18534482758620685,0.7091953631229236
usage_E9,2,brightness_band,2,1658,251,0.1513872135102533,0.7260268029083665
usage_E9,2,brightness_band,3,1720,262,0.1523255813953488,0.7097030285496184
usage_E9,2,brightness_band,4,1551,245,0.15796260477111546,0.7165758145714286
usage_E9,3,brightness_band,1,1615,274,0.1696594427244582,0.7305176493430657
usage_E9,3,brightness_band,2,1671,276,0.1651705565529623,0.7096005372826086
usage_E9,3,brightness_band,3,1627,249,0.15304240934234792,0.7349160952610442
usage_E9,3,brightness_band,4,1640,219,0.13353658536585367,0.7178284432420091
usage_E9,4,brightness_band,1,1615,327,0.20247678018575854,0.7063512175535168
usage_E9,4,brightness_band,2,1604,277,0.17269326683291775,0.7217177657039712
usage_E9,4,brightness_band,3,1684,282,0.167458432304038,0.7061457186879433
usage_E9,4,brightness_band,4,1654,220,0.1330108827085853,0.7062940697727274
usage_E9,0,foreground_fraction_band,1,1640,190,0.11585365853658536,0.717424867526316
usage_E9,0,foreground_fraction_band,2,1645,343,0.2085106382978723,0.6868189205830904
usage_E9,0,foreground_fraction_band,3,1611,262,0.16263190564866548,0.7193740858396946
usage_E9,0,foreground_fraction_band,4,1657,295,0.17803258901629448,0.7219973168135593
usage_E9,1,foreground_fraction_band,1,1641,212,0.12918951858622796,0.7116486384433963
usage_E9,1,foreground_fraction_band,2,1634,286,0.17503059975520197,0.6884303704895105
usage_E9,1,foreground_fraction_band,3,1674,302,0.18040621266427714,0.7251920076158941
usage_E9,1,foreground_fraction_band,4,1607,270,0.1680149346608587,0.7162118266296297
usage_E9,2,foreground_fraction_band,1,1585,201,0.126813880126183,0.7119752908457712
usage_E9,2,foreground_fraction_band,2,1675,315,0.18805970149253737,0.6854022367936509
usage_E9,2,foreground_fraction_band,3,1593,269,0.16886377903327054,0.7382083497397769
usage_E9,2,foreground_fraction_band,4,1700,274,0.16117647058823525,0.7285292545620439
usage_E9,3,foreground_fraction_band,1,1643,197,0.11990261716372486,0.722227110152284
usage_E9,3,foreground_fraction_band,2,1629,337,0.2068753836709638,0.6993542732937685
usage_E9,3,foreground_fraction_band,3,1623,243,0.14972273567467653,0.7434653318106996
usage_E9,3,foreground_fraction_band,4,1658,241,0.14535585042219545,0.7368751641908714
usage_E9,4,foreground_fraction_band,1,1680,214,0.12738095238095237,0.6990388763551403
usage_E9,4,foreground_fraction_band,2,1604,323,0.20137157107231918,0.694222996130031
usage_E9,4,foreground_fraction_band,3,1687,301,0.17842323651452285,0.7389563157475083
usage_E9,4,foreground_fraction_band,4,1586,268,0.16897856242118536,0.7058069363059701
