class,support,G2_f1,E6_f1
Boys,684,0.6822840409956076,0.6560121765601218
Girls,543,0.6011673151750972,0.5884652981427175
Men,17753,0.9362779183934581,0.9287553648068669
Unisex,1766,0.6136724960254372,0.5893719806763286
Women,12027,0.9176852082813669,0.9049981241402308
