target,class,outer_fold,train_rows,train_families,train_visual_components,val_rows,val_families,min_inner_train_families,min_inner_calibration_families
gender,Boys,0,548,318,388,136,79,236,76
gender,Boys,1,546,316,386,138,81,234,76
gender,Boys,2,548,321,395,136,76,239,79
gender,Boys,3,548,318,391,136,79,236,76
gender,Boys,4,546,315,384,138,82,234,76
gender,Girls,0,436,266,321,107,70,197,64
gender,Girls,1,433,271,327,110,65,201,64
gender,Girls,2,434,268,321,109,68,198,64
gender,Girls,3,435,267,322,108,69,197,64
gender,Girls,4,434,272,325,109,64,202,65
gender,Men,0,14203,9883,13955,3550,2462,7390,2448
gender,Men,1,14202,9852,13956,3551,2493,7379,2448
gender,Men,2,14203,9872,13936,3550,2473,7379,2448
gender,Men,3,14203,9897,13953,3550,2448,7404,2462
gender,Men,4,14201,9876,13944,3552,2469,7383,2448
gender,Unisex,0,1411,1141,1407,355,287,850,281
gender,Unisex,1,1414,1147,1411,352,281,856,284
gender,Unisex,2,1414,1143,1409,352,285,852,281
gender,Unisex,3,1412,1144,1406,354,284,853,281
gender,Unisex,4,1413,1137,1407,353,291,850,281
gender,Women,0,9622,6734,9535,2405,1667,5012,1664
gender,Women,1,9622,6728,9544,2405,1673,5006,1664
gender,Women,2,9621,6726,9529,2406,1675,5004,1664
gender,Women,3,9621,6679,9535,2406,1722,5004,1664
gender,Women,4,9622,6737,9553,2405,1664,5015,1667
usage,Casual,0,20114,14140,19573,5037,3497,10597,3530
usage,Casual,1,20120,14101,19610,5031,3536,10558,3497
usage,Casual,2,20120,14107,19577,5031,3530,10564,3497
usage,Casual,3,20127,14094,19593,5024,3543,10558,3497
usage,Casual,4,20123,14106,19603,5028,3531,10563,3497
usage,Ethnic,0,1745,1066,1739,438,285,786,243
usage,Ethnic,1,1747,1071,1741,436,280,786,243
usage,Ethnic,2,1747,1087,1741,436,264,802,243
usage,Ethnic,3,1745,1072,1738,438,279,787,243
usage,Ethnic,4,1748,1108,1745,435,243,823,264
usage,Formal,0,1566,819,1508,383,197,610,197
usage,Formal,1,1562,807,1496,387,209,598,197
usage,Formal,2,1559,812,1492,390,204,603,197
usage,Formal,3,1556,807,1495,393,209,598,197
usage,Formal,4,1553,819,1485,396,197,610,197
usage,Home,0,1,1,1,0,0,0,0
usage,Home,1,1,1,1,0,0,0,0
usage,Home,2,1,1,1,0,0,0,0
usage,Home,3,1,1,1,0,0,0,0
usage,Home,4,0,0,0,1,1,0,0
usage,NA,0,50,39,46,11,10,28,8
usage,NA,1,47,41,43,14,8,30,9
usage,NA,2,48,38,43,13,11,27,8
usage,NA,3,49,40,47,12,9,29,8
usage,NA,4,50,38,45,11,11,27,8
usage,Party,0,9,7,9,3,3,5,1
usage,Party,1,10,8,10,2,2,5,1
usage,Party,2,10,8,10,2,2,5,1
usage,Party,3,10,8,10,2,2,5,1
usage,Party,4,9,9,9,3,1,6,2
usage,Smart Casual,0,38,31,37,9,6,22,7
usage,Smart Casual,1,37,28,36,10,9,20,6
usage,Smart Casual,2,38,30,37,9,7,21,6
usage,Smart Casual,3,37,29,37,10,8,20,6
usage,Smart Casual,4,38,30,37,9,7,21,6
usage,Sports,0,2678,2414,2673,668,606,1795,596
usage,Sports,1,2675,2424,2670,671,596,1805,596
usage,Sports,2,2678,2417,2671,668,603,1798,596
usage,Sports,3,2677,2424,2671,669,596,1805,596
usage,Sports,4,2676,2401,2671,670,619,1795,596
usage,Travel,0,18,18,18,4,4,13,4
usage,Travel,1,17,17,17,5,5,12,4
usage,Travel,2,18,18,18,4,4,13,4
usage,Travel,3,17,17,17,5,5,12,4
usage,Travel,4,18,18,18,4,4,13,4
