child,slice,rows,E2_wrong_child_right,E2_right_child_wrong,parent_error,child_error
usage_E3,usual,29394,662,655,0.0658637817241614,0.06562563788528271
usage_E3,exception,3359,216,217,0.4805001488538255,0.4807978565049122
usage_E3,unsupported,19,0,0,0.3157894736842105,0.3157894736842105
usage_E8,usual,29394,679,722,0.0658637817241614,0.06732666530584473
usage_E8,exception,3359,215,269,0.4805001488538255,0.4965763620125037
usage_E8,unsupported,19,0,0,0.3157894736842105,0.3157894736842105
usage_E9,usual,29394,452,2880,0.0658637817241614,0.14846567326665305
usage_E9,exception,3359,700,56,0.4805001488538255,0.28877642155403394
usage_E9,unsupported,19,0,3,0.3157894736842105,0.47368421052631576
