model,fold,class,support,predicted,tp,recall,f1
usage_E3,2,NA,13,5,3,0.23076923076923078,0.3333333333333333
usage_E3,2,Party,2,0,0,0.0,0.0
usage_E3,2,Smart Casual,9,3,0,0.0,0.0
usage_E3,2,Sports,668,488,369,0.5523952095808383,0.6384083044982699
usage_E3,2,Travel,4,3,1,0.25,0.2857142857142857
usage_E3,3,Casual,5024,5202,4776,0.9506369426751592,0.9340895755916292
usage_E3,3,Ethnic,438,413,363,0.8287671232876712,0.8531139835487661
usage_E3,3,Formal,393,379,308,0.7837150127226463,0.7979274611398963
usage_E3,3,Home,0,0,0,,0.0
usage_E3,3,NA,12,3,0,0.0,0.0
usage_E3,3,Party,2,1,0,0.0,0.0
usage_E3,3,Smart Casual,10,2,0,0.0,0.0
usage_E3,3,Sports,669,552,418,0.624813153961136,0.6846846846846847
usage_E3,3,Travel,5,1,1,0.2,0.3333333333333333
usage_E3,4,Casual,5028,5249,4778,0.9502784407319014,0.9298433394959619
usage_E3,4,Ethnic,435,413,352,0.8091954022988506,0.8301886792452831
usage_E3,4,Formal,396,354,286,0.7222222222222222,0.7626666666666667
usage_E3,4,Home,1,0,0,0.0,0.0
usage_E3,4,NA,11,5,3,0.2727272727272727,0.375
usage_E3,4,Party,3,0,0,0.0,0.0
usage_E3,4,Smart Casual,9,0,0,0.0,0.0
usage_E3,4,Sports,670,536,407,0.6074626865671642,0.6749585406301825
usage_E3,4,Travel,4,0,0,0.0,0.0
usage_E8,all,Casual,25151,26175,23880,0.9494652300107351,0.9305225421813506
usage_E8,all,Ethnic,2183,2030,1785,0.8176820888685296,0.8473771659150249
usage_E8,all,Formal,1949,1819,1464,0.7511544381734223,0.7770700636942676
usage_E8,all,Home,1,0,0,0.0,0.0
usage_E8,all,NA,61,81,12,0.19672131147540983,0.16901408450704225
usage_E8,all,Party,12,14,1,0.08333333333333333,0.07692307692307693
usage_E8,all,Smart Casual,47,69,6,0.1276595744680851,0.10344827586206896
usage_E8,all,Sports,3346,2557,1966,0.5875672444710102,0.666101982043029
usage_E8,all,Travel,22,27,5,0.22727272727272727,0.20408163265306123
usage_E8,0,Casual,5037,5207,4774,0.9477863807822117,0.9320577899258102
usage_E8,0,Ethnic,438,421,373,0.8515981735159818,0.8684516880093132
usage_E8,0,Formal,383,354,283,0.7389033942558747,0.76797829036635
usage_E8,0,Home,0,0,0,,0.0
usage_E8,0,NA,11,19,2,0.18181818181818182,0.13333333333333333
usage_E8,0,Party,3,3,1,0.3333333333333333,0.3333333333333333
usage_E8,0,Smart Casual,9,11,1,0.1111111111111111,0.1
usage_E8,0,Sports,668,531,407,0.6092814371257484,0.6788990825688074
usage_E8,0,Travel,4,7,1,0.25,0.18181818181818182
usage_E8,1,Casual,5031,5261,4779,0.9499105545617174,0.928682471822775
usage_E8,1,Ethnic,436,402,354,0.8119266055045872,0.8448687350835322
usage_E8,1,Formal,387,362,290,0.7493540051679587,0.774365821094793
usage_E8,1,Home,0,0,0,,0.0
usage_E8,1,NA,14,14,4,0.2857142857142857,0.2857142857142857
usage_E8,1,Party,2,0,0,0.0,0.0
usage_E8,1,Smart Casual,10,9,0,0.0,0.0
usage_E8,1,Sports,671,505,381,0.5678092399403875,0.6479591836734694
usage_E8,1,Travel,5,3,0,0.0,0.0
usage_E8,2,Casual,5031,5226,4774,0.9489167163585768,0.9308764746027104
usage_E8,2,Ethnic,436,390,343,0.786697247706422,0.8305084745762712
usage_E8,2,Formal,390,381,304,0.7794871794871795,0.788586251621271
usage_E8,2,Home,0,0,0,,0.0
usage_E8,2,NA,13,18,3,0.23076923076923078,0.1935483870967742
usage_E8,2,Party,2,8,0,0.0,0.0
usage_E8,2,Smart Casual,9,20,3,0.3333333333333333,0.20689655172413793
usage_E8,2,Sports,668,503,389,0.5823353293413174,0.6643894107600341
usage_E8,2,Travel,4,7,2,0.5,0.36363636363636365
usage_E8,3,Casual,5024,5228,4776,0.9506369426751592,0.9317206398751463
usage_E8,3,Ethnic,438,417,364,0.8310502283105022,0.8514619883040936
usage_E8,3,Formal,393,366,297,0.7557251908396947,0.782608695652174
usage_E8,3,Home,0,0,0,,0.0
usage_E8,3,NA,12,15,0,0.0,0.0
usage_E8,3,Party,2,3,0,0.0,0.0
usage_E8,3,Smart Casual,10,13,1,0.1,0.08695652173913043
usage_E8,3,Sports,669,506,394,0.5889387144992526,0.6706382978723404
usage_E8,3,Travel,5,5,2,0.4,0.4
usage_E8,4,Casual,5028,5253,4777,0.950079554494829,0.9292870343351814
usage_E8,4,Ethnic,435,400,351,0.8068965517241379,0.8407185628742515
usage_E8,4,Formal,396,356,290,0.7323232323232324,0.7712765957446809
usage_E8,4,Home,1,0,0,0.0,0.0
usage_E8,4,NA,11,15,3,0.2727272727272727,0.23076923076923078
usage_E8,4,Party,3,0,0,0.0,0.0
usage_E8,4,Smart Casual,9,16,1,0.1111111111111111,0.08
usage_E8,4,Sports,670,512,395,0.5895522388059702,0.6683587140439933
usage_E8,4,Travel,4,5,0,0.0,0.0
