a0_run_id,fold,a0_macro_f1,a0_runtime_seconds,a0_peak_vram_mb,a0_best_epoch,a1_run_id,a1_macro_f1,a1_runtime_seconds,a1_peak_vram_mb,a1_best_epoch,delta_a1_minus_a0_macro_f1,runtime_ratio_a1_vs_a0
g1-c2-resnet18-f0-s2753-b91662d47026,0,0.7037577914158095,367.90373299998464,605.88916015625,6,g2-a1-c2-resnet18-f0-s2753-c4cc0669c376,0.7021692125076077,293.7174903000123,605.88916015625,7,-0.0015885789082018542,0.7983541996297835
g1-c2-resnet18-f1-s2753-a4ff07c863e4,1,0.7050578825656015,403.16675490001217,606.26416015625,7,g2-a1-c2-resnet18-f1-s2753-a0b2fe0bb37e,0.6866240392309381,294.6729691000073,606.26416015625,8,-0.01843384333466347,0.7308960015145297
g1-c2-resnet18-f2-s2753-2d6a8dffa3fe,2,0.7128098681685373,394.70694140001433,606.38916015625,8,g2-a1-c2-resnet18-f2-s2753-af05d32916be,0.6930780912593734,293.58969310001703,606.38916015625,6,-0.019731776909163945,0.7438168988329993
g1-c2-resnet18-f3-s2753-f2eb5f7a2dac,3,0.7074561011942083,294.271319099993,606.38916015625,8,g2-a1-c2-resnet18-f3-s2753-b00dcb438d77,0.6977828467951942,295.59941229998367,606.38916015625,8,-0.00967325439901412,1.0045131588224518
g1-c2-resnet18-f4-s2753-2449eed2ce12,4,0.7033964761241132,292.5160669999896,606.26416015625,5,g2-a1-c2-resnet18-f4-s2753-170d6fa1d34a,0.7028836465514346,296.1492837999831,606.26416015625,8,-0.0005128295726785081,1.0124205717561272
