variant,experiment_id,image_height,image_width,augmentation,pooled_macro_f1,fold_mean_macro_f1,fold_sd_macro_f1,spring_f1,five_fold_runtime_minutes,peak_vram_mb,parameter_count,config_sha256,split_sha256,label_map_sha256,implementation_sha256,transform_id,delta_vs_a0_macro_f1,delta_vs_a0_spring_f1,runtime_ratio_vs_a0,peak_vram_ratio_vs_a0
A0,g1-c2-resnet18,80,60,a0,0.707099241697181,0.706495623893654,0.0038716837780336,0.7384333486028402,29.209413589999894,606.38916015625,11170884,3fb4b56409c1fb3af03d0863cf69b0367fc1d23c84881a7307fdab978430f728,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a0-7dba8a62f166046d,0.0,0.0,1.0,1.0
A1,g2-a1-c2-resnet18,80,60,a1,0.6966616867314194,0.6965075672689095,0.0067782811957278,0.7273538598839804,24.562147476666723,606.38916015625,11170884,63dec6a1f8e8f84480325baf86453a200506362ec8e5440afa580d77512c2dff,d76a49c6dc7999b4f286e94838a92c603d68c4f66179fde081028948f6a187db,51b7623c3a2c1a8f9ebb9b0d8b4b8a50a24ea57522c1f8f4dd15b94c1996a327,dd1c2e687fff3fff7d9117f2925e5ea25a6be253a21357467cb92ccb82eebe5f,a1-fe8cc596054e42b2,-0.010437554965761597,-0.011079488718859776,0.8408983426177304,1.0
