partition,product_ids,image_inputs,target_access,counting_rule
train,26992,53984,targets available,two image samples; pair weights sum to one
val,5781,11562,development only,two forward passes; one product-level score
holdout,5778,11556,sealed,two forward passes; one product-level score
quarantine,61,0,sealed,excluded from model input
