candidate,role,experiment_id_seed_2753,experiment_id_seed_2026,primary_macro_f1,stability_macro_f1,primary_spring_f1,stability_spring_f1,article_type_conflict_macro_f1_seed_2753,article_type_conflict_macro_f1_seed_2026,jpeg_macro_f1,jpeg_drop_vs_clean,worst_stress_condition,worst_stress_macro_f1,worst_stress_spring_recall,cross_fitted_nll,cross_fitted_brier,cross_fitted_ece,five_fold_runtime_minutes_primary,parameter_count,parameter_and_buffer_bytes,cpu_end_to_end_median_ms,cuda_end_to_end_median_ms,median_best_epoch_primary,selected
C2,reference,g3-c2-t0-resnet18,g5-c2-t0-resnet18-s2026,0.7350355076324379,0.7331367789638595,0.7475468331846565,0.7478651685393258,0.4053814323147535,0.4009179384033325,0.7223642501014543,0.012671257530983526,brightness_0_85,0.3375421206725712,0.0150489089541008,0.6388672076756515,0.3511986104920347,0.0117008325224517,91.57926665166742,11170884,44722096,47.35655,3.0523,24,False
I2,challenger,g4-i2-article-type-lambda-0-3-c1,g5-i2-article-type-lambda-0-3-c1-s2026,0.7526869559580971,0.7447434490683583,0.7647843485993775,0.7542908762420958,0.4302110020304435,0.4279114173427857,0.730191441574592,0.022495514383505055,brightness_0_85,0.3639610437484834,0.0030097817908201,0.6082414505776006,0.334753223737454,0.0167666614462827,28.556090686666234,1206112,4832192,6.4926,1.8821,24,True
