epoch,learning_rate,train_loss,train_macro_f1,validation_loss,validation_macro_f1,selected_checkpoint
1,0.001,1.2539009222433501,0.13212446775596243,1.237720571951792,0.19953340827608856,False
2,0.0009972883382072953,1.0528230952872144,0.2323216719438921,1.0849020378431806,0.2353969486586551,False
3,0.0009891830623632338,0.9218831242482055,0.29568664167287717,1.007875566619004,0.2447853958181018,False
4,0.0009757729755661011,0.865827360928573,0.31753696712437396,1.0048743045971773,0.2959370536711099,False
5,0.0009572050015330874,0.7916873582065567,0.3717413462489075,1.1519101950855464,0.20341022170225498,False
6,0.0009336825748732973,0.7228798670103523,0.39484933447537807,0.8702420959512568,0.32110476933078136,False
7,0.0009054634122155991,0.6754232538016544,0.4313991321986137,0.7623785457799179,0.45675224425848643,False
8,0.0008728566886113102,0.6359287038456989,0.44830022666697,1.1524231003947365,0.23824679652641775,False
9,0.0008362196501476349,0.615333967501356,0.48176314042657176,0.7645913913917529,0.47525081349293063,False
10,0.0007959536998847742,0.5785734870657981,0.46264872763415077,0.8741709187077916,0.41767902366305654,False
11,0.0007525,0.5338381494181103,0.5250248578010529,0.8284893825994217,0.41715202383708205,False
12,0.0007063346383225212,0.48511958017658796,0.5561065706029091,1.006921549684043,0.3584487330282897,False
13,0.000657963412215599,0.47282252278854137,0.5643657654527172,0.8311209277718006,0.44310188825588875,False
14,0.0006079162869547909,0.4322718232725634,0.6074053338743417,0.818282673704673,0.38537909308044443,False
15,0.0005567415893174886,0.4161639987295044,0.5920832587221303,0.7980074974826635,0.46347670080201553,False
16,0.0005050000000000002,0.4016093950841686,0.629140343727854,0.8272580821064535,0.46839523769280184,False
17,0.0004532584106825117,0.3780047210862055,0.6459490507789308,0.7461187716749091,0.5163517084242856,False
18,0.00040208371304520916,0.3633840950872208,0.6340373755259632,0.7878036262855054,0.4554720291914701,False
19,0.00035203658778440114,0.3270092140301645,0.6997916902035637,0.8180514097120658,0.48437129358673775,False
20,0.00030366536167747904,0.32169881764601493,0.6895223669620923,0.7312440666524321,0.47277671337905136,False
21,0.00025750000000000013,0.3061022937036605,0.7126484884274487,0.8260184393889622,0.4747701140576594,False
22,0.00021404630011522585,0.28974956106244554,0.7423669396994427,0.6934003290250849,0.4739862891316881,False
23,0.00017378034985236535,0.2834961911515624,0.7451048487954764,0.7992139976648334,0.4905599269202928,False
24,0.00013714331138868998,0.2678007907258472,0.7822830226161771,0.7120774372621395,0.5202167491869714,False
25,0.00010453658778440108,0.26108733703158726,0.8024903148560365,0.7806470176421951,0.5055411736282557,False
26,7.631742512670285e-05,0.2584026384227423,0.7837232117815001,0.7278303235959616,0.48715751316276523,False
27,5.279499846691252e-05,0.25339377190555606,0.7997505523147592,0.7708095564529542,0.5073024913704308,False
28,3.4227024433899005e-05,0.2504667515927731,0.8129164821535297,0.7651730984619702,0.5006114292743662,False
29,2.0816937636766188e-05,0.25217325020282844,0.799408300925122,0.7541286050849257,0.5095510014862813,False
30,1.2711661792704668e-05,0.25039454378431797,0.7965308584740005,0.7538174124742227,0.4969543544325665,True
