schema_version,run_id,parent_run_id,started_at_utc,completed_at_utc,task,run_kind,status,fold,method,architecture,objective,source_policy,pretrained,weight_origin,deployment_eligibility,seed,embedding_dim,planned_epochs,selected_epoch,config_hash,split_fingerprint,git_commit,dirty_tree,parameter_count,checkpoint_path,checkpoint_sha256,development_winner_score,cross_source_score,source_robustness_ratio,protocol_b_recall_at_10,p95_end_to_end_seconds,index_bytes,evidence_manifest_path,error_type,error_message
1,task4-smoke-autoencoder-0a17df2e1f00,,2026-08-29T15:11:45.707981Z,2026-08-29T15:11:48.842622Z,task4,smoke,completed,1,R5,resnet18,content_mask_mse,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,100,8438cc535b06eaa89ff64157bad582dd21508cb56f839d9af4740e5178f62ddd,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,14276931,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-autoencoder-0a17df2e1f00/checkpoint.pt,1bf32acceab1b81bd5898ac6b6b9ce267c23c6bea484a412c4ab32bba94894ae,0.0,0.0,0.0,0.0,0.0,0,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-autoencoder-0a17df2e1f00/smoke_manifest.json,,
1,task4-smoke-incremental_encoder-a9c2bcd2a27e,,2026-08-29T15:11:45.755955Z,2026-08-29T15:11:47.299589Z,task4,smoke,failed,1,R1,resnet18,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,,bee11cee8b932ef3313855cd23578a42ab61a789e1da7406aa871e857fa469ac,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,,,,,,,,,,,NonFiniteTrainingError,non-finite gradient
1,task4-smoke-pretrained_benchmark-9bd0830622a3,,2026-08-29T15:23:31.752776Z,2026-08-29T15:23:34.023229Z,task4,smoke,completed,1,B1,resnet18,vicreg,teacher_v1_pairs,true,ResNet18_Weights.IMAGENET1K_V1,comparison_only,2753,128,100,100,936a8b16e88775eed522c383d8feaba8a5fb0b23a4682525924c20b3cd30e689,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-pretrained_benchmark-9bd0830622a3/checkpoint.pt,12321eb3a46148f56c18e9e9ba0309a8c33567ea81a662326c9a9e4e5e58c05a,0.0,0.0,0.0,0.0,0.0,0,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-pretrained_benchmark-9bd0830622a3/smoke_manifest.json,,
1,task4-smoke-incremental_encoder-a1ec7342537e,,2026-08-29T15:23:32.117410Z,2026-08-29T15:23:33.941261Z,task4,smoke,completed,1,R1,resnet18,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,100,8320c6a7bf2ec7d251bca9566c610a97f893860a6f83664caaa8f875b28c6ab4,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-incremental_encoder-a1ec7342537e/checkpoint.pt,837906b7dba43552936a800e6a7e6593158bfa99c940221b3c7ee0d18467d39b,0.0,0.0,0.0,0.0,0.0,0,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-incremental_encoder-a1ec7342537e/smoke_manifest.json,,
1,task4-candidate-r1-task9-retry1,,2026-08-29T18:42:45.764377Z,2026-08-29T19:02:40.656305Z,task4,candidate,failed,1,R1,resnet18,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,,8320c6a7bf2ec7d251bca9566c610a97f893860a6f83664caaa8f875b28c6ab4,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,,,,,,,,,,,NonFiniteTrainingError,non-finite gradient
1,task4-candidate-r2-task9-retry1,,2026-08-29T18:42:45.793311Z,2026-08-29T19:07:42.273608Z,task4,candidate,failed,1,R2,resnet34,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,,38ae25f638be262856ccf60cffc03118eacc4a34ef8e2574a8171c140c53b79f,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,,,,,,,,,,,NonFiniteTrainingError,non-finite gradient
1,task4-smoke-incremental_encoder-5f80001dcb3d,,2026-08-29T20:02:52.194735Z,2026-08-29T20:02:54.287797Z,task4,smoke,completed,1,R1,resnet18,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,100,ca82169af5649b2cd73e5e4a7580355e355f0f2f65fc0d8152e2f79925b83e93,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-incremental_encoder-5f80001dcb3d/checkpoint.pt,c76f95984cced370eb0eb28fd9d3f4915979dcf51ee7c1958405c15503c4dd52,0.0,0.0,0.0,0.0,0.0,0,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-incremental_encoder-5f80001dcb3d/smoke_manifest.json,,
1,task4-smoke-autoencoder-ce015d4e5a56,,2026-08-29T20:02:58.739297Z,2026-08-29T20:03:01.617993Z,task4,smoke,completed,1,R5,resnet18,content_mask_mse,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,100,1def6dda1e408413b90c0465a6c4766ba27135a83fad83df895d74d99ad55ccd,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,14276931,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-autoencoder-ce015d4e5a56/checkpoint.pt,3846c1616a54b3afe2bd1304fb030726e1015bd7d093fdefa28e147abe6f8667,0.0,0.0,0.0,0.0,0.0,0,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-autoencoder-ce015d4e5a56/smoke_manifest.json,,
1,task4-smoke-pretrained_benchmark-00d940ccdaf9,,2026-08-29T20:03:06.228134Z,2026-08-29T20:03:08.493313Z,task4,smoke,completed,1,B1,resnet18,vicreg,teacher_v1_pairs,true,ResNet18_Weights.IMAGENET1K_V1,comparison_only,2753,128,100,100,c4cc869f23e514e7207acb9b0b92a7b07aebec72d9c28077052d343e00c16abf,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-pretrained_benchmark-00d940ccdaf9/checkpoint.pt,c2524433938e558b6fcef05f72dce2294e4e45b2e06e644e9112f0c7d9edb520,0.0,0.0,0.0,0.0,0.0,0,/localhome/local-lintran/MLA2/results/evidence/task4/smoke/task4-smoke-pretrained_benchmark-00d940ccdaf9/smoke_manifest.json,,
1,task4-candidate-r1-task9-retry2,,2026-08-29T20:06:56.965125Z,2026-08-30T03:01:01.225036Z,task4,candidate,completed,1,R1,resnet18,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,20,ca82169af5649b2cd73e5e4a7580355e355f0f2f65fc0d8152e2f79925b83e93,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,/localhome/local-lintran/MLA2/results/evidence/task4/checkpoints/task4-candidate-r1-task9-retry2/epoch-020.pt,84874e2beeffb912e0708eaba64912f7f46d155201a4b026128f6307e32a7185,0.23516077836392452,0.2267284865963445,0.9641424397969521,0.11088829546670956,0.17440173775,17041960,results/evidence/task4/learned/task4-candidate-r1-task9-retry2/manifest.json,,
1,task4-candidate-r2-task9-retry2,,2026-08-29T20:06:57.513647Z,2026-08-30T03:01:02.139729Z,task4,candidate,completed,1,R2,resnet34,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,20,6d4e1f97330792f4413716270c6d9d50f1bba9f91e75e471469526737413259f,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,21877696,/localhome/local-lintran/MLA2/results/evidence/task4/checkpoints/task4-candidate-r2-task9-retry2/epoch-020.pt,78436941c2e7b46096a90fb517b14bea34df8cfe922c01b838d5251fbf38070a,0.19872491183483096,0.1972856864691345,0.992757700318455,0.09302072815626217,0.2260938712499999,17041960,results/evidence/task4/learned/task4-candidate-r2-task9-retry2/manifest.json,,
1,task4-candidate-r5-task9-preexec,,2026-08-30T07:44:05.302485Z,2026-08-31T06:50:23.081045Z,task4,candidate,completed,1,R5,resnet18,content_mask_mse,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,80,1def6dda1e408413b90c0465a6c4766ba27135a83fad83df895d74d99ad55ccd,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,14276931,/localhome/local-lintran/MLA2/results/evidence/task4/checkpoints/task4-candidate-r5-task9-preexec/epoch-080.pt,521e96f3df9e28853309bd607030523f59ef8425326da56dfcf2b754e97631b3,0.5028872133026174,0.5028086144870219,0.999843704883488,0.39170046809716585,0.1724871347499999,17041960,results/evidence/task4/learned/task4-candidate-r5-task9-preexec/manifest.json,ValueError,"query metric values must be null or finite in [0, 1]"
1,task4-candidate-r3-task9-preexec,task4-candidate-r1-task9-retry2,2026-08-30T07:58:18.847552Z,2026-08-30T17:24:18.172497Z,task4,candidate,completed,1,R3,resnet18,vicreg,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,20,fb0b4d4b7a21ba85f7b7632236e92ccbdc841accdab58e61f63796ba36b88cc1,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,results/evidence/task4/checkpoints/task4-candidate-r3-task9-preexec/epoch-020.pt,eaf727f1c25d13c0752f22d5e5fab43f48092eef3dfedd94111ce9f23b421b3e,0.31018710785515485,0.30993375966931624,0.9991832407620341,0.1976562394787978,0.1741100019999999,17041960,results/evidence/task4/learned/task4-candidate-r3-task9-preexec/manifest.json,,
1,task4-candidate-r4-task9-preexec,task4-candidate-r3-task9-preexec,2026-08-30T17:49:49.129349Z,2026-08-31T03:36:44.088312Z,task4,candidate,completed,1,R4,resnet18,vicreg_triplet,teacher_v1_pairs,false,random_initialization,eligible,2753,128,100,20,4de6aedbc6f65c5d7e2586e522bf2664514ca3dab6e2600eb2162b6da6dede1a,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,results/evidence/task4/checkpoints/task4-candidate-r4-task9-preexec/epoch-020.pt,7e78c5cbb33bc8cba291ef4290de34ab3a4a389844b9ff9eba2e85fa10cf918d,0.30007841876344443,0.29965747395336984,0.9985972173146965,0.19364304292375553,0.17409865575,17041960,results/evidence/task4/learned/task4-candidate-r4-task9-preexec/manifest.json,,
1,task4-benchmark-b1-task9-preexec,,2026-08-30T20:24:17.264067Z,2026-08-31T03:37:58.495786Z,task4,benchmark,completed,1,B1,resnet18,vicreg,teacher_v1_pairs,true,ResNet18_Weights.IMAGENET1K_V1,comparison_only,2753,128,100,20,c4cc869f23e514e7207acb9b0b92a7b07aebec72d9c28077052d343e00c16abf,bad7bc4ae65fbbfd815567f4ccfa308d6e57dc650bc15c0b8e798867a335f2fd,e669d21eb0aeb048eaee229e29a3e5e713b452c9,true,11769536,results/evidence/task4/checkpoints/task4-benchmark-b1-task9-preexec/epoch-020.pt,f6084b9bd52bc2d060739259fb234fdf6915791b93401675e0eaff1d2482d316,0.3133474252535837,0.3120691954329232,0.9959207265876652,0.11210358601179828,0.1762817254999999,17041960,results/evidence/task4/learned/task4-benchmark-b1-task9-preexec/manifest.json,,
