model,fold,partition,delta,flips
G2,0,train,0.00045186281204223633,0
G2,0,validation,0.0005363523960113525,0
G2,4,train,0.0004196763038635254,0
G2,4,validation,0.0008079111576080322,0
CompactBlurCNN,0,train,0.001286923885345459,0
CompactBlurCNN,0,validation,0.0018008947372436523,0
CompactBlurCNN,4,train,0.0012946128845214844,0
CompactBlurCNN,4,validation,0.0008872747421264648,0
